Testing SD card write operations: 2022-09-18 18:17:41
2022-09-18 18:17:42: {'Acceleration': '(0.0, 0.0, 0.0)', 'Roll': '52.56673', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-2.204838'}
2022-09-18 18:17:43: {'Acceleration': '(-0.8337402, 0.0411377, 0.6156006)', 'Roll': '53.4076', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-2.286221'}
2022-09-18 18:17:44: {'Acceleration': '(-0.8311768, 0.04089355, 0.6191406)', 'Roll': '53.3177', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-2.089138'}
2022-09-18 18:17:45: {'Acceleration': '(-0.8154297, 0.03149414, 0.6304932)', 'Roll': '52.28868', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-1.748448'}
2022-09-18 18:17:45: {'Acceleration': '(-0.8461914, -0.01281738, 0.5897217)', 'Roll': '55.12686', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '0.7110156'}
2022-09-18 18:17:46: {'Acceleration': '(-0.8157959, 0.0189209, 0.6320801)', 'Roll': '52.23141', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.050343'}
2022-09-18 18:17:47: {'Acceleration': '(-0.8278809, -0.002075195, 0.6237793)', 'Roll': '53.00325', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '0.1147045'}
2022-09-18 18:17:48: {'Acceleration': '(-0.8374023, -0.004516602, 0.6160889)', 'Roll': '53.65755', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '0.2489186'}
2022-09-18 18:17:49: {'Acceleration': '(-0.8258057, 0.006958008, 0.6286621)', 'Roll': '52.71902', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-0.3841127'}
2022-09-18 18:17:50: {'Acceleration': '(-0.8291016, 0.009399414, 0.618042)', 'Roll': '53.29784', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-0.520768'}
2022-09-18 18:17:50: {'Acceleration': '(-0.8314209, 0.003662109, 0.6269531)', 'Roll': '52.98099', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-0.2014982'}
2022-09-18 18:17:51: {'Acceleration': '(-0.8050537, 0.006469727, 0.6491699)', 'Roll': '51.30864', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-0.3569533'}
2022-09-18 18:17:52: {'Acceleration': '(-0.7674561, 0.05151367, 0.6636963)', 'Roll': '49.14673', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-2.906452'}
2022-09-18 18:17:53: {'Acceleration': '(-0.8106689, -0.01245117, 0.6390381)', 'Roll': '51.75182', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '0.6910733'}
2022-09-18 18:17:54: {'Acceleration': '(-0.8521729, 0.05151367, 0.612915)', 'Roll': '52.27238', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-2.795811'}
2022-09-18 18:17:55: {'Acceleration': '(-0.8027344, 0.0007324219, 0.612915)', 'Roll': '53.12065', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '0.3241288'}
2022-09-18 18:17:55: {'Acceleration': '(-0.8452148, -0.2053223, 0.588501)', 'Roll': '56.3975', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '12.31211'}
2022-09-18 18:17:56: {'Acceleration': '(-0.888916, -0.1849365, 0.5821533)', 'Roll': '58.26842', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '9.717474'}
2022-09-18 18:17:57: {'Acceleration': '(-0.8376465, -0.1297607, 0.6246338)', 'Roll': '57.24924', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '7.25114'}
2022-09-18 18:17:58: {'Acceleration': '(-0.8012695, -0.1376953, 0.6577148)', 'Roll': '50.26662', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '7.834926'}
