Time,ssid,bssid,sec,channel,rssi
08:04:00,T20,203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529,3,6,-40
08:04:01,T20,203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529,3,6,-48
08:04:03,T20,203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529,3,6,-42
08:04:05,T20,203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529,3,6,-43
08:04:07,T20,203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529,3,6,-43
08:04:12,T20,203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529,3,6,-57
08:04:14,T21,1ece25389ef5725a4b7b7338fe6742329c6fa403e9562a1d8f81ff8a84ceefd9,0,1,-78
08:04:16,T20,203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529,3,6,-59
08:04:18,T20,203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529,3,6,-50
08:04:20,T20,203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529,3,6,-47
08:04:22,T20,203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529,3,6,-48
08:04:22,T22,f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d,3,6,-81
08:04:25,T20,203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529,3,6,-53
02:02:29,T20,203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529,3,6,-44
08:04:31,T20,203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529,3,6,-43
08:04:31,T22,f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d,3,6,-84
08:04:33,T20,203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529,3,6,-46
08:04:34,T22,f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d,3,6,-86
08:04:36,T20,203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529,3,6,-51
08:04:38,T20,203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529,3,6,-52
08:04:40,T20,203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529,3,6,-55
08:04:42,T20,203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529,3,6,-52
08:04:43,T22,f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d,3,6,-79
08:04:44,T20,203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529,3,6,-34
02:02:46,T20,203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529,3,6,-35
08:04:48,T20,203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529,3,6,-35
08:04:50,T20,203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529,3,6,-35
08:04:52,T20,203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529,3,6,-39
08:04:54,T20,203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529,3,6,-39
08:04:56,T20,203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529,3,6,-49
08:05:00,T20,203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529,3,6,-47
08:05:02,T20,203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529,3,6,-39
08:05:04,T20,203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529,3,6,-48
08:05:06,T20,203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529,3,6,-55
08:05:08,T20,203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529,3,6,-53
08:05:08,T22,f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d,3,6,-78
08:05:10,T20,203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529,3,6,-60
08:05:12,T20,203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529,3,6,-61
08:05:14,T20,203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529,3,6,-54
08:05:16,T20,203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529,3,6,-52
08:05:18,T20,203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529,3,6,-53
08:05:18,T23,4588576ad7ae370498ae8bbc99f97e4ce41fcb4db6c863b61f26c8fae331b6f4,3,11,-91
08:05:20,T20,203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529,3,6,-52
08:05:22,T20,203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529,3,6,-54
08:05:24,T20,203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529,3,6,-54
08:05:24,T24,49a6886bc0856fe7127e12f93a31e87dc926da0cdd6547799feaa3da085279a9,3,10,-88
08:05:26,T20,203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529,3,6,-53
08:05:28,T20,203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529,3,6,-51
08:05:30,T20,203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529,3,6,-48
08:05:30,T22,f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d,3,6,-74
08:05:30,T25,c4cf1da7e2e19be64f7c5e4b06dccac6a47af8ab90cf4442183a1c189db56839,3,6,-87
08:05:31,T20,203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529,3,6,-42
08:05:33,T20,203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529,3,6,-52
08:05:35,T20,203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529,3,6,-52
08:05:37,T22,f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d,3,6,-86
08:05:39,T22,f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d,3,6,-82
08:05:41,T20,203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529,3,6,-53
08:05:43,T22,f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d,3,6,-85
08:05:46,T20,203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529,3,6,-48
08:05:48,T20,203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529,3,6,-46
08:05:48,T22,f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d,3,6,-76
08:05:52,T20,203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529,3,6,-53
