Testing SD card write operations: 2022-05-30 08:04:00
2022-05-30 08:04:00: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '2f28059de91bf1c355220b533e41d282761c788a150a9ad93a40f222d7cb8ff0', 'rssi': -83, 'name': 'Tb20\x00', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-30 08:04:01: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'aaf61ba5e78b08d47583acc1b8bd22e09b76f9d05cbdf98f3a83259b3c404199', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-30 08:04:02: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'c893b0c6996bedebf33bf66be4a0bac71017900a4adf81419679f45509881168', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-30 08:04:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '649a3b9b76958536d6ef6b5779cc4ee20ed281f03a972a4c70334596ebd69d18', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-30 08:04:03: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'a587cf2c0b74236e0c98ecb2917885fe85be990e4d7b74d0faf4936d28633c62', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-30 08:04:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9aad1d60f76181ee9ea94c7d76f977064120a57a9c7e96451438e9a3407e4aa6', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-30 08:04:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '441f5a75efe8fba7e5ddc253def2e503661aa8326020297bce0bd50c3bc0b52b', 'rssi': -40, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-30 08:04:06: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '695868b18305b428e44cc47aa202cf32ef36c454efac6e7c57207f0f6894e162', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-30 08:04:06: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '1f5c278685891fc11c4c91de5fba145219b00a60026c851400f7b6228d061e29', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-30 08:04:07: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': 'd81a36dd5818e9f3e2729e06feaed7b035974edaf87a3a4a2a1b60359b0a3146', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-30 08:04:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd9c705233f35f2abcceaf9fe812ef713bc7dc81df54b402ed94b6f95179f57e1', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-05-30 08:04:09: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '2f28059de91bf1c355220b533e41d282761c788a150a9ad93a40f222d7cb8ff0', 'rssi': -82, 'name': 'Tb20\x00', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-30 08:04:10: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '37269e8ad382ca878af448fda4cd1112924a6a49bee867932d4d76eb4f322713', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-30 08:04:10: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '441f5a75efe8fba7e5ddc253def2e503661aa8326020297bce0bd50c3bc0b52b', 'rssi': -40, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-30 08:04:11: {'adv_flag': 0, 'def_tx_pwr': 3, 'mac': 'ce18c3173720dd823111fbad95b01a98faf4e629d26feb1707583a658fa38e2c', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-30 08:04:12: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '2589501baa446b3c0bbb1090432fc64736d86ca9e3f2376f9e1daffd8e4e379c', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-30 08:04:13: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'a587cf2c0b74236e0c98ecb2917885fe85be990e4d7b74d0faf4936d28633c62', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-30 08:04:14: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1ce83efe86853fc3e03a1fdd84258bd49fd625a1e2dda8b75885c76796ef7880', 'rssi': -93, 'name': 'Tb21', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': -14, 'adv_tx_pwr': 3}
2022-05-30 08:04:14: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '48e0009c9e6556168d39ce077787c7dd50a270b39b3395db1e4eed4c461d09e8', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-30 08:04:15: {'adv_flag': 4, 'def_tx_pwr': 3, 'mac': 'b3c8285f6051c7c3a5d168d7104e5fa7401f3ac0e07aeb1434bb16c9a7c4d78d', 'rssi': -86, 'name': 'Tb22', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 4, 'adv_tx_pwr': 3}
2022-05-30 08:04:16: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '46eda9ffcf9d80d64fe5c3cdd79cd7475ffd331d117ff29aac1c57c97db72f4c', 'rssi': -77, 'name': 'Tb20\x00', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': -11, 'adv_tx_pwr': 3}
2022-05-30 08:04:17: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '51550e70c5d62b894a31ae065332339959a7e0c8e2c29124f3ab1b45b3c856c2', 'rssi': -92, 'name': 'Tb20\x00', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-30 08:04:18: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '9358f3b519a1e81c4dbec7809f88a3110c9cdfb2680238bf1c3da2adf1aab2e9', 'rssi': -78, 'name': 'Tb20\x00', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-30 08:04:18: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6263439f150e71cc6f18e177fcd91c17966bb0ee644d023c3c1c8b3024b15d22', 'rssi': -86, 'name': 'Tb23', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-30 08:04:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ab98cbead71b86a5332b7f10f1d004798752f40a1a63b7db040244e7591b115f', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-30 08:04:20: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'd4aaf7ca5ad9be0a512c49bf7604c08b5785d437113d40bd1e0a436fd729e0e2', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-30 08:04:21: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '46eda9ffcf9d80d64fe5c3cdd79cd7475ffd331d117ff29aac1c57c97db72f4c', 'rssi': -81, 'name': 'Tb20\x00', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': -11, 'adv_tx_pwr': 3}
2022-05-30 08:04:22: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '441f5a75efe8fba7e5ddc253def2e503661aa8326020297bce0bd50c3bc0b52b', 'rssi': -50, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-30 08:04:22: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ab98cbead71b86a5332b7f10f1d004798752f40a1a63b7db040244e7591b115f', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-30 08:04:23: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5275350eff40f48a111068ca504b94850303ed1e48b131d02901610d2a7905f0', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-30 08:04:24: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '08fdc7398520e5b6992908fdf50d36c7229041061d5798c5d84e5442867349b5', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-30 08:04:25: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd5d5ade38adf5e1b04ae42fc0cbac8ae54f5a2908c37a3a811ba1174299aced5', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-30 08:04:26: {'adv_flag': 24, 'def_tx_pwr': 3, 'mac': 'c9db3f4110ceea103adbd11af49da07bf4c3367de38f5d33874661180ea0d081', 'rssi': -95, 'name': 'Tb24', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-30 08:04:26: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1ce83efe86853fc3e03a1fdd84258bd49fd625a1e2dda8b75885c76796ef7880', 'rssi': -84, 'name': 'Tb21', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': -14, 'adv_tx_pwr': 3}
2022-05-30 08:04:27: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5275350eff40f48a111068ca504b94850303ed1e48b131d02901610d2a7905f0', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-30 08:04:28: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd8a93077ebc50b2394f6ba73fc2d0c399f73abee7da05e7074158ca364c373a1', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
