Testing SD card write operations: 1970-01-01 02:00:04
2022-05-30 08:04:00: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-40}
2022-05-30 08:04:01: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-48}
2022-05-30 08:04:03: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-42}
2022-05-30 08:04:05: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-43}
2022-05-30 08:04:07: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-43}
2022-05-30 08:04:12: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-57}
2022-05-30 08:04:14: {'ssid':'T21', 'bssid':'1ece25389ef5725a4b7b7338fe6742329c6fa403e9562a1d8f81ff8a84ceefd9', 'sec':0, 'channel':1, 'rssi':-78}
2022-05-30 08:04:16: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-59}
2022-05-30 08:04:18: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-50}
2022-05-30 08:04:20: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-47}
2022-05-30 08:04:22: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-48}
2022-05-30 08:04:22: {'ssid':'T22', 'bssid':'f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d', 'sec':3, 'channel':6, 'rssi':-81}
2022-05-30 08:04:25: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-53}
2022-05-30 02:02:29: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-44}
2022-05-30 08:04:31: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-43}
2022-05-30 08:04:31: {'ssid':'T22', 'bssid':'f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d', 'sec':3, 'channel':6, 'rssi':-84}
2022-05-30 08:04:33: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-46}
2022-05-30 08:04:34: {'ssid':'T22', 'bssid':'f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d', 'sec':3, 'channel':6, 'rssi':-86}
2022-05-30 08:04:36: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-51}
2022-05-30 08:04:38: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-52}
2022-05-30 08:04:40: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-55}
2022-05-30 08:04:42: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-52}
2022-05-30 08:04:43: {'ssid':'T22', 'bssid':'f324c50061ae0ffcf5cd77340a5da3731cee2894f5852affd800eae2d411e75d', 'sec':3, 'channel':6, 'rssi':-79}
2022-05-30 08:04:44: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-34}
2022-05-30 02:02:46: {'ssid':'T20', 'bssid':'203e21a4208d079ae983dd09ea774f4f63fc35143d23d20a89e004b856b4b529', 'sec':3, 'channel':6, 'rssi':-35}
