Testing SD card write operations: 2022-05-25 20:16:37
2022-05-25 20:16:39: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'db2e7bbc29f462565b04ba4c23dec7f50edc0454694fe8890006d0e34c0327bd', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-25 20:16:40: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4447b793d4b9802aeda8244a4c5f73024c356f0543d153c408aa07b7620d175f', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-25 20:16:41: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '33a9a7ba08c711d2b19fbd33f3b80e6694d686f00629751dccee17000fe0b158', 'rssi': -74, 'name': 'Tb30', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 20:16:42: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '93ed2b118904c9d86097a31a293734ab9db41a7116f335ae79fad81d89e33039', 'rssi': -87, 'name': 'Tb31', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 20:16:43: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1ccad233d90983be1f0912f08d43c792477c83a48ffd191efa5008d396c6eef8', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-25 20:16:43: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '072348988eedbdd89de7101abec080b08ae932264fb30961b7e7bee68d55b196', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 20:16:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ab5790802582fe6e95d6df7801c6354a95a33bca6903d2f23c227fb673dcf674', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-25 20:16:45: {'adv_flag': 5, 'def_tx_pwr': 3, 'mac': 'b44addbbcb6b915651255fc4f550f3a4de8de48d4e0a3f52d937e9075f27d1b8', 'rssi': -89, 'name': 'Tb32', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 20:16:46: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '62798f95472b30ca518573b54bc62528bd8d7968d79605e893e12313f2894916', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-25 20:16:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'aed4346729260aec4b96dc6cf36c3edc625081fe38f497b88a28c7c80b3d56c4', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-05-25 20:16:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '83650a2c8c2a843cd0541df9f6a34b52552b7f306772be5158727ef75601d3d3', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-25 20:16:48: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b837fcd9b0261142a5a627def2687ac6626a8c85fff6d88f2c575f88cbb8a257', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
