Testing SD card write operations: 2022-05-25 20:16:37
2022-05-25 20:16:39: {'ssid':'T30', 'bssid':'34ebf0d58f2c3447c8ee7b259180c8954ba15e44f0475a1eceb8667d', 'sec':3, 'channel':6, 'rssi':-43}
2022-05-25 20:16:39: {'ssid':'T31', 'bssid':'64cd98077959815ec3a72547d8ca35efbaf3db0aa15e567c8e062b64', 'sec':3, 'channel':11, 'rssi':-90}
2022-05-25 20:16:40: {'ssid':'T30', 'bssid':'34ebf0d58f2c3447c8ee7b259180c8954ba15e44f0475a1eceb8667d', 'sec':3, 'channel':6, 'rssi':-29}
2022-05-25 20:16:40: {'ssid':'T31', 'bssid':'64cd98077959815ec3a72547d8ca35efbaf3db0aa15e567c8e062b64', 'sec':3, 'channel':11, 'rssi':-82}
2022-05-25 20:16:42: {'ssid':'T30', 'bssid':'34ebf0d58f2c3447c8ee7b259180c8954ba15e44f0475a1eceb8667d', 'sec':3, 'channel':6, 'rssi':-29}
2022-05-25 20:16:42: {'ssid':'T31', 'bssid':'64cd98077959815ec3a72547d8ca35efbaf3db0aa15e567c8e062b64', 'sec':3, 'channel':11, 'rssi':-86}
2022-05-25 20:16:44: {'ssid':'T30', 'bssid':'34ebf0d58f2c3447c8ee7b259180c8954ba15e44f0475a1eceb8667d', 'sec':3, 'channel':6, 'rssi':-29}
2022-05-25 20:16:44: {'ssid':'T30 de Fatima Zahra', 'bssid':'ee1c88659eaa68ae8b59be7c7c6b015dbd21b3f8fcf8f98689a03a89', 'sec':3, 'channel':6, 'rssi':-59}
2022-05-25 20:16:44: {'ssid':'T31', 'bssid':'64cd98077959815ec3a72547d8ca35efbaf3db0aa15e567c8e062b64', 'sec':3, 'channel':11, 'rssi':-86}
2022-05-25 20:16:46: {'ssid':'T30', 'bssid':'34ebf0d58f2c3447c8ee7b259180c8954ba15e44f0475a1eceb8667d', 'sec':3, 'channel':6, 'rssi':-33}
2022-05-25 20:16:46: {'ssid':'Celestine\u2019s T30', 'bssid':'77349ec06bbaa8979c5b7093d15bc1fa0301f88b1cd9ef4473c22e73', 'sec':3, 'channel':1, 'rssi':-79}
2022-05-25 20:16:46: {'ssid':'T31', 'bssid':'64cd98077959815ec3a72547d8ca35efbaf3db0aa15e567c8e062b64', 'sec':3, 'channel':11, 'rssi':-89}
2022-05-25 20:16:48: {'ssid':'T30', 'bssid':'34ebf0d58f2c3447c8ee7b259180c8954ba15e44f0475a1eceb8667d', 'sec':3, 'channel':6, 'rssi':-33}
2022-05-25 20:16:48: {'ssid':'T30 de Fatima Zahra', 'bssid':'ee1c88659eaa68ae8b59be7c7c6b015dbd21b3f8fcf8f98689a03a89', 'sec':3, 'channel':6, 'rssi':-63}
2022-05-25 20:16:49: {'ssid':'T30', 'bssid':'34ebf0d58f2c3447c8ee7b259180c8954ba15e44f0475a1eceb8667d', 'sec':3, 'channel':6, 'rssi':-36}
2022-05-25 20:16:49: {'ssid':'T30 de Fatima Zahra', 'bssid':'ee1c88659eaa68ae8b59be7c7c6b015dbd21b3f8fcf8f98689a03a89', 'sec':3, 'channel':6, 'rssi':-65}
2022-05-25 20:16:51: {'ssid':'T30', 'bssid':'34ebf0d58f2c3447c8ee7b259180c8954ba15e44f0475a1eceb8667d', 'sec':3, 'channel':6, 'rssi':-33}
2022-05-25 20:16:53: {'ssid':'T30', 'bssid':'34ebf0d58f2c3447c8ee7b259180c8954ba15e44f0475a1eceb8667d', 'sec':3, 'channel':6, 'rssi':-32}
2022-05-25 20:16:53: {'ssid':'T31', 'bssid':'64cd98077959815ec3a72547d8ca35efbaf3db0aa15e567c8e062b64', 'sec':3, 'channel':11, 'rssi':-88}
2022-05-25 20:16:55: {'ssid':'T30', 'bssid':'34ebf0d58f2c3447c8ee7b259180c8954ba15e44f0475a1eceb8667d', 'sec':3, 'channel':6, 'rssi':-29}
2022-05-25 20:16:55: {'ssid':'T31', 'bssid':'64cd98077959815ec3a72547d8ca35efbaf3db0aa15e567c8e062b64', 'sec':3, 'channel':11, 'rssi':-83}
2022-05-25 20:16:57: {'ssid':'T30', 'bssid':'34ebf0d58f2c3447c8ee7b259180c8954ba15e44f0475a1eceb8667d', 'sec':3, 'channel':6, 'rssi':-30}
2022-05-25 20:16:57: {'ssid':'T31', 'bssid':'64cd98077959815ec3a72547d8ca35efbaf3db0aa15e567c8e062b64', 'sec':3, 'channel':11, 'rssi':-85}
2022-05-25 20:16:59: {'ssid':'T30', 'bssid':'34ebf0d58f2c3447c8ee7b259180c8954ba15e44f0475a1eceb8667d', 'sec':3, 'channel':6, 'rssi':-20}
2022-05-25 20:17:01: {'ssid':'T30', 'bssid':'34ebf0d58f2c3447c8ee7b259180c8954ba15e44f0475a1eceb8667d', 'sec':3, 'channel':6, 'rssi':-43}
2022-05-25 20:17:01: {'ssid':'T30 de Fatima Zahra', 'bssid':'ee1c88659eaa68ae8b59be7c7c6b015dbd21b3f8fcf8f98689a03a89', 'sec':3, 'channel':6, 'rssi':-73}
2022-05-25 20:17:02: {'ssid':'T30', 'bssid':'34ebf0d58f2c3447c8ee7b259180c8954ba15e44f0475a1eceb8667d', 'sec':3, 'channel':6, 'rssi':-34}
2022-05-25 20:17:02: {'ssid':'T30 de Fatima Zahra', 'bssid':'ee1c88659eaa68ae8b59be7c7c6b015dbd21b3f8fcf8f98689a03a89', 'sec':3, 'channel':6, 'rssi':-58}
2022-05-25 20:17:02: {'ssid':'T31', 'bssid':'64cd98077959815ec3a72547d8ca35efbaf3db0aa15e567c8e062b64', 'sec':3, 'channel':11, 'rssi':-84}
2022-05-25 20:17:04: {'ssid':'T30', 'bssid':'34ebf0d58f2c3447c8ee7b259180c8954ba15e44f0475a1eceb8667d', 'sec':3, 'channel':6, 'rssi':-32}
2022-05-25 20:17:04: {'ssid':'Celestine\u2019s T30', 'bssid':'77349ec06bbaa8979c5b7093d15bc1fa0301f88b1cd9ef4473c22e73', 'sec':3, 'channel':1, 'rssi':-72}
2022-05-25 20:17:04: {'ssid':'T31', 'bssid':'64cd98077959815ec3a72547d8ca35efbaf3db0aa15e567c8e062b64', 'sec':3, 'channel':11, 'rssi':-82}
2022-05-25 20:17:06: {'ssid':'T30', 'bssid':'34ebf0d58f2c3447c8ee7b259180c8954ba15e44f0475a1eceb8667d', 'sec':3, 'channel':6, 'rssi':-21}
2022-05-25 20:17:06: {'ssid':'T30 de Fatima Zahra', 'bssid':'ee1c88659eaa68ae8b59be7c7c6b015dbd21b3f8fcf8f98689a03a89', 'sec':3, 'channel':6, 'rssi':-56}
2022-05-25 20:17:06: {'ssid':'T31', 'bssid':'64cd98077959815ec3a72547d8ca35efbaf3db0aa15e567c8e062b64', 'sec':3, 'channel':11, 'rssi':-83}
2022-05-25 20:17:08: {'ssid':'T30', 'bssid':'34ebf0d58f2c3447c8ee7b259180c8954ba15e44f0475a1eceb8667d', 'sec':3, 'channel':6, 'rssi':-40}
2022-05-25 20:17:08: {'ssid':'T31', 'bssid':'64cd98077959815ec3a72547d8ca35efbaf3db0aa15e567c8e062b64', 'sec':3, 'channel':11, 'rssi':-86}
2022-05-25 20:17:10: {'ssid':'T30', 'bssid':'34ebf0d58f2c3447c8ee7b259180c8954ba15e44f0475a1eceb8667d', 'sec':3, 'channel':6, 'rssi':-34}
2022-05-25 20:17:10: {'ssid':'Celestine\u2019s T30', 'bssid':'77349ec06bbaa8979c5b7093d15bc1fa0301f88b1cd9ef4473c22e73', 'sec':3, 'channel':1, 'rssi':-77}
2022-05-25 20:17:12: {'ssid':'T30', 'bssid':'34ebf0d58f2c3447c8ee7b259180c8954ba15e44f0475a1eceb8667d', 'sec':3, 'channel':6, 'rssi':-28}
2022-05-25 20:17:14: {'ssid':'T30', 'bssid':'34ebf0d58f2c3447c8ee7b259180c8954ba15e44f0475a1eceb8667d', 'sec':3, 'channel':6, 'rssi':-43}
2022-05-25 20:17:17: {'ssid':'T30', 'bssid':'34ebf0d58f2c3447c8ee7b259180c8954ba15e44f0475a1eceb8667d', 'sec':3, 'channel':6, 'rssi':-40}
2022-05-25 20:17:17: {'ssid':'T31', 'bssid':'64cd98077959815ec3a72547d8ca35efbaf3db0aa15e567c8e062b64', 'sec':3, 'channel':11, 'rssi':-79}
2022-05-25 20:17:19: {'ssid':'T30', 'bssid':'34ebf0d58f2c3447c8ee7b259180c8954ba15e44f0475a1eceb8667d', 'sec':3, 'channel':6, 'rssi':-35}
2022-05-25 20:17:21: {'ssid':'T30', 'bssid':'34ebf0d58f2c3447c8ee7b259180c8954ba15e44f0475a1eceb8667d', 'sec':3, 'channel':6, 'rssi':-40}
2022-05-25 20:17:21: {'ssid':'T30 de Fatima Zahra', 'bssid':'ee1c88659eaa68ae8b59be7c7c6b015dbd21b3f8fcf8f98689a03a89', 'sec':3, 'channel':6, 'rssi':-57}
2022-05-25 20:17:21: {'ssid':'T31', 'bssid':'64cd98077959815ec3a72547d8ca35efbaf3db0aa15e567c8e062b64', 'sec':3, 'channel':11, 'rssi':-85}
2022-05-25 20:17:23: {'ssid':'T30', 'bssid':'34ebf0d58f2c3447c8ee7b259180c8954ba15e44f0475a1eceb8667d', 'sec':3, 'channel':6, 'rssi':-42}
2022-05-25 20:17:23: {'ssid':'T30 de Fatima Zahra', 'bssid':'ee1c88659eaa68ae8b59be7c7c6b015dbd21b3f8fcf8f98689a03a89', 'sec':3, 'channel':6, 'rssi':-54}
2022-05-25 20:17:25: {'ssid':'T30', 'bssid':'34ebf0d58f2c3447c8ee7b259180c8954ba15e44f0475a1eceb8667d', 'sec':3, 'channel':6, 'rssi':-46}
2022-05-25 20:17:25: {'ssid':'T31', 'bssid':'64cd98077959815ec3a72547d8ca35efbaf3db0aa15e567c8e062b64', 'sec':3, 'channel':11, 'rssi':-83}
