Testing SD card write operations: 2022-06-27 09:35:23
2022-06-27 09:35:24: {'Acceleration': '(0.0, 0.0, 0.0)', 'Roll': '11.51513', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '13.88958'}
2022-06-27 09:35:25: {'Acceleration': '(-0.09838867, -0.1221924, 1.012573)', 'Roll': '5.952561', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '9.233683'}
2022-06-27 09:35:26: {'Acceleration': '(-0.09301758, -0.144165, 1.002197)', 'Roll': '5.302638', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '8.151225'}
2022-06-27 09:35:26: {'Acceleration': '(-0.1009521, -0.1208496, 0.9998779)', 'Roll': '5.583759', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '6.913889'}
2022-06-27 09:35:27: {'Acceleration': '(-0.09338379, -0.1479492, 1.021118)', 'Roll': '5.00082', 'battery_voltage': 4.47595, 'battery_percentage': 80.9283, 'Pitch': '7.158775'}
2022-06-27 09:35:28: {'Acceleration': '(-0.1077881, -0.1530762, 1.018433)', 'Roll': '6.041535', 'battery_voltage': 4.480968, 'battery_percentage': 81.43008, 'Pitch': '6.734287'}
2022-06-27 09:35:29: {'Acceleration': '(-0.0904541, -0.1329346, 0.9401855)', 'Roll': '5.768037', 'battery_voltage': 4.47595, 'battery_percentage': 80.9283, 'Pitch': '8.007592'}
2022-06-27 09:35:30: {'Acceleration': '(-0.08691406, -0.104248, 1.021851)', 'Roll': '4.868418', 'battery_voltage': 4.480968, 'battery_percentage': 81.43008, 'Pitch': '6.545721'}
2022-06-27 09:35:31: {'Acceleration': '(-0.05493164, -0.1636963, 0.9775391)', 'Roll': '3.216285', 'battery_voltage': 4.485986, 'battery_percentage': 81.93186, 'Pitch': '11.74693'}
2022-06-27 09:35:31: {'Acceleration': '(-0.07141113, -0.1593018, 0.9926758)', 'Roll': '4.114657', 'battery_voltage': 4.485986, 'battery_percentage': 81.93186, 'Pitch': '9.093823'}
2022-06-27 09:35:32: {'Acceleration': '(-0.09130859, -0.1671143, 1.001099)', 'Roll': '5.211436', 'battery_voltage': 4.485986, 'battery_percentage': 81.93186, 'Pitch': '7.662699'}
2022-06-27 09:35:33: {'Acceleration': '(-0.1037598, -0.1114502, 0.9261475)', 'Roll': '6.392404', 'battery_voltage': 4.485986, 'battery_percentage': 81.93186, 'Pitch': '6.819571'}
2022-06-27 09:35:34: {'Acceleration': '(-0.1987305, -0.1431885, 0.982666)', 'Roll': '11.43307', 'battery_voltage': 4.491004, 'battery_percentage': 82.43363, 'Pitch': '8.128178'}
