Testing SD card write operations: 2022-06-26 11:46:39
2022-06-26 11:46:39: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '42899ca2144687c4074ce3af96dad056f0ee46d24514e19f3769210dfba5ab92', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-26 11:46:40: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'cd7575f6e28c80871a76ed227e8386e5823b56f2167d69387f59553a8e0d6e34', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 11:46:41: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a18684bea3e49a77ae3e512923bfec54f477aab738bb9de8c6d64dff256f5731', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 11:46:42: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6b810c374386adf2df46f425ef44c8e2505d53fd2018dfd9bab93aa4b2b76699', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-26 11:46:42: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b146ee26d1c0d78d1584feae78a5ca41c264891b0ebfdcd07dcbca48866c5fc2', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 11:46:43: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1f3ccc95e49e131255a56c9798a069b864f36f5aca9e324e6bd598520cc13ab8', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-26 11:46:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'cd7575f6e28c80871a76ed227e8386e5823b56f2167d69387f59553a8e0d6e34', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 11:46:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1f3ccc95e49e131255a56c9798a069b864f36f5aca9e324e6bd598520cc13ab8', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-26 11:46:46: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a18684bea3e49a77ae3e512923bfec54f477aab738bb9de8c6d64dff256f5731', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 11:46:46: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1aa64ab93ac10224a4118f877465ac484617ff2c0f9c53fdde914a4f716a80de', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-26 11:46:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6c37578feb22327ac1574d8812abad178496884a12fb4373c4472f83743b3a0e', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 11:46:48: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6c37578feb22327ac1574d8812abad178496884a12fb4373c4472f83743b3a0e', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 11:46:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6c37578feb22327ac1574d8812abad178496884a12fb4373c4472f83743b3a0e', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
