Testing SD card write operations: 2022-07-03 10:15:04
2022-07-03 10:15:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f029529da1fedf6d4393c6f7fb4016d3966cac2064cd944523a6f494ff1b6c86', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-03 10:15:06: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '4a5c52aaeef69bbf670204eef7358b6c9628d49ecbbf708a1a24ccafaa273c5d', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:15:07: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '1effa86589d617ef744598c47fd01dd92d19dd0c7443103cfc20980faaaf9cf6', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:15:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '31726e7655150e8a9324db49936bd2270580a9ef91c4caa20f2970ad8b2ded7b', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-03 10:15:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd42c9cb53509f2d401c42f76639a75392d8acdf330372af5b82c097cd132a6a6', 'rssi': -97, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:15:09: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '1effa86589d617ef744598c47fd01dd92d19dd0c7443103cfc20980faaaf9cf6', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:15:10: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd42c9cb53509f2d401c42f76639a75392d8acdf330372af5b82c097cd132a6a6', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:15:11: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '4a5c52aaeef69bbf670204eef7358b6c9628d49ecbbf708a1a24ccafaa273c5d', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:15:12: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '1effa86589d617ef744598c47fd01dd92d19dd0c7443103cfc20980faaaf9cf6', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:15:12: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0feb61cfe6f6e389ffe565aa8becf117840d8b1742ef5a219168335c04f89337', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-03 10:15:13: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '603582249ce19d728f54eef4fcf59be0bda28406f570f5a85cf62e6815da62a4', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 10:15:14: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '59e4d0957cc5cafc763daf5c0bf88a127f926b4a5da3e3bb2ad4a925d4a1c793', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
