Testing SD card write operations: 2022-07-06 11:47:15
2022-07-06 11:47:17: {'adv_flag': 2, 'def_tx_pwr': 3, 'mac': '5d447076a503aafca5cd89454773f10433e5b786729a137f9cce63d5d67878fd', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 11:47:17: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '120d8b900e9cebe82cb7d9033a3e93a9b6b13d6cd816699f733a7a5321add68d', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-06 11:47:18: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'ddf2dd3529980f19a629122f8d69ba766aa4ed91cafa0de7c27dc459f845ba5e', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 11:47:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '117ae01e920c1400f648b152e1c95e54031888fc05660232e98dbf6d285a9600', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-06 11:47:20: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '11f2ce95616a7bb02fe6a476825ea4a219a6b008f2975b5fa9a7cd70f44d14d3', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 11:47:21: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd8cd75611c62afa863650e3079a4126680d35f408b390bf86d82e97628b7f8b0', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-06 11:47:21: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'a0f90369d46fe18a46f733574acc25190b7bb773ca5c96c3bd953145c24f1325', 'rssi': -56, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-06 11:47:22: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': 'cdb4c41d1b2111ecfb973e8173d609b9bfb90afe9550d50da7d08f2dd8a90e28', 'rssi': -76, 'name': 'Tb70\x00', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': -13, 'adv_tx_pwr': 3}
2022-07-06 11:47:23: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0893a6fe9bc03ff25d7ebf2a373d9b9e1ffc2b2fcdf26d9728c809057b5e116f', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 11:47:24: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'a0f90369d46fe18a46f733574acc25190b7bb773ca5c96c3bd953145c24f1325', 'rssi': -54, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-06 11:47:24: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '117ae01e920c1400f648b152e1c95e54031888fc05660232e98dbf6d285a9600', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
