Testing SD card write operations: 2022-07-06 11:47:15
2022-07-06 11:47:16: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-33}
2022-07-06 11:47:16: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-82}
2022-07-06 11:47:16: {'ssid':'Redmi Note 10 5G', 'bssid':b'\xc6\xe5v\xb9\xd1\xe7', 'sec':3, 'channel':1, 'rssi':-92}
2022-07-06 11:47:18: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-79}
2022-07-06 11:47:18: {'ssid':'Redmi Note 10 5G', 'bssid':b'\xc6\xe5v\xb9\xd1\xe7', 'sec':3, 'channel':1, 'rssi':-85}
2022-07-06 11:47:20: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-23}
2022-07-06 11:47:20: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!5\x0e\xef', 'sec':0, 'channel':6, 'rssi':-70}
2022-07-06 11:47:20: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-83}
2022-07-06 11:47:22: {'ssid':'Redmi Note 10 5G', 'bssid':b'\xc6\xe5v\xb9\xd1\xe7', 'sec':3, 'channel':1, 'rssi':-86}
2022-07-06 11:47:24: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-83}
2022-07-06 11:47:24: {'ssid':'Galaxy A52s 5G130B', 'bssid':b'\xae\xbd\x12\r\x8d\xe4', 'sec':3, 'channel':6, 'rssi':-87}
2022-07-06 11:47:26: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-33}
2022-07-06 11:47:27: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-41}
2022-07-06 11:47:27: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!5\x0e\xef', 'sec':0, 'channel':6, 'rssi':-72}
2022-07-06 11:47:29: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-39}
2022-07-06 11:47:29: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-85}
2022-07-06 11:47:29: {'ssid':'Redmi Note 10 5G', 'bssid':b'\xc6\xe5v\xb9\xd1\xe7', 'sec':3, 'channel':1, 'rssi':-90}
2022-07-06 11:47:31: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-41}
2022-07-06 11:47:31: {'ssid':'Redmi Note 10 5G', 'bssid':b'\xc6\xe5v\xb9\xd1\xe7', 'sec':3, 'channel':1, 'rssi':-83}
2022-07-06 11:47:31: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!c\xf0h', 'sec':0, 'channel':1, 'rssi':-85}
2022-07-06 11:47:35: {'ssid':'iPhone', 'bssid':b'\x1e/\x84\x83t\x84', 'sec':3, 'channel':6, 'rssi':-33}
