Testing SD card write operations: 2022-07-03 15:18:18
2022-07-03 15:18:18: {'Acceleration': '(-0.3054199, -0.2121582, 0.9512939)', 'Roll': '17.79961', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '11.9884'}
2022-07-03 15:18:18: {'Acceleration': '(-0.3132324, -0.192749, 0.9613037)', 'Roll': '18.34163', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '11.34236'}
2022-07-03 15:18:19: {'Acceleration': '(-0.3140869, -0.2032471, 0.9561768)', 'Roll': '18.83037', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '11.24894'}
2022-07-03 15:18:20: {'Acceleration': '(-0.3059082, -0.1959229, 0.9421387)', 'Roll': '17.98838', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '11.18815'}
2022-07-03 15:18:21: {'Acceleration': '(-0.3183594, -0.1813965, 0.9348145)', 'Roll': '18.80673', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '10.87302'}
2022-07-03 15:18:22: {'Acceleration': '(-0.3154297, -0.1936035, 0.9562988)', 'Roll': '18.25484', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '10.47463'}
2022-07-03 15:18:23: {'Acceleration': '(-0.3117676, -0.1964111, 0.9522705)', 'Roll': '19.32203', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '10.58629'}
2022-07-03 15:18:24: {'Acceleration': '(-0.3210449, -0.1864014, 0.9421387)', 'Roll': '18.81715', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '10.60718'}
2022-07-03 15:18:25: {'Acceleration': '(-0.3193359, -0.1936035, 0.9814453)', 'Roll': '18.02349', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '10.6243'}
2022-07-03 15:18:25: {'Acceleration': '(-0.3221436, -0.1900635, 0.9460449)', 'Roll': '18.80454', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '10.68727'}
2022-07-03 15:18:26: {'Acceleration': '(-0.3084717, -0.1854248, 0.9437256)', 'Roll': '18.1008', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '10.57859'}
2022-07-03 15:18:27: {'Acceleration': '(-0.3227539, -0.1940918, 0.9530029)', 'Roll': '18.70972', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '10.9183'}
2022-07-03 15:18:28: {'Acceleration': '(-0.3199463, -0.1917725, 0.9458008)', 'Roll': '18.15748', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '11.50602'}
2022-07-03 15:18:29: {'Acceleration': '(-0.3009033, -0.1721191, 0.9536133)', 'Roll': '18.19037', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.729961'}
2022-07-03 15:18:30: {'Acceleration': '(-0.3074951, -0.1976318, 0.9434814)', 'Roll': '17.71588', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '11.28443'}
2022-07-03 15:18:31: {'Acceleration': '(-0.3045654, -0.1800537, 0.9382324)', 'Roll': '17.98427', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '10.70116'}
2022-07-03 15:18:31: {'Acceleration': '(-0.3308105, -0.1744385, 0.942627)', 'Roll': '17.48612', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '9.487369'}
2022-07-03 15:18:32: {'Acceleration': '(-0.3017578, -0.1801758, 0.9118652)', 'Roll': '18.81378', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '10.81814'}
2022-07-03 15:18:33: {'Acceleration': '(-0.3104248, -0.1766357, 0.972168)', 'Roll': '17.7089', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '10.23024'}
2022-07-03 15:18:34: {'Acceleration': '(-0.300293, -0.1878662, 0.9541016)', 'Roll': '17.47082', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.766804'}
2022-07-03 15:18:35: {'Acceleration': '(-0.3145752, -0.1673584, 0.987793)', 'Roll': '19.08608', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '10.30893'}
2022-07-03 15:18:36: {'Acceleration': '(-0.3092041, -0.1890869, 0.9573975)', 'Roll': '17.89854', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '10.71422'}
2022-07-03 15:18:37: {'Acceleration': '(-0.3166504, -0.1795654, 0.9638672)', 'Roll': '18.2577', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.950879'}
2022-07-03 15:18:37: {'Acceleration': '(-0.3294678, -0.1824951, 0.9658203)', 'Roll': '19.09374', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '10.53684'}
2022-07-03 15:18:38: {'Acceleration': '(-0.3171387, -0.1837158, 0.9638672)', 'Roll': '18.21262', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '10.26247'}
