Testing SD card write operations: 2022-07-03 15:16:38
2022-07-03 15:16:39: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '21b15273dfabbeb514b341b52c18397b3ca9698ee9067fa867b9dc7c', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 15:16:40: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'deceb33b7b91e5dd6ba5976c6f3e235614b2f15ae968d6d38adf4a50', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 15:16:41: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bd2949e0864c7e9e42e72d01694bc75c49cf148b4edc916361c061c0', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-03 15:16:42: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'dafe57d67211d20b1948ab15f071901dd7210792969fe53bc4d10a89', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-03 15:16:43: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5dcc6f2dc75ef5c4007c2ae2527e2cb73817d9f6b42cd649afe1a5d8', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 15:16:43: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6b43a7a0d519108b9fd51ec3479194037f23a94b73c690d000ac5da1', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-03 15:16:44: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '738bdc3f6fc70b4446da8ce9583dcdb23a1647ee57f3f614ac4de469', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 15:16:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd5e02f1fdc669435fd7639c4cb2e6d5941d4a8b514a530c83bfb8357', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 15:16:46: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '10d21b6589614e2b8006b34cbb9bdcd05808be8f9f6917fb6f927f52', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-03 15:16:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bd2949e0864c7e9e42e72d01694bc75c49cf148b4edc916361c061c0', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-03 15:16:47: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'dcaa8e80efad007be9ea72364ae91fb80785cbced3a1f9722962e202', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 15:16:48: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4f7cce41c5e12be01e516f66e5efadb1457f20b5c30eceff58af142a', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-03 15:16:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6a1d43094cb12270045d10789ee6c894cb7d9ac5b3cc32559630d92e', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-03 15:16:50: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '0ade97556480681861a83ec9db9cb9225da2da24b7e318f7914465b3', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 15:16:51: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '2612f951c4c900b7b738a1f686c56bc3e24a5858ef603ff556e02c50', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-03 15:16:51: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6b43a7a0d519108b9fd51ec3479194037f23a94b73c690d000ac5da1', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
