Time,adv_flag,def_tx_pwr,mac,rssi,name,scan_tx_pwr,conn_tx_pwr,tx_range,adv_tx_pwr
07:30:18,26,3,b'76dd70afa1e1',-63,,3,64,7,3
07:30:19,,3,b'1f1583c6c37e',-87,,3,64,,3
07:30:20,,3,b'0d3ca1373847',-74,,3,64,,3
07:30:20,26,3,b'7dc022fe997d',-80,,3,64,24,3
07:30:21,,3,b'd5667e6f7a6b',-69,,3,64,,3
07:30:22,6,3,b'530e0cb7cb16',-83,,3,64,-11,3
07:30:23,,3,b'0d3ca1373847',-83,,3,64,,3
07:30:24,26,3,b'7af1939b155a',-61,,3,64,12,3
07:30:24,,3,b'23801c0e0548',-63,,3,64,,3
07:30:25,26,3,b'444f5ef03a84',-86,,3,64,7,3
07:30:26,,3,b'ce4797f197a9',-89,,3,64,,3
07:30:27,,3,b'ffdce254726b',-61,,3,64,,3
07:30:28,26,3,b'7af1939b155a',-64,,3,64,12,3
07:30:28,26,3,b'41ceab6b571f',-75,,3,64,12,3
07:30:29,6,3,b'70855d7604bd',-84,,3,64,-11,3
07:30:30,26,3,b'509e67c6e804',-75,,3,64,12,3
07:30:31,26,3,b'76dd70afa1e1',-70,,3,64,7,3
07:30:32,6,3,b'530e0cb7cb16',-84,,3,64,-11,3
07:30:32,26,3,b'41ceab6b571f',-73,,3,64,12,3
07:30:33,26,3,b'41ceab6b571f',-74,,3,64,12,3
07:30:34,6,3,b'7bfbb82eb3b8',-87,,3,64,,3
07:30:35,26,3,b'7af1939b155a',-64,,3,64,12,3
07:30:36,26,3,b'45f04694f34b',-71,,3,64,3,3
07:30:36,,3,b'0d3ca1373847',-74,,3,64,,3
07:30:37,26,3,b'45cc77e4e214',-86,,3,64,12,3
07:30:38,26,3,b'7dc022fe997d',-84,,3,64,24,3
07:30:39,26,3,b'7874d79a67f6',-87,,3,64,7,3
07:30:40,6,3,b'7bfbb82eb3b8',-89,,3,64,,3
07:30:40,26,3,b'5a4cb36dbccd',-83,,3,64,7,3
07:30:41,6,3,b'70855d7604bd',-84,,3,64,-11,3
07:30:42,6,3,b'60f430bbd1d0',-90,EDIFIER BLE,3,64,,3
07:30:43,26,3,b'45f04694f34b',-69,,3,64,3,3
07:30:44,26,3,b'45f04694f34b',-64,,3,64,3,3
07:30:44,26,3,b'431a6d5fd079',-83,,3,64,8,3
07:30:45,6,3,b'70855d7604bd',-88,,3,64,-11,3
07:30:46,26,3,b'7af1939b155a',-36,,3,64,12,3
07:30:47,,3,b'ffdce254726b',-39,,3,64,,3
07:30:48,26,3,b'45cc77e4e214',-81,,3,64,12,3
07:30:48,26,3,b'74437ca4645d',-85,,3,64,8,3
07:30:49,6,3,b'70855d7604bd',-75,,3,64,-11,3
07:30:50,,3,b'23801c0e0548',-65,,3,64,,3
07:30:51,,3,b'ffdce254726b',-40,,3,64,,3
07:30:52,26,3,b'45f04694f34b',-63,,3,64,,3
07:30:52,6,3,b'530e0cb7cb16',-89,,3,64,-11,3
07:30:53,26,3,b'45f04694f34b',-68,,3,64,,3
07:30:54,6,3,b'8c8590d36ce5',-91,,3,64,,3
07:30:55,,3,b'1f1583c6c37e',-85,,3,64,,3
07:30:55,26,3,b'7af1939b155a',-50,,3,64,12,3
07:30:56,26,3,b'45f04694f34b',-57,,3,64,,3
07:30:57,,3,b'0d3ca1373847',-74,,3,64,,3
07:30:58,,3,b'0d3ca1373847',-69,,3,64,,3
07:30:59,6,3,b'70855d7604bd',-87,,3,64,-11,3
07:30:59,26,3,b'45cc77e4e214',-75,,3,64,12,3
07:31:00,26,3,b'45cc77e4e214',-74,,3,64,12,3
07:31:01,24,3,b'41e266e0a358',-83,LE-Dark Star,3,64,-10,3
07:31:02,26,3,b'45f04694f34b',-59,,3,64,,3
07:31:03,6,3,b'60f430bbd1d0',-82,EDIFIER BLE,3,64,,3
07:31:03,,3,b'1f1583c6c37e',-84,,3,64,,3
07:31:04,26,3,b'45f04694f34b',-63,,3,64,,3
07:31:05,26,3,b'7c5a82cb65d1',-88,,3,64,,3
07:31:06,24,3,b'41e266e0a358',-91,LE-Dark Star,3,64,-10,3
07:31:06,,3,b'23801c0e0548',-67,,3,64,,3
07:31:07,6,3,b'70855d7604bd',-77,,3,64,-11,3
07:31:08,26,3,b'7c5a82cb65d1',-85,,3,64,,3
07:31:09,26,3,b'7874d79a67f6',-88,,3,64,7,3
07:31:10,,3,b'0d3ca1373847',-68,,3,64,,3
07:31:11,6,3,b'60f430bbd1d0',-79,EDIFIER BLE,3,64,,3
07:31:11,,3,b'0d3ca1373847',-70,,3,64,,3
07:31:12,,3,b'd14b3f53b133',-90,,3,64,,3
07:31:13,6,3,b'70855d7604bd',-77,,3,64,-11,3
07:31:14,,3,b'23801c0e0548',-72,,3,64,,3
07:31:15,,3,b'0d3ca1373847',-71,,3,64,,3
07:31:15,26,3,b'7c5a82cb65d1',-82,,3,64,,3
07:31:16,26,3,b'45f04694f34b',-75,,3,64,,3
07:31:17,,3,b'0d3ca1373847',-74,,3,64,,3
07:31:18,26,3,b'41ceab6b571f',-70,,3,64,12,3
07:31:19,26,3,b'509e67c6e804',-84,,3,64,12,3
