Testing SD card write operations: 2022-06-26 07:30:23
2022-06-26 07:30:24: {'Acceleration': '(0.0, 0.0, 0.0)', 'Roll': '-5.534475', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '-6.053741'}
2022-06-26 07:30:25: {'Acceleration': '(0.0567627, 0.1119385, 0.994873)', 'Roll': '-3.265482', 'battery_voltage': 4.47595, 'battery_percentage': 80.9283, 'Pitch': '-6.684312'}
2022-06-26 07:30:25: {'Acceleration': '(0.0814209, 0.1064453, 1.038574)', 'Roll': '-4.482637', 'battery_voltage': 4.470932, 'battery_percentage': 80.42647, 'Pitch': '-5.834135'}
2022-06-26 07:30:26: {'Acceleration': '(0.07885742, 0.1134033, 0.9990234)', 'Roll': '-4.513256', 'battery_voltage': 4.415735, 'battery_percentage': 74.9068, 'Pitch': '-6.45625'}
2022-06-26 07:30:27: {'Acceleration': '(0.06213379, 0.1020508, 1.010742)', 'Roll': '-3.51647', 'battery_voltage': 4.491004, 'battery_percentage': 82.43363, 'Pitch': '-6.369757'}
2022-06-26 07:30:28: {'Acceleration': '(0.07202148, 0.1082764, 0.9891357)', 'Roll': '-4.164502', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '-6.230681'}
2022-06-26 07:30:29: {'Acceleration': '(0.06176758, 0.09875488, 0.9912109)', 'Roll': '-3.565791', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '-5.67869'}
2022-06-26 07:30:30: {'Acceleration': '(0.05371094, 0.1011963, 0.9968262)', 'Roll': '-3.084226', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '-5.217427'}
2022-06-26 07:30:31: {'Acceleration': '(0.06103516, 0.09387207, 1.005127)', 'Roll': '-3.474952', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '-5.325808'}
2022-06-26 07:30:31: {'Acceleration': '(0.04833984, 0.104248, 1.006592)', 'Roll': '-3.39375', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '-5.902482'}
2022-06-26 07:30:32: {'Acceleration': '(0.06604004, 0.1107178, 1.002808)', 'Roll': '-3.767781', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '-5.401927'}
2022-06-26 07:30:33: {'Acceleration': '(0.04382324, 0.08935547, 1.013794)', 'Roll': '-2.475182', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '-5.032339'}
2022-06-26 07:30:34: {'Acceleration': '(0.04931641, 0.09216309, 0.9976807)', 'Roll': '-3.54971', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '-6.002296'}
2022-06-26 07:30:35: {'Acceleration': '(0.08056641, 0.1151123, 1.033447)', 'Roll': '-4.457699', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '-5.711082'}
2022-06-26 07:30:36: {'Acceleration': '(0.04589844, 0.1014404, 1.015381)', 'Roll': '-2.588189', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '-5.699356'}
2022-06-26 07:30:37: {'Acceleration': '(0.03405762, 0.07983398, 1.000732)', 'Roll': '-2.160301', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '-5.26083'}
2022-06-26 07:30:37: {'Acceleration': '(0.05041504, 0.1005859, 1.003052)', 'Roll': '-2.877359', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '-5.7193'}
2022-06-26 07:30:38: {'Acceleration': '(0.04833984, 0.0949707, 1.0)', 'Roll': '-3.303684', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '-5.731981'}
2022-06-26 07:30:39: {'Acceleration': '(0.03491211, 0.09057617, 1.013794)', 'Roll': '-2.372987', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '-5.351473'}
2022-06-26 07:30:40: {'Acceleration': '(0.04248047, 0.08764648, 0.987915)', 'Roll': '-2.462209', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '-5.065274'}
2022-06-26 07:30:41: {'Acceleration': '(0.05004883, 0.09814453, 1.021729)', 'Roll': '-2.804362', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '-5.480316'}
2022-06-26 07:30:42: {'Acceleration': '(0.05078125, 0.09411621, 1.0271)', 'Roll': '-1.555595', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '-5.707139'}
2022-06-26 07:30:43: {'Acceleration': '(0.04309082, 0.1019287, 1.055176)', 'Roll': '-2.338521', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '-5.513016'}
2022-06-26 07:30:43: {'Acceleration': '(0.0378418, 0.0925293, 1.042236)', 'Roll': '-2.079397', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '-5.07007'}
2022-06-26 07:30:44: {'Acceleration': '(0.02270508, 0.09777832, 1.058105)', 'Roll': '-1.973527', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '-4.325859'}
2022-06-26 07:30:45: {'Acceleration': '(0.02453613, 0.09472656, 1.011108)', 'Roll': '-1.390099', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '-5.350616'}
2022-06-26 07:30:46: {'Acceleration': '(0.03686523, 0.08068848, 1.021484)', 'Roll': '-2.0669', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '-4.513569'}
2022-06-26 07:30:47: {'Acceleration': '(0.01574707, 0.09082031, 1.009766)', 'Roll': '-2.338717', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '-4.830671'}
2022-06-26 07:30:48: {'Acceleration': '(0.0592041, 0.0838623, 1.017212)', 'Roll': '-3.33099', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '-5.102707'}
2022-06-26 07:30:49: {'Acceleration': '(0.04089355, 0.09362793, 0.9973145)', 'Roll': '-2.348022', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '-5.362643'}
2022-06-26 07:30:49: {'Acceleration': '(0.01306152, 0.07727051, 0.9976807)', 'Roll': '-3.391971', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '-4.541314'}
2022-06-26 07:30:50: {'Acceleration': '(0.05187988, 0.08361816, 0.9798584)', 'Roll': '-3.03077', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '-3.794365'}
2022-06-26 07:30:51: {'Acceleration': '(0.03222656, 0.09143066, 0.9736328)', 'Roll': '-1.895758', 'battery_voltage': 4.491004, 'battery_percentage': 82.43363, 'Pitch': '-5.330612'}
2022-06-26 07:30:52: {'Acceleration': '(0.04504395, 0.09509277, 0.9624023)', 'Roll': '-2.679696', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '-5.636817'}
2022-06-26 07:30:53: {'Acceleration': '(0.03417969, 0.07507324, 0.993042)', 'Roll': '-1.971295', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '-5.058861'}
2022-06-26 07:30:54: {'Acceleration': '(0.0489502, 0.09936523, 0.9957275)', 'Roll': '-2.814408', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '-5.495319'}
2022-06-26 07:30:54: {'Acceleration': '(0.03417969, 0.09057617, 0.9888916)', 'Roll': '-1.979562', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '-5.23022'}
2022-06-26 07:30:55: {'Acceleration': '(0.05114746, 0.0892334, 0.9837646)', 'Roll': '-2.976217', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '-5.578069'}
2022-06-26 07:30:56: {'Acceleration': '(0.03820801, 0.08496094, 1.014404)', 'Roll': '-2.157052', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '-4.466488'}
