Testing SD card write operations: 2022-06-26 07:30:17
2022-06-26 07:30:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'c0193af3b6925122e73ebf4dfe5dde5d528be0813c833fe57d5f8f38', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-26 07:30:19: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '3ef8efc8ed85036fa5407248cb4bb71bd4063985289c713e00dfac9d', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 07:30:20: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '229c4fa8a7a6c61e9682fe76bd3418afd8769aa8a3e1ffc892fdc333', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 07:30:20: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'dbfd2f4014aa7a4e09c0485e2061ce69eaa81e35ab1124332a80fbe6', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-06-26 07:30:21: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '689b1277798f757487a7865385f2996f3bbf5f382ece423feb8373ba', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 07:30:22: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '89a9722a5c30bf5e25fbfc22d2f85f42d7a85e788816695ac965089a', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': -11, 'adv_tx_pwr': 3}
2022-06-26 07:30:23: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '229c4fa8a7a6c61e9682fe76bd3418afd8769aa8a3e1ffc892fdc333', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 07:30:24: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '11b4f2249b600d8ba93d024c2bcae5dbc27fbae18c4703c8dcee0f85', 'rssi': -61, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-26 07:30:24: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '914e13d25787a38701ca26be09bef40a8adcd4263519a4e41b7e7033', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-26 07:30:25: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '26f1d3f795ed695d2bd91775804ea93a47b08d0c7dac3597e61bd43f', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-26 07:30:26: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e7ea37254bef2f443e4a66cdcd5118362a984a1c88adcb6df54f4ce2', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
