Time,Acceleration,Roll,battery_voltage,battery_percentage,Pitch
13:12:00,"(-0.4030762, -0.2318115, 0.9140625)",23.79615,4.556237,88.95696,13.06405
13:12:01,"(-0.418457, -0.2601318, 0.8903809)",25.38264,4.556237,88.95696,15.07673
13:12:02,"(-0.5097656, -0.3325195, 0.9486084)",31.52853,4.561255,89.45872,19.30981
13:12:03,"(-0.4831543, -0.4356689, 0.7548828)",33.1543,4.551219,88.45518,26.44587
13:12:03,"(-0.4986572, -0.4202881, 0.7799072)",32.42793,4.551219,88.45518,24.52763
13:12:04,"(-0.4671631, -0.3831787, 0.8920898)",27.90375,4.561255,89.45872,21.11258
13:12:05,"(-0.4770508, -0.3060303, 0.8409424)",28.62905,4.561255,89.45872,18.35524
13:12:06,"(-0.5219727, -0.2005615, 0.8493652)",31.18608,4.556237,88.95696,11.1797
13:12:07,"(-0.440918, -0.1386719, 0.8956299)",26.21099,4.556237,88.95696,7.9084
13:12:08,"(-0.4760742, -0.1343994, 0.8818359)",28.36315,4.556237,88.95696,7.641746
13:12:09,"(-0.461792, -0.1542969, 0.8936768)",27.32688,4.556237,88.95696,8.750123
13:12:09,"(-0.494873, -0.1981201, 0.8826904)",29.45735,4.556237,88.95696,11.99209
13:12:10,"(-0.4072266, -0.2160645, 0.8588867)",25.36717,4.556237,88.95696,12.80618
13:12:11,"(-0.3988037, -0.2009277, 0.9182129)",23.47656,4.556237,88.95696,11.3491
13:12:12,"(-0.2371826, -0.3448486, 0.9475098)",14.05361,4.556237,88.95696,19.20097
13:12:13,"(-0.7976074, -0.4189453, 0.578125)",54.0645,4.556237,88.95696,15.38362
13:12:14,"(-0.2460938, -0.2700195, 0.9532471)",15.85702,4.556237,88.95696,13.23666
13:12:15,"(-0.3068848, -0.2687988, 0.9295654)",18.27001,4.551219,88.45518,15.35437
13:12:16,"(-0.3408203, -0.2276611, 0.9151611)",20.42612,4.556237,88.95696,13.12267
13:12:16,"(-0.380127, -0.2819824, 0.9375)",22.07102,4.556237,88.95696,16.15771
13:12:17,"(-0.7485352, -0.5118408, 0.7565918)",42.21013,4.561255,89.45872,23.98493
13:12:18,"(-0.8244629, -0.3261719, 0.614624)",53.29605,4.556237,88.95696,17.59799
13:12:19,"(-0.552124, -0.3778076, 0.7427979)",36.62354,4.551219,88.45518,21.72836
13:12:20,"(-0.5625, -0.03527832, 0.7633057)",35.84749,4.556237,88.95696,3.103067
13:12:21,"(-0.4462891, -0.3146973, 0.9506836)",25.51442,4.556237,88.95696,15.52936
13:12:22,"(-0.5588379, -0.2001953, 0.7689209)",36.00898,4.556237,88.95696,11.89329
