Testing SD card write operations: 2022-07-01 13:12:00
2022-07-01 13:12:00: {'Acceleration': '(-0.4030762, -0.2318115, 0.9140625)', 'Roll': '23.79615', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '13.06405'}
2022-07-01 13:12:01: {'Acceleration': '(-0.418457, -0.2601318, 0.8903809)', 'Roll': '25.38264', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '15.07673'}
2022-07-01 13:12:02: {'Acceleration': '(-0.5097656, -0.3325195, 0.9486084)', 'Roll': '31.52853', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '19.30981'}
2022-07-01 13:12:03: {'Acceleration': '(-0.4831543, -0.4356689, 0.7548828)', 'Roll': '33.1543', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '26.44587'}
2022-07-01 13:12:03: {'Acceleration': '(-0.4986572, -0.4202881, 0.7799072)', 'Roll': '32.42793', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '24.52763'}
2022-07-01 13:12:04: {'Acceleration': '(-0.4671631, -0.3831787, 0.8920898)', 'Roll': '27.90375', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '21.11258'}
2022-07-01 13:12:05: {'Acceleration': '(-0.4770508, -0.3060303, 0.8409424)', 'Roll': '28.62905', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '18.35524'}
2022-07-01 13:12:06: {'Acceleration': '(-0.5219727, -0.2005615, 0.8493652)', 'Roll': '31.18608', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '11.1797'}
2022-07-01 13:12:07: {'Acceleration': '(-0.440918, -0.1386719, 0.8956299)', 'Roll': '26.21099', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '7.9084'}
2022-07-01 13:12:08: {'Acceleration': '(-0.4760742, -0.1343994, 0.8818359)', 'Roll': '28.36315', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '7.641746'}
2022-07-01 13:12:09: {'Acceleration': '(-0.461792, -0.1542969, 0.8936768)', 'Roll': '27.32688', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '8.750123'}
2022-07-01 13:12:09: {'Acceleration': '(-0.494873, -0.1981201, 0.8826904)', 'Roll': '29.45735', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '11.99209'}
2022-07-01 13:12:10: {'Acceleration': '(-0.4072266, -0.2160645, 0.8588867)', 'Roll': '25.36717', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '12.80618'}
2022-07-01 13:12:11: {'Acceleration': '(-0.3988037, -0.2009277, 0.9182129)', 'Roll': '23.47656', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '11.3491'}
2022-07-01 13:12:12: {'Acceleration': '(-0.2371826, -0.3448486, 0.9475098)', 'Roll': '14.05361', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '19.20097'}
2022-07-01 13:12:13: {'Acceleration': '(-0.7976074, -0.4189453, 0.578125)', 'Roll': '54.0645', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '15.38362'}
2022-07-01 13:12:14: {'Acceleration': '(-0.2460938, -0.2700195, 0.9532471)', 'Roll': '15.85702', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '13.23666'}
2022-07-01 13:12:15: {'Acceleration': '(-0.3068848, -0.2687988, 0.9295654)', 'Roll': '18.27001', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '15.35437'}
2022-07-01 13:12:16: {'Acceleration': '(-0.3408203, -0.2276611, 0.9151611)', 'Roll': '20.42612', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '13.12267'}
2022-07-01 13:12:16: {'Acceleration': '(-0.380127, -0.2819824, 0.9375)', 'Roll': '22.07102', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '16.15771'}
2022-07-01 13:12:17: {'Acceleration': '(-0.7485352, -0.5118408, 0.7565918)', 'Roll': '42.21013', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '23.98493'}
2022-07-01 13:12:18: {'Acceleration': '(-0.8244629, -0.3261719, 0.614624)', 'Roll': '53.29605', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '17.59799'}
2022-07-01 13:12:19: {'Acceleration': '(-0.552124, -0.3778076, 0.7427979)', 'Roll': '36.62354', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '21.72836'}
2022-07-01 13:12:20: {'Acceleration': '(-0.5625, -0.03527832, 0.7633057)', 'Roll': '35.84749', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '3.103067'}
2022-07-01 13:12:21: {'Acceleration': '(-0.4462891, -0.3146973, 0.9506836)', 'Roll': '25.51442', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '15.52936'}
2022-07-01 13:12:22: {'Acceleration': '(-0.5588379, -0.2001953, 0.7689209)', 'Roll': '36.00898', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '11.89329'}
2022-07-01 13:12:22: {'Acceleration': '(-0.5228271, -0.2113037, 0.8465576)', 'Roll': '31.69914', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '11.98963'}
2022-07-01 13:12:23: {'Acceleration': '(-0.5906982, -0.1433105, 0.7613525)', 'Roll': '37.80623', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '11.20935'}
2022-07-01 13:12:24: {'Acceleration': '(-0.3896484, -0.309082, 0.8786621)', 'Roll': '23.91521', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '17.82593'}
2022-07-01 13:12:25: {'Acceleration': '(-0.4918213, -0.1896973, 0.84375)', 'Roll': '30.23788', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '10.99208'}
2022-07-01 13:12:26: {'Acceleration': '(-0.5828857, -0.2008057, 0.8181152)', 'Roll': '35.46888', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '11.3045'}
2022-07-01 13:12:27: {'Acceleration': '(-0.5598145, -0.182373, 0.8249512)', 'Roll': '33.96887', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '10.51229'}
2022-07-01 13:12:28: {'Acceleration': '(-0.5395508, -0.1787109, 0.8303223)', 'Roll': '33.30143', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '10.46155'}
2022-07-01 13:12:28: {'Acceleration': '(-0.5533447, -0.1845703, 0.8361816)', 'Roll': '33.48923', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '10.1427'}
2022-07-01 13:12:29: {'Acceleration': '(-0.5323486, -0.1794434, 0.8359375)', 'Roll': '32.49014', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '10.28832'}
2022-07-01 13:12:30: {'Acceleration': '(-0.6203613, -0.2557373, 0.7884521)', 'Roll': '38.19599', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '14.2617'}
2022-07-01 13:12:31: {'Acceleration': '(-0.5820313, -0.2059326, 0.8103027)', 'Roll': '36.00163', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '11.2521'}
2022-07-01 13:12:32: {'Acceleration': '(-0.5961914, -0.1806641, 0.7980957)', 'Roll': '36.76037', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '10.27912'}
