Time,ssid,bssid,sec,channel,rssi
14:16:17,BS20,32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf,3,6,-32
14:16:19,BS20,32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf,3,6,-22
14:16:20,BS20,32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf,3,6,-32
14:16:22,BS20,32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf,3,6,-47
14:16:24,BS20,32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf,3,6,-30
14:16:26,BS20,32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf,3,6,-35
14:16:28,BS20,32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf,3,6,-43
14:16:30,BS20,32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf,3,6,-30
14:16:32,BS20,32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf,3,6,-25
14:16:33,BS20,32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf,3,6,-19
14:16:35,BS20,32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf,3,6,-29
14:16:37,BS20,32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf,3,6,-20
14:16:39,BS20,32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf,3,6,-19
14:16:41,BS20,32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf,3,6,-20
14:16:43,BS20,32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf,3,6,-27
14:16:44,BS20,32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf,3,6,-28
14:16:46,BS20,32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf,3,6,-19
14:16:48,BS20,32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf,3,6,-25
14:16:50,BS20,32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf,3,6,-19
14:16:52,BS20,32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf,3,6,-20
14:16:54,BS20,32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf,3,6,-26
14:16:56,BS20,32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf,3,6,-27
14:16:57,BS20,32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf,3,6,-28
14:16:59,BS20,32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf,3,6,-29
14:17:01,BS20,32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf,3,6,-29
14:17:03,BS20,32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf,3,6,-29
14:17:05,BS20,32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf,3,6,-35
14:17:08,BS20,32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf,3,6,-30
14:17:10,BS20,32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf,3,6,-27
14:17:12,BS20,32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf,3,6,-31
14:17:14,BS20,32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf,3,6,-37
14:17:16,BS20,32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf,3,6,-36
14:17:16,BS21,258bc5ec68278057bb089640774f3fc43509349a3fbd49ab45eb7ea9,2,1,-93
14:17:18,BS20,32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf,3,6,-29
14:17:20,BS20,32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf,3,6,-40
14:17:21,BS20,32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf,3,6,-28
14:17:23,BS20,32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf,3,6,-36
14:17:27,BS20,32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf,3,6,-35
14:17:29,BS20,32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf,3,6,-39
14:17:31,BS20,32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf,3,6,-35
14:17:32,BS20,32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf,3,6,-44
14:17:34,BS20,32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf,3,6,-32
14:17:36,BS20,32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf,3,6,-29
14:17:38,BS20,32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf,3,6,-39
14:17:40,BS20,32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf,3,6,-31
14:17:42,BS20,32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf,3,6,-29
