Testing SD card write operations: 2022-06-25 14:16:17
2022-06-25 14:18:11: {'Acceleration': '(0.1425781, 0.01281738, 0.9949951)', 'Roll': '-7.932927', 'battery_voltage': 4.480968, 'battery_percentage': 81.43008, 'Pitch': '-0.3676293'}
2022-06-25 14:18:12: {'Acceleration': '(0.1380615, 0.01489258, 1.006104)', 'Roll': '-7.857808', 'battery_voltage': 4.485986, 'battery_percentage': 81.93186, 'Pitch': '-0.7685247'}
2022-06-25 14:18:13: {'Acceleration': '(0.1503906, 0.02026367, 0.993042)', 'Roll': '-8.611684', 'battery_voltage': 4.480968, 'battery_percentage': 81.43008, 'Pitch': '-1.15582'}
2022-06-25 14:18:14: {'Acceleration': '(0.1378174, 0.01831055, 0.9852295)', 'Roll': '-7.916586', 'battery_voltage': 4.480968, 'battery_percentage': 81.43008, 'Pitch': '-0.9987665'}
2022-06-25 14:18:15: {'Acceleration': '(0.135498, 0.02050781, 1.000366)', 'Roll': '-7.71368', 'battery_voltage': 4.485986, 'battery_percentage': 81.93186, 'Pitch': '-1.110928'}
2022-06-25 14:18:16: {'Acceleration': '(0.130249, 0.01672363, 1.004639)', 'Roll': '-7.387057', 'battery_voltage': 4.480968, 'battery_percentage': 81.43008, 'Pitch': '-0.9457673'}
2022-06-25 14:18:17: {'Acceleration': '(0.1363525, 0.01904297, 0.9975586)', 'Roll': '-7.783312', 'battery_voltage': 4.480968, 'battery_percentage': 81.43008, 'Pitch': '-1.02057'}
2022-06-25 14:18:17: {'Acceleration': '(0.1365967, 0.01953125, 1.002319)', 'Roll': '-7.760495', 'battery_voltage': 4.480968, 'battery_percentage': 81.43008, 'Pitch': '-1.110753'}
2022-06-25 14:18:18: {'Acceleration': '(0.1363525, 0.02355957, 0.9953613)', 'Roll': '-7.800282', 'battery_voltage': 4.480968, 'battery_percentage': 81.43008, 'Pitch': '-1.34336'}
2022-06-25 14:18:19: {'Acceleration': '(0.1365967, 0.02270508, 1.005981)', 'Roll': '-8.062096', 'battery_voltage': 4.485986, 'battery_percentage': 81.93186, 'Pitch': '-0.940761'}
2022-06-25 14:18:20: {'Acceleration': '(0.135376, 0.02233887, 1.001221)', 'Roll': '-7.700316', 'battery_voltage': 4.485986, 'battery_percentage': 81.93186, 'Pitch': '-1.265265'}
2022-06-25 14:18:21: {'Acceleration': '(0.1309814, 0.01855469, 1.004395)', 'Roll': '-8.071004', 'battery_voltage': 4.485986, 'battery_percentage': 81.93186, 'Pitch': '-1.260424'}
2022-06-25 14:18:22: {'Acceleration': '(0.135376, 0.02209473, 1.00415)', 'Roll': '-7.53311', 'battery_voltage': 4.480968, 'battery_percentage': 81.43008, 'Pitch': '-1.220681'}
2022-06-25 14:18:23: {'Acceleration': '(0.1341553, 0.02197266, 1.000122)', 'Roll': '-7.639987', 'battery_voltage': 4.480968, 'battery_percentage': 81.43008, 'Pitch': '-1.245177'}
2022-06-25 14:18:23: {'Acceleration': '(0.140625, 0.02062988, 1.004395)', 'Roll': '-7.970156', 'battery_voltage': 4.480968, 'battery_percentage': 81.43008, 'Pitch': '-1.165305'}
2022-06-25 14:18:24: {'Acceleration': '(0.1335449, 0.02441406, 1.005493)', 'Roll': '-7.565481', 'battery_voltage': 4.480968, 'battery_percentage': 81.43008, 'Pitch': '-1.378804'}
2022-06-25 14:18:25: {'Acceleration': '(0.1375732, 0.02246094, 0.9984131)', 'Roll': '-7.882607', 'battery_voltage': 4.480968, 'battery_percentage': 81.43008, 'Pitch': '-1.087959'}
2022-06-25 14:18:26: {'Acceleration': '(0.1416016, 0.02722168, 0.9998779)', 'Roll': '-8.060559', 'battery_voltage': 4.485986, 'battery_percentage': 81.93186, 'Pitch': '-1.544093'}
2022-06-25 14:18:27: {'Acceleration': '(0.1368408, 0.03271484, 1.015015)', 'Roll': '-7.678127', 'battery_voltage': 4.480968, 'battery_percentage': 81.43008, 'Pitch': '-1.829516'}
2022-06-25 14:18:28: {'Acceleration': '(0.1258545, 0.02001953, 0.9970703)', 'Roll': '-7.473708', 'battery_voltage': 4.485986, 'battery_percentage': 81.93186, 'Pitch': '-1.20364'}
2022-06-25 14:18:29: {'Acceleration': '(0.1444092, -0.06396484, 0.9134521)', 'Roll': '-8.983636', 'battery_voltage': 4.480968, 'battery_percentage': 81.43008, 'Pitch': '3.956641'}
2022-06-25 14:18:29: {'Acceleration': '(0.03515625, 0.0411377, 0.9628906)', 'Roll': '-2.091006', 'battery_voltage': 4.480968, 'battery_percentage': 81.43008, 'Pitch': '-2.44474'}
2022-06-25 14:18:30: {'Acceleration': '(0.1190186, 0.01647949, 0.9959717)', 'Roll': '-6.413947', 'battery_voltage': 4.480968, 'battery_percentage': 81.43008, 'Pitch': '-1.015635'}
2022-06-25 14:18:31: {'Acceleration': '(0.1334229, 0.02416992, 1.002197)', 'Roll': '-7.583215', 'battery_voltage': 4.485986, 'battery_percentage': 81.93186, 'Pitch': '-1.373561'}
2022-06-25 14:18:32: {'Acceleration': '(0.130249, 0.03027344, 0.9978027)', 'Roll': '-7.4371', 'battery_voltage': 4.485986, 'battery_percentage': 81.93186, 'Pitch': '-1.723216'}
2022-06-25 14:18:33: {'Acceleration': '(0.1326904, 0.02978516, 1.004883)', 'Roll': '-7.39763', 'battery_voltage': 4.485986, 'battery_percentage': 81.93186, 'Pitch': '-1.559621'}
2022-06-25 14:18:34: {'Acceleration': '(0.1291504, 0.03076172, 1.006958)', 'Roll': '-7.308738', 'battery_voltage': 4.480968, 'battery_percentage': 81.43008, 'Pitch': '-1.592881'}
2022-06-25 14:18:35: {'Acceleration': '(0.1330566, 0.02734375, 0.9997559)', 'Roll': '-7.580896', 'battery_voltage': 4.480968, 'battery_percentage': 81.43008, 'Pitch': '-1.552987'}
2022-06-25 14:18:35: {'Acceleration': '(0.130249, 0.0300293, 0.9931641)', 'Roll': '-7.374499', 'battery_voltage': 4.485986, 'battery_percentage': 81.93186, 'Pitch': '-1.71755'}
2022-06-25 14:18:36: {'Acceleration': '(0.1289063, 0.02783203, 1.001587)', 'Roll': '-7.333766', 'battery_voltage': 4.485986, 'battery_percentage': 81.93186, 'Pitch': '-1.77243'}
2022-06-25 14:18:37: {'Acceleration': '(0.1323242, 0.03027344, 1.00061)', 'Roll': '-7.533282', 'battery_voltage': 4.485986, 'battery_percentage': 81.93186, 'Pitch': '-1.718005'}
2022-06-25 14:18:38: {'Acceleration': '(0.1333008, 0.03100586, 0.9958496)', 'Roll': '-7.416994', 'battery_voltage': 4.485986, 'battery_percentage': 81.93186, 'Pitch': '-1.476147'}
2022-06-25 14:18:39: {'Acceleration': '(0.1333008, 0.02783203, 1.000122)', 'Roll': '-7.710386', 'battery_voltage': 4.480968, 'battery_percentage': 81.43008, 'Pitch': '-1.681512'}
2022-06-25 14:18:40: {'Acceleration': '(0.1308594, 0.02941895, 0.9981689)', 'Roll': '-7.468848', 'battery_voltage': 4.485986, 'battery_percentage': 81.93186, 'Pitch': '-1.670658'}
2022-06-25 14:18:40: {'Acceleration': '(0.1282959, 0.02941895, 1.003052)', 'Roll': '-7.44661', 'battery_voltage': 4.480968, 'battery_percentage': 81.43008, 'Pitch': '-1.603635'}
2022-06-25 14:18:41: {'Acceleration': '(0.1312256, 0.02355957, 0.9918213)', 'Roll': '-7.626974', 'battery_voltage': 4.485986, 'battery_percentage': 81.93186, 'Pitch': '-1.593173'}
2022-06-25 14:18:42: {'Acceleration': '(0.1318359, 0.03186035, 1.002319)', 'Roll': '-7.493149', 'battery_voltage': 4.485986, 'battery_percentage': 81.93186, 'Pitch': '-1.795646'}
2022-06-25 14:18:43: {'Acceleration': '(0.1320801, 0.02783203, 1.004395)', 'Roll': '-7.491534', 'battery_voltage': 4.480968, 'battery_percentage': 81.43008, 'Pitch': '-1.573733'}
2022-06-25 14:18:44: {'Acceleration': '(0.1304932, 0.02966309, 1.002563)', 'Roll': '-7.415898', 'battery_voltage': 4.485986, 'battery_percentage': 81.93186, 'Pitch': '-1.680562'}
2022-06-25 14:18:45: {'Acceleration': '(0.1350098, 0.02978516, 0.996582)', 'Roll': '-7.687143', 'battery_voltage': 4.485986, 'battery_percentage': 81.93186, 'Pitch': '-1.489084'}
2022-06-25 14:18:46: {'Acceleration': '(0.1434326, 0.03662109, 0.9915771)', 'Roll': '-8.230801', 'battery_voltage': 4.485986, 'battery_percentage': 81.93186, 'Pitch': '-2.093329'}
2022-06-25 14:18:46: {'Acceleration': '(0.1448975, 0.04626465, 0.9915771)', 'Roll': '-8.313691', 'battery_voltage': 4.485986, 'battery_percentage': 81.93186, 'Pitch': '-2.643316'}
2022-06-25 14:18:47: {'Acceleration': '(0.1689453, 0.1000977, 1.008545)', 'Roll': '-7.896957', 'battery_voltage': 4.480968, 'battery_percentage': 81.43008, 'Pitch': '-3.71098'}
2022-06-25 14:18:48: {'Acceleration': '(0.1394043, 0.05310059, 1.002197)', 'Roll': '-7.918953', 'battery_voltage': 4.480968, 'battery_percentage': 81.43008, 'Pitch': '-3.140727'}
2022-06-25 14:18:49: {'Acceleration': '(0.1262207, 0.08215332, 1.058228)', 'Roll': '-6.801853', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '-3.013619'}
2022-06-25 14:18:50: {'Acceleration': '(0.173584, 0.09997559, 1.011108)', 'Roll': '-9.741402', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '-5.565987'}
2022-06-25 14:18:51: {'Acceleration': '(0.1325684, 0.1309814, 0.9664307)', 'Roll': '-7.352824', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '-8.807084'}
2022-06-25 14:18:52: {'Acceleration': '(0.08325195, 0.1732178, 0.9956055)', 'Roll': '-4.615523', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '-9.773723'}
2022-06-25 14:18:52: {'Acceleration': '(0.09484863, 0.1628418, 0.9918213)', 'Roll': '-5.462627', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '-9.282293'}
2022-06-25 14:18:53: {'Acceleration': '(0.1074219, 0.09191895, 0.9958496)', 'Roll': '-6.926118', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '-5.235305'}
2022-06-25 14:18:54: {'Acceleration': '(0.05285645, 0.2767334, 0.99646)', 'Roll': '-2.020622', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '-14.64187'}
2022-06-25 14:18:55: {'Acceleration': '(0.1618652, 0.1962891, 1.098511)', 'Roll': '-8.382198', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '-10.48628'}
2022-06-25 14:18:56: {'Acceleration': '(0.006958008, -0.1101074, 1.005859)', 'Roll': '-0.3963358', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '6.180269'}
2022-06-25 14:18:57: {'Acceleration': '(-0.002563477, -0.1082764, 1.004639)', 'Roll': '0.1461979', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '6.15137'}
2022-06-25 14:18:57: {'Acceleration': '(-0.002807617, -0.1096191, 1.005493)', 'Roll': '0.2631087', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '6.248156'}
2022-06-25 14:18:58: {'Acceleration': '(0.0001220703, -0.1156006, 1.002197)', 'Roll': '0.08350119', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '6.389059'}
2022-06-25 14:18:59: {'Acceleration': '(-0.001708984, -0.1126709, 1.003174)', 'Roll': '0.0976077', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '6.399011'}
2022-06-25 14:19:00: {'Acceleration': '(-0.005371094, -0.112793, 1.005127)', 'Roll': '-0.01391688', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '6.40281'}
2022-06-25 14:19:01: {'Acceleration': '(-0.009155273, -0.1152344, 1.006592)', 'Roll': '0.138966', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '6.530756'}
2022-06-25 14:19:02: {'Acceleration': '(-0.003662109, -0.1148682, 1.005127)', 'Roll': '0.2087522', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '6.376084'}
2022-06-25 14:19:03: {'Acceleration': '(-0.0003662109, -0.1119385, 0.9995117)', 'Roll': '0.02099259', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '6.390108'}
2022-06-25 14:19:03: {'Acceleration': '(-0.0009765625, -0.1152344, 1.009033)', 'Roll': '0.05545198', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '6.515107'}
2022-06-25 14:19:04: {'Acceleration': '(-0.002075195, -0.1115723, 1.002441)', 'Roll': '0.1185236', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '6.463358'}
2022-06-25 14:19:05: {'Acceleration': '(-0.002319336, -0.1149902, 1.005005)', 'Roll': '0.1322261', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '6.527243'}
2022-06-25 14:19:06: {'Acceleration': '(-0.001464844, -0.1143799, 1.004639)', 'Roll': '0.08354177', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '6.49525'}
2022-06-25 14:19:07: {'Acceleration': '(-0.005371094, -0.112915, 1.01001)', 'Roll': '0.05577587', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '6.449592'}
2022-06-25 14:19:08: {'Acceleration': '(-0.002563477, -0.1152344, 1.003906)', 'Roll': '0.1463046', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '6.383711'}
2022-06-25 14:19:09: {'Acceleration': '(-0.003173828, -0.112915, 1.005005)', 'Roll': '0.04175569', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '6.609676'}
2022-06-25 14:19:10: {'Acceleration': '(0.002197266, -0.1153564, 1.008179)', 'Roll': '0.3676758', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '6.527298'}
2022-06-25 14:19:11: {'Acceleration': '(0.001586914, -0.112793, 1.005249)', 'Roll': '-0.09044863', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '6.402031'}
2022-06-25 14:19:11: {'Acceleration': '(0.001953125, -0.1157227, 1.006836)', 'Roll': '0.1047454', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '6.54933'}
2022-06-25 14:19:12: {'Acceleration': '(-0.001708984, -0.1159668, 1.010132)', 'Roll': '0.09693536', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '6.388051'}
2022-06-25 14:19:13: {'Acceleration': '(0.002929688, -0.1151123, 1.007935)', 'Roll': '-0.1667792', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '6.504087'}
2022-06-25 14:19:14: {'Acceleration': '(-0.003173828, -0.1170654, 1.005371)', 'Roll': '0.1808748', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '6.64158'}
2022-06-25 14:19:15: {'Acceleration': '(-0.03100586, -0.1134033, 1.003052)', 'Roll': '0.1115652', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '6.45036'}
2022-06-25 14:19:16: {'Acceleration': '(-0.002807617, -0.1158447, 1.011475)', 'Roll': '0.1590393', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '6.533623'}
2022-06-25 14:19:17: {'Acceleration': '(-0.005126953, -0.1158447, 1.008545)', 'Roll': '0.1737283', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '6.428621'}
2022-06-25 14:19:17: {'Acceleration': '(-0.001953125, -0.1134033, 1.006958)', 'Roll': '0.1111324', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '6.595609'}
2022-06-25 14:19:18: {'Acceleration': '(-0.0008544922, -0.1174316, 1.006714)', 'Roll': '0.04863227', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '6.469042'}
2022-06-25 14:19:19: {'Acceleration': '(0.0007324219, -0.1141357, 1.005615)', 'Roll': '-0.04173035', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '6.475269'}
2022-06-25 14:19:20: {'Acceleration': '(-0.002197266, -0.1157227, 1.008179)', 'Roll': '0.1248725', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '6.547958'}
