Testing SD card write operations: 2022-06-25 14:16:17
2022-06-25 14:16:17: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-32}
2022-06-25 14:16:19: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-22}
2022-06-25 14:16:20: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-32}
2022-06-25 14:16:22: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-47}
2022-06-25 14:16:24: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-30}
2022-06-25 14:16:26: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-35}
2022-06-25 14:16:28: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-43}
2022-06-25 14:16:30: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-30}
2022-06-25 14:16:32: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-25}
2022-06-25 14:16:33: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-19}
2022-06-25 14:16:35: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-29}
2022-06-25 14:16:37: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-20}
2022-06-25 14:16:39: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-19}
2022-06-25 14:16:41: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-20}
2022-06-25 14:16:43: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-27}
2022-06-25 14:16:44: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-28}
2022-06-25 14:16:46: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-19}
2022-06-25 14:16:48: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-25}
2022-06-25 14:16:50: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-19}
2022-06-25 14:16:52: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-20}
2022-06-25 14:16:54: {'ssid':'BS20', 'bssid':'32f26caf3f15a2df433d338390ca5e2e78cf4a4e15fcefebab31c2cf', 'sec':3, 'channel':6, 'rssi':-26}
