Time,spreading_factor,data,frequency,bandwidth,rx_timestamp,rssi,snr,sfrx,sftx,tx_trials,tx_power,tx_time_on_air,tx_counter,tx_frequency
16:46:46,7,b'',863000000,0,0,0,0.0,0,0,0,14,0,0,0
16:46:48,7,b'',864000000,0,0,0,0.0,0,0,0,14,0,0,0
16:46:50,7,b'',865000000,0,0,0,0.0,0,0,0,14,0,0,0
16:46:51,7,b'',866000000,0,0,0,0.0,0,0,0,14,0,0,0
16:46:53,7,b'',867000000,0,0,0,0.0,0,0,0,14,0,0,0
16:46:55,7,b'',868000000,0,0,0,0.0,0,0,0,14,0,0,0
16:46:57,7,b'',869000000,0,0,0,0.0,0,0,0,14,0,0,0
16:46:59,7,b'',864862500,0,0,0,0.0,0,0,0,14,0,0,0
16:47:00,7,b'',865062500,0,0,0,0.0,0,0,0,14,0,0,0
16:47:02,7,b'',865402500,0,0,0,0.0,0,0,0,14,0,0,0
16:47:04,7,b'',865602500,0,0,0,0.0,0,0,0,14,0,0,0
16:47:06,7,b'',865985000,0,0,0,0.0,0,0,0,14,0,0,0
16:47:08,7,b'',866200000,0,0,0,0.0,0,0,0,14,0,0,0
16:47:09,7,b'',866400000,0,0,0,0.0,0,0,0,14,0,0,0
16:47:11,7,b'',866600000,0,0,0,0.0,0,0,0,14,0,0,0
16:47:13,7,b'',863000000,0,0,0,0.0,0,0,0,14,0,0,0
16:47:15,7,b'',864000000,0,0,0,0.0,0,0,0,14,0,0,0
16:47:17,7,b'',865000000,0,0,0,0.0,0,0,0,14,0,0,0
16:47:18,7,b'',866000000,0,0,0,0.0,0,0,0,14,0,0,0
16:47:20,7,b'',867000000,0,0,0,0.0,0,0,0,14,0,0,0
16:47:22,7,b'',868000000,0,0,0,0.0,0,0,0,14,0,0,0
16:47:24,7,b'',869000000,0,0,0,0.0,0,0,0,14,0,0,0
16:47:26,7,b'',864862500,0,0,0,0.0,0,0,0,14,0,0,0
16:47:27,7,b'',865062500,0,0,0,0.0,0,0,0,14,0,0,0
16:47:29,7,b'',865402500,0,0,0,0.0,0,0,0,14,0,0,0
16:47:31,7,b'',865602500,0,0,0,0.0,0,0,0,14,0,0,0
16:47:33,7,b'',865985000,0,0,0,0.0,0,0,0,14,0,0,0
16:47:35,7,b'',866200000,0,0,0,0.0,0,0,0,14,0,0,0
16:47:36,7,b'',866400000,0,0,0,0.0,0,0,0,14,0,0,0
16:47:38,7,b'',866600000,0,0,0,0.0,0,0,0,14,0,0,0
16:47:40,7,b'',863000000,0,0,0,0.0,0,0,0,14,0,0,0
16:47:42,7,b'',864000000,0,0,0,0.0,0,0,0,14,0,0,0
16:47:44,7,b'',865000000,0,0,0,0.0,0,0,0,14,0,0,0
16:47:45,7,b'',866000000,0,0,0,0.0,0,0,0,14,0,0,0
16:47:47,7,b'',867000000,0,0,0,0.0,0,0,0,14,0,0,0
16:47:49,7,b'',868000000,0,0,0,0.0,0,0,0,14,0,0,0
16:47:51,7,b'',869000000,0,0,0,0.0,0,0,0,14,0,0,0
16:47:53,7,b'',864862500,0,0,0,0.0,0,0,0,14,0,0,0
16:47:54,7,b'',865062500,0,0,0,0.0,0,0,0,14,0,0,0
16:47:56,7,b'',865402500,0,0,0,0.0,0,0,0,14,0,0,0
16:47:58,7,b'',865602500,0,0,0,0.0,0,0,0,14,0,0,0
16:48:00,7,b'',865985000,0,0,0,0.0,0,0,0,14,0,0,0
16:48:02,7,b'',866200000,0,0,0,0.0,0,0,0,14,0,0,0
16:48:03,7,b'',866400000,0,0,0,0.0,0,0,0,14,0,0,0
16:48:05,7,b'',866600000,0,0,0,0.0,0,0,0,14,0,0,0
16:48:07,7,b'',863000000,0,0,0,0.0,0,0,0,14,0,0,0
16:48:09,7,b'',864000000,0,0,0,0.0,0,0,0,14,0,0,0
16:48:11,7,b'',865000000,0,0,0,0.0,0,0,0,14,0,0,0
16:48:12,7,b'',866000000,0,0,0,0.0,0,0,0,14,0,0,0
16:48:14,7,b'',867000000,0,0,0,0.0,0,0,0,14,0,0,0
16:48:16,7,b'',868000000,0,0,0,0.0,0,0,0,14,0,0,0
16:48:18,7,b'',869000000,0,0,0,0.0,0,0,0,14,0,0,0
16:48:20,7,b'',864862500,0,0,0,0.0,0,0,0,14,0,0,0
16:48:21,7,b'',865062500,0,0,0,0.0,0,0,0,14,0,0,0
16:48:23,7,b'',865402500,0,0,0,0.0,0,0,0,14,0,0,0
16:48:25,7,b'',865602500,0,0,0,0.0,0,0,0,14,0,0,0
16:48:27,7,b'',865985000,0,0,0,0.0,0,0,0,14,0,0,0
16:48:29,7,b'',866200000,0,0,0,0.0,0,0,0,14,0,0,0
16:48:30,7,b'',866400000,0,0,0,0.0,0,0,0,14,0,0,0
16:48:32,7,b'',866600000,0,0,0,0.0,0,0,0,14,0,0,0
16:48:34,7,b'',863000000,0,0,0,0.0,0,0,0,14,0,0,0
16:48:36,7,b'',864000000,0,0,0,0.0,0,0,0,14,0,0,0
