Testing SD card write operations: 2022-09-11 16:47:24
2022-09-11 16:47:26: {'Acceleration': '(0.0, 0.0, 0.0)', 'Roll': '-21.66423', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '34.05637'}
2022-09-11 16:47:27: {'Acceleration': '(0.9099121, 0.1906738, 0.3990479)', 'Roll': '-66.31983', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-15.43931'}
2022-09-11 16:47:28: {'Acceleration': '(-0.01220703, -0.0567627, 1.03418)', 'Roll': '0.6762643', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '3.141405'}
2022-09-11 16:47:29: {'Acceleration': '(-0.1270752, -0.08496094, 1.011841)', 'Roll': '7.158193', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '5.281468'}
2022-09-11 16:47:29: {'Acceleration': '(0.07116699, -0.1035156, 1.124878)', 'Roll': '-4.454911', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '8.987453'}
2022-09-11 16:47:30: {'Acceleration': '(0.1767578, -0.1348877, 0.8811035)', 'Roll': '-11.34351', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '8.536311'}
2022-09-11 16:47:31: {'Acceleration': '(-0.204834, -0.2954102, 1.037231)', 'Roll': '11.17111', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '15.6109'}
2022-09-11 16:47:32: {'Acceleration': '(-0.5015869, -0.2567139, 1.001953)', 'Roll': '26.59297', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '13.43222'}
2022-09-11 16:47:33: {'Acceleration': '(-0.4556885, -0.230835, 0.9108887)', 'Roll': '22.93983', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '14.00176'}
2022-09-11 16:47:34: {'Acceleration': '(-0.348999, -0.2086182, 0.9376221)', 'Roll': '20.41613', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '11.77857'}
2022-09-11 16:47:35: {'Acceleration': '(-0.3580322, -0.2530518, 0.9108887)', 'Roll': '21.45771', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '14.49648'}
2022-09-11 16:47:36: {'Acceleration': '(-0.4802246, -0.2928467, 0.8521729)', 'Roll': '29.40254', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '16.36136'}
2022-09-11 16:47:36: {'Acceleration': '(-0.4615479, -0.282959, 0.8592529)', 'Roll': '28.21567', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '15.67202'}
2022-09-11 16:47:37: {'Acceleration': '(-0.4593506, -0.282959, 0.8613281)', 'Roll': '27.88833', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '16.54559'}
2022-09-11 16:47:38: {'Acceleration': '(-0.4559326, -0.2821045, 0.8664551)', 'Roll': '27.75355', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '16.07323'}
2022-09-11 16:47:39: {'Acceleration': '(-0.418457, -0.2692871, 0.8848877)', 'Roll': '25.30913', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '15.14464'}
2022-09-11 16:47:40: {'Acceleration': '(-0.4160156, -0.2598877, 0.8950195)', 'Roll': '24.92956', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '14.6652'}
2022-09-11 16:47:41: {'Acceleration': '(-0.3896484, -0.2781982, 0.8973389)', 'Roll': '23.47177', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '15.87433'}
2022-09-11 16:47:42: {'Acceleration': '(-0.2750244, -0.1789551, 0.9526367)', 'Roll': '16.10333', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '10.2307'}
2022-09-11 16:47:42: {'Acceleration': '(-0.3106689, -0.1971436, 0.9516602)', 'Roll': '18.19267', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '11.22939'}
2022-09-11 16:47:43: {'Acceleration': '(-0.3178711, -0.204834, 0.9460449)', 'Roll': '18.77334', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '11.58885'}
2022-09-11 16:47:44: {'Acceleration': '(-0.3172607, -0.2077637, 0.9421387)', 'Roll': '18.61071', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '11.80445'}
2022-09-11 16:47:45: {'Acceleration': '(-0.3687744, -0.229248, 0.9310303)', 'Roll': '21.60816', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '12.75992'}
2022-09-11 16:47:46: {'Acceleration': '(-0.3679199, -0.2369385, 0.9245605)', 'Roll': '21.64257', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '13.62088'}
2022-09-11 16:47:47: {'Acceleration': '(-0.4844971, -0.2695313, 0.8829346)', 'Roll': '29.61539', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '16.06916'}
2022-09-11 16:47:48: {'Acceleration': '(-0.5170898, -0.3374023, 0.8109131)', 'Roll': '32.52418', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '19.33196'}
2022-09-11 16:47:48: {'Acceleration': '(-0.5045166, -0.3388672, 0.8171387)', 'Roll': '31.69195', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '19.45018'}
2022-09-11 16:47:49: {'Acceleration': '(-0.5097656, -0.3397217, 0.8187256)', 'Roll': '31.70234', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '19.35693'}
2022-09-11 16:47:50: {'Acceleration': '(-0.5073242, -0.3449707, 0.8234863)', 'Roll': '31.63593', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '19.62946'}
2022-09-11 16:47:51: {'Acceleration': '(-0.3405762, -0.2177734, 0.9401855)', 'Roll': '19.91259', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '12.02111'}
2022-09-11 16:47:52: {'Acceleration': '(-0.2852783, -0.1992188, 0.9525146)', 'Roll': '16.56069', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '11.0664'}
2022-09-11 16:47:53: {'Acceleration': '(-0.3040771, -0.2075195, 0.9472656)', 'Roll': '17.7969', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '11.78231'}
2022-09-11 16:47:54: {'Acceleration': '(-0.3048096, -0.208374, 0.947998)', 'Roll': '17.82414', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '11.82016'}
2022-09-11 16:47:55: {'Acceleration': '(-0.3126221, -0.2156982, 0.939209)', 'Roll': '18.41037', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '12.19084'}
2022-09-11 16:47:55: {'Acceleration': '(-0.3045654, -0.2131348, 0.9477539)', 'Roll': '17.81507', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '12.08462'}
2022-09-11 16:47:56: {'Acceleration': '(-0.2838135, -0.2108154, 0.9567871)', 'Roll': '16.52203', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '11.92777'}
2022-09-11 16:47:57: {'Acceleration': '(-0.2928467, -0.2368164, 0.9417725)', 'Roll': '17.27322', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '13.39952'}
2022-09-11 16:47:58: {'Acceleration': '(-0.2946777, -0.2341309, 0.949707)', 'Roll': '17.23822', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '13.24929'}
2022-09-11 16:47:59: {'Acceleration': '(-0.2976074, -0.2003174, 0.9477539)', 'Roll': '17.43299', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '11.40091'}
2022-09-11 16:48:00: {'Acceleration': '(-0.2280273, -0.1533203, 0.9489746)', 'Roll': '14.65234', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '12.4719'}
2022-09-11 16:48:01: {'Acceleration': '(-0.3455811, -0.2539063, 0.9283447)', 'Roll': '20.41804', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '14.37657'}
2022-09-11 16:48:01: {'Acceleration': '(-0.2889404, -0.2260742, 0.9498291)', 'Roll': '16.91989', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '12.82823'}
2022-09-11 16:48:02: {'Acceleration': '(-0.3321533, -0.2548828, 0.9300537)', 'Roll': '19.65335', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '14.47149'}
2022-09-11 16:48:03: {'Acceleration': '(-0.4578857, -0.2332764, 0.887207)', 'Roll': '27.29816', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '13.40165'}
2022-09-11 16:48:04: {'Acceleration': '(-0.4069824, -0.2058105, 0.9824219)', 'Roll': '22.72609', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '11.32505'}
2022-09-11 16:48:05: {'Acceleration': '(-0.3881836, -0.1994629, 0.9123535)', 'Roll': '23.04854', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '11.37451'}
2022-09-11 16:48:06: {'Acceleration': '(-0.2763672, -0.2297363, 0.9516602)', 'Roll': '16.19358', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '13.25476'}
2022-09-11 16:48:07: {'Acceleration': '(-0.2723389, -0.2189941, 0.9588623)', 'Roll': '15.80226', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.5269'}
2022-09-11 16:48:08: {'Acceleration': '(-0.2264404, -0.1845703, 0.8930664)', 'Roll': '14.22773', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '11.32817'}
2022-09-11 16:48:08: {'Acceleration': '(-0.3615723, -0.2702637, 0.9174805)', 'Roll': '21.50903', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '15.74695'}
2022-09-11 16:48:09: {'Acceleration': '(0.112915, -0.2348633, 0.675415)', 'Roll': '-5.270057', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '14.06966'}
2022-09-11 16:48:10: {'Acceleration': '(-0.1256104, -0.3406982, 0.9245605)', 'Roll': '7.736807', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '20.05931'}
2022-09-11 16:48:11: {'Acceleration': '(-0.06481934, -0.3088379, 0.963623)', 'Roll': '3.848277', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '18.07056'}
2022-09-11 16:48:12: {'Acceleration': '(-0.1052246, -0.3143311, 0.9488525)', 'Roll': '6.707304', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '17.76405'}
2022-09-11 16:48:13: {'Acceleration': '(-0.1022949, -0.3374023, 0.9509277)', 'Roll': '6.139914', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '19.53651'}
2022-09-11 16:48:14: {'Acceleration': '(-0.06018066, -0.3398438, 0.9536133)', 'Roll': '3.589952', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '19.98432'}
