Testing SD card write operations: 2022-09-11 16:46:45
2022-09-11 16:46:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'eb6bc67e4abf1865c5f243909a1bc9003282a8385c613ad2c1d6368b675f8533', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 16:46:48: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'eb6bc67e4abf1865c5f243909a1bc9003282a8385c613ad2c1d6368b675f8533', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 16:46:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'eb6bc67e4abf1865c5f243909a1bc9003282a8385c613ad2c1d6368b675f8533', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 16:46:49: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'f00b780db1060c33637501b84681f73da49f121d8300aa52fc54901fcdfe077c', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-11 16:46:50: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'eb6bc67e4abf1865c5f243909a1bc9003282a8385c613ad2c1d6368b675f8533', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 16:46:51: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'eb6bc67e4abf1865c5f243909a1bc9003282a8385c613ad2c1d6368b675f8533', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 16:46:52: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'eb6bc67e4abf1865c5f243909a1bc9003282a8385c613ad2c1d6368b675f8533', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 16:46:53: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'eb6bc67e4abf1865c5f243909a1bc9003282a8385c613ad2c1d6368b675f8533', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 16:46:53: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'eb6bc67e4abf1865c5f243909a1bc9003282a8385c613ad2c1d6368b675f8533', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 16:46:54: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'f00b780db1060c33637501b84681f73da49f121d8300aa52fc54901fcdfe077c', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-11 16:46:55: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'eb6bc67e4abf1865c5f243909a1bc9003282a8385c613ad2c1d6368b675f8533', 'rssi': -66, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
