Testing SD card write operations: 2022-09-11 16:46:45
2022-09-11 16:46:46: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-52}
2022-09-11 16:46:48: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-53}
2022-09-11 16:46:50: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-42}
2022-09-11 16:46:51: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-42}
2022-09-11 16:46:53: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-41}
2022-09-11 16:46:55: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-40}
2022-09-11 16:46:57: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-46}
2022-09-11 16:46:59: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-47}
2022-09-11 16:47:01: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-49}
2022-09-11 16:47:03: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-51}
2022-09-11 16:47:04: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-51}
2022-09-11 16:47:06: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-48}
2022-09-11 16:47:06: {'ssid':'BS31', 'bssid':'5ce22e7a34632b3270c5ee31747d2eadb5892b34db40c906dc48702f', 'sec':5, 'channel':1, 'rssi':-92}
2022-09-11 16:47:06: {'ssid':'BS32', 'bssid':'258bc5ec68278057bb089640774f3fc43509349a3fbd49ab45eb7ea9', 'sec':2, 'channel':1, 'rssi':-92}
2022-09-11 16:47:06: {'ssid':'BS33', 'bssid':'96cff18394b9194f77d5e55d7dc158dd66b332dc14002cc3d2f36090', 'sec':0, 'channel':1, 'rssi':-94}
2022-09-11 16:47:08: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-47}
2022-09-11 16:47:10: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-51}
2022-09-11 16:47:12: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-55}
2022-09-11 16:47:12: {'ssid':'BS32', 'bssid':'258bc5ec68278057bb089640774f3fc43509349a3fbd49ab45eb7ea9', 'sec':2, 'channel':1, 'rssi':-92}
2022-09-11 16:47:12: {'ssid':'BS33', 'bssid':'96cff18394b9194f77d5e55d7dc158dd66b332dc14002cc3d2f36090', 'sec':0, 'channel':1, 'rssi':-92}
2022-09-11 16:47:14: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-55}
2022-09-11 16:47:16: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-52}
2022-09-11 16:47:18: {'ssid':'BS30', 'bssid':'48465411b66cdf4ad09c3c23fb244ac678d913154599644bc38657d0', 'sec':3, 'channel':6, 'rssi':-53}
