Time,adv_flag,def_tx_pwr,mac,rssi,name,scan_tx_pwr,conn_tx_pwr,tx_range,adv_tx_pwr
13:12:00,,3,b'fc92bcc3432f',-41,,3,64,,3
13:12:01,26,3,b'794d41893af5',-46,,3,64,12,3
13:12:02,26,3,b'794d41893af5',-53,,3,64,12,3
13:12:03,26,3,b'794d41893af5',-49,,3,64,12,3
13:12:03,26,3,b'794d41893af5',-42,,3,64,12,3
13:12:04,26,3,b'794d41893af5',-47,,3,64,12,3
13:12:05,,3,b'fc92bcc3432f',-51,,3,64,,3
13:12:06,26,3,b'794d41893af5',-54,,3,64,12,3
13:12:07,26,3,b'794d41893af5',-89,,3,64,12,3
13:12:07,6,3,b'b4c26a5bf475',-86,,3,64,,3
13:12:08,6,3,b'b4c26a5bf475',-86,,3,64,,3
13:12:09,6,3,b'b4c26a5bf475',-86,,3,64,,3
13:12:10,6,3,b'b4c26a5bf475',-87,,3,64,,3
13:12:11,6,3,b'b4c26a5bf475',-87,,3,64,,3
13:12:11,6,3,b'b4c26a5bf475',-89,,3,64,,3
13:12:12,6,3,b'b4c26a5bf475',-92,,3,64,,3
13:12:13,6,3,b'b4c26a5bf475',-93,,3,64,,3
13:12:14,6,3,b'b4c26a5bf475',-93,,3,64,,3
13:12:15,6,3,b'b4c26a5bf475',-91,,3,64,,3
13:12:15,26,3,b'794d41893af5',-60,,3,64,12,3
13:12:16,26,3,b'794d41893af5',-57,,3,64,12,3
13:12:17,,3,b'fc92bcc3432f',-55,,3,64,,3
13:12:18,26,3,b'794d41893af5',-57,,3,64,12,3
13:12:19,26,3,b'794d41893af5',-56,,3,64,12,3
13:12:19,26,3,b'794d41893af5',-51,,3,64,12,3
13:12:20,,3,b'fc92bcc3432f',-58,,3,64,,3
13:12:21,26,3,b'794d41893af5',-65,,3,64,12,3
13:12:22,26,3,b'794d41893af5',-60,,3,64,12,3
13:12:23,26,3,b'794d41893af5',-66,,3,64,12,3
13:12:23,26,3,b'794d41893af5',-65,,3,64,12,3
13:12:24,,3,b'fc92bcc3432f',-67,,3,64,,3
13:12:25,,3,b'fc92bcc3432f',-54,,3,64,,3
13:12:26,6,3,b'b4c26a5bf475',-89,,3,64,,3
13:12:27,6,3,b'b4c26a5bf475',-88,,3,64,,3
13:12:27,6,3,b'b4c26a5bf475',-93,,3,64,,3
13:12:28,6,3,b'b4c26a5bf475',-86,,3,64,,3
13:12:29,6,3,b'b4c26a5bf475',-88,,3,64,,3
13:12:30,6,3,b'b4c26a5bf475',-88,,3,64,,3
13:12:31,6,3,b'b4c26a5bf475',-83,,3,64,,3
13:12:31,6,3,b'b4c26a5bf475',-91,,3,64,,3
13:12:32,6,3,b'b4c26a5bf475',-85,,3,64,,3
13:12:33,6,3,b'b4c26a5bf475',-82,,3,64,,3
13:12:34,6,3,b'b4c26a5bf475',-83,,3,64,,3
13:12:35,6,3,b'b4c26a5bf475',-75,,3,64,,3
13:12:35,6,3,b'b4c26a5bf475',-75,,3,64,,3
13:12:36,26,3,b'794d41893af5',-70,,3,64,12,3
13:12:37,,3,b'fc92bcc3432f',-68,,3,64,,3
13:12:38,26,3,b'794d41893af5',-57,,3,64,12,3
13:12:39,26,3,b'794d41893af5',-61,,3,64,12,3
13:12:39,6,3,b'b4c26a5bf475',-93,,3,64,,3
13:12:40,26,3,b'794d41893af5',-57,,3,64,12,3
13:12:41,26,3,b'794d41893af5',-61,,3,64,12,3
13:12:42,26,3,b'794d41893af5',-57,,3,64,12,3
13:12:43,26,3,b'794d41893af5',-79,,3,64,12,3
13:12:43,6,3,b'b4c26a5bf475',-76,,3,64,,3
13:12:44,26,3,b'794d41893af5',-80,,3,64,12,3
13:12:45,26,3,b'794d41893af5',-68,,3,64,12,3
13:12:46,26,3,b'794d41893af5',-72,,3,64,12,3
13:12:47,26,3,b'794d41893af5',-69,,3,64,12,3
13:12:47,26,3,b'794d41893af5',-59,,3,64,12,3
13:12:48,6,3,b'b4c26a5bf475',-78,,3,64,,3
13:12:49,26,3,b'794d41893af5',-59,,3,64,12,3
13:12:50,6,3,b'b4c26a5bf475',-86,,3,64,,3
13:12:51,6,3,b'b4c26a5bf475',-84,,3,64,,3
13:12:51,6,3,b'b4c26a5bf475',-85,,3,64,,3
13:12:52,6,3,b'b4c26a5bf475',-80,,3,64,,3
13:12:53,6,3,b'b4c26a5bf475',-80,,3,64,,3
13:12:54,6,3,b'b4c26a5bf475',-89,,3,64,,3
13:12:55,6,3,b'b4c26a5bf475',-95,,3,64,,3
13:12:55,26,3,b'794d41893af5',-62,,3,64,12,3
13:12:56,26,3,b'794d41893af5',-58,,3,64,12,3
13:12:57,26,3,b'794d41893af5',-63,,3,64,12,3
13:12:58,26,3,b'794d41893af5',-62,,3,64,12,3
13:12:59,26,3,b'794d41893af5',-65,,3,64,12,3
13:12:59,26,3,b'794d41893af5',-61,,3,64,12,3
13:13:00,26,3,b'794d41893af5',-63,,3,64,12,3
13:13:01,,3,b'fc92bcc3432f',-64,,3,64,,3
13:13:02,26,3,b'794d41893af5',-60,,3,64,12,3
13:13:03,26,3,b'794d41893af5',-64,,3,64,12,3
13:13:04,26,3,b'794d41893af5',-62,,3,64,12,3
13:13:04,26,3,b'794d41893af5',-68,,3,64,12,3
13:13:05,,3,b'fc92bcc3432f',-56,,3,64,,3
