Time,ssid,bssid,sec,channel,rssi
14:16:17,iPhone,"b'\xda,\xf2\x03\x18C'",3,6,-32
14:16:19,iPhone,"b'\xda,\xf2\x03\x18C'",3,6,-22
14:16:20,iPhone,"b'\xda,\xf2\x03\x18C'",3,6,-32
14:16:22,iPhone,"b'\xda,\xf2\x03\x18C'",3,6,-47
14:16:24,iPhone,"b'\xda,\xf2\x03\x18C'",3,6,-30
14:16:26,iPhone,"b'\xda,\xf2\x03\x18C'",3,6,-35
14:16:28,iPhone,"b'\xda,\xf2\x03\x18C'",3,6,-43
14:16:30,iPhone,"b'\xda,\xf2\x03\x18C'",3,6,-30
14:16:32,iPhone,"b'\xda,\xf2\x03\x18C'",3,6,-25
14:16:33,iPhone,"b'\xda,\xf2\x03\x18C'",3,6,-19
14:16:35,iPhone,"b'\xda,\xf2\x03\x18C'",3,6,-29
14:16:37,iPhone,"b'\xda,\xf2\x03\x18C'",3,6,-20
14:16:39,iPhone,"b'\xda,\xf2\x03\x18C'",3,6,-19
14:16:41,iPhone,"b'\xda,\xf2\x03\x18C'",3,6,-20
14:16:43,iPhone,"b'\xda,\xf2\x03\x18C'",3,6,-27
14:16:44,iPhone,"b'\xda,\xf2\x03\x18C'",3,6,-28
14:16:46,iPhone,"b'\xda,\xf2\x03\x18C'",3,6,-19
14:16:48,iPhone,"b'\xda,\xf2\x03\x18C'",3,6,-25
14:16:50,iPhone,"b'\xda,\xf2\x03\x18C'",3,6,-19
14:16:52,iPhone,"b'\xda,\xf2\x03\x18C'",3,6,-20
14:16:54,iPhone,"b'\xda,\xf2\x03\x18C'",3,6,-26
14:16:56,iPhone,"b'\xda,\xf2\x03\x18C'",3,6,-27
14:16:57,iPhone,"b'\xda,\xf2\x03\x18C'",3,6,-28
14:16:59,iPhone,"b'\xda,\xf2\x03\x18C'",3,6,-29
14:17:01,iPhone,"b'\xda,\xf2\x03\x18C'",3,6,-29
14:17:03,iPhone,"b'\xda,\xf2\x03\x18C'",3,6,-29
14:17:05,iPhone,"b'\xda,\xf2\x03\x18C'",3,6,-35
14:17:08,iPhone,"b'\xda,\xf2\x03\x18C'",3,6,-30
14:17:10,iPhone,"b'\xda,\xf2\x03\x18C'",3,6,-27
14:17:12,iPhone,"b'\xda,\xf2\x03\x18C'",3,6,-31
14:17:14,iPhone,"b'\xda,\xf2\x03\x18C'",3,6,-37
14:17:16,iPhone,"b'\xda,\xf2\x03\x18C'",3,6,-36
14:17:16,SFR_5D48,b'\xe0\xa1\xd7\x0b]L',2,1,-93
14:17:18,iPhone,"b'\xda,\xf2\x03\x18C'",3,6,-29
14:17:20,iPhone,"b'\xda,\xf2\x03\x18C'",3,6,-40
14:17:21,iPhone,"b'\xda,\xf2\x03\x18C'",3,6,-28
14:17:23,iPhone,"b'\xda,\xf2\x03\x18C'",3,6,-36
14:17:27,iPhone,"b'\xda,\xf2\x03\x18C'",3,6,-35
14:17:29,iPhone,"b'\xda,\xf2\x03\x18C'",3,6,-39
14:17:31,iPhone,"b'\xda,\xf2\x03\x18C'",3,6,-35
14:17:32,iPhone,"b'\xda,\xf2\x03\x18C'",3,6,-44
14:17:34,iPhone,"b'\xda,\xf2\x03\x18C'",3,6,-32
14:17:36,iPhone,"b'\xda,\xf2\x03\x18C'",3,6,-29
14:17:38,iPhone,"b'\xda,\xf2\x03\x18C'",3,6,-39
14:17:40,iPhone,"b'\xda,\xf2\x03\x18C'",3,6,-31
14:17:42,iPhone,"b'\xda,\xf2\x03\x18C'",3,6,-29
14:17:44,iPhone,"b'\xda,\xf2\x03\x18C'",3,6,-37
14:17:45,iPhone,"b'\xda,\xf2\x03\x18C'",3,6,-29
