Testing SD card write operations: 2022-06-25 14:16:17
2022-06-25 14:16:17: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-32}
2022-06-25 14:16:19: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-22}
2022-06-25 14:16:20: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-32}
2022-06-25 14:16:22: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-47}
2022-06-25 14:16:24: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-30}
2022-06-25 14:16:26: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-35}
2022-06-25 14:16:28: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-43}
2022-06-25 14:16:30: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-30}
2022-06-25 14:16:32: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-25}
2022-06-25 14:16:33: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-19}
2022-06-25 14:16:35: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-29}
2022-06-25 14:16:37: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-20}
2022-06-25 14:16:39: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-19}
2022-06-25 14:16:41: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-20}
2022-06-25 14:16:43: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-27}
2022-06-25 14:16:44: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-28}
2022-06-25 14:16:46: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-19}
2022-06-25 14:16:48: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-25}
2022-06-25 14:16:50: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-19}
2022-06-25 14:16:52: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-20}
2022-06-25 14:16:54: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-26}
2022-06-25 14:16:56: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-27}
2022-06-25 14:16:57: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-28}
2022-06-25 14:16:59: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-29}
2022-06-25 14:17:01: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-29}
2022-06-25 14:17:03: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-29}
2022-06-25 14:17:05: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-35}
2022-06-25 14:17:08: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-30}
2022-06-25 14:17:10: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-27}
2022-06-25 14:17:12: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-31}
2022-06-25 14:17:14: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-37}
2022-06-25 14:17:16: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-36}
2022-06-25 14:17:16: {'ssid':'SFR_5D48', 'bssid':b'\xe0\xa1\xd7\x0b]L', 'sec':2, 'channel':1, 'rssi':-93}
2022-06-25 14:17:18: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-29}
2022-06-25 14:17:20: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-40}
2022-06-25 14:17:21: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-28}
2022-06-25 14:17:23: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-36}
2022-06-25 14:17:27: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-35}
2022-06-25 14:17:29: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-39}
2022-06-25 14:17:31: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-35}
2022-06-25 14:17:32: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-44}
