Time,Acceleration,Roll,battery_voltage,battery_percentage,Pitch
10:42:05,"(-0.03771973, -0.3006592, 0.9650879)",2.238223,4.551219,88.45518,17.16548
10:42:06,"(-0.03649902, -0.2991943, 0.9671631)",2.161216,4.551219,88.45518,17.14148
10:42:07,"(-0.03649902, -0.300293, 0.9674072)",2.160671,4.551219,88.45518,17.23334
10:42:08,"(-0.03491211, -0.2991943, 0.9667969)",2.068116,4.551219,88.45518,17.18517
10:42:09,"(-0.0357666, -0.2984619, 0.9649658)",2.122705,4.551219,88.45518,17.17563
10:42:10,"(-0.03723145, -0.300415, 0.9660645)",2.309935,4.551219,88.45518,17.07696
10:42:12,"(-0.0369873, -0.3009033, 0.9669189)",2.190653,4.551219,88.45518,17.40205
10:42:13,"(-0.03564453, -0.2995605, 0.9656982)",2.113864,4.551219,88.45518,17.18604
10:42:14,"(-0.03686523, -0.2998047, 0.9638672)",2.190336,4.551219,88.45518,17.13055
10:42:15,"(-0.03674316, -0.2998047, 0.9669189)",2.176207,4.556237,88.95696,17.08897
10:42:16,"(-0.03967285, -0.3022461, 0.9720459)",2.073871,4.551219,88.45518,17.30287
10:42:17,"(-0.03479004, -0.3007813, 0.9671631)",2.060111,4.551219,88.45518,17.26484
10:42:18,"(-0.03540039, -0.3005371, 0.9694824)",2.091211,4.551219,88.45518,17.34672
10:42:19,"(-0.03552246, -0.3033447, 0.9672852)",2.103178,4.551219,88.45518,17.08907
10:42:20,"(-0.03710938, -0.3000488, 0.9559326)",2.22311,4.556237,88.95696,17.41375
10:42:21,"(-0.03491211, -0.3000488, 0.9656982)",2.070466,4.551219,88.45518,17.28671
10:42:22,"(-0.03723145, -0.2998047, 0.9730225)",2.133988,4.551219,88.45518,17.32535
10:42:24,"(-0.03186035, -0.2984619, 0.9622803)",2.164764,4.551219,88.45518,17.36299
10:42:25,"(-0.03393555, -0.2973633, 0.9705811)",2.002483,4.551219,88.45518,17.02403
10:42:26,"(-0.03381348, -0.3006592, 0.9599609)",2.017341,4.556237,88.95696,17.38039
10:42:27,"(-0.0357666, -0.2982178, 0.9630127)",2.127006,4.546201,87.95336,17.19512
10:42:28,"(-0.0345459, -0.2998047, 0.9638672)",2.052655,4.551219,88.45518,17.14405
10:42:29,"(-0.03344727, -0.2998047, 0.9641113)",1.983163,4.556237,88.95696,17.21828
10:42:30,"(-0.03674316, -0.2984619, 0.9660645)",2.046699,4.551219,88.45518,17.20722
10:42:31,"(-0.03881836, -0.2982178, 0.9666748)",2.249723,4.551219,88.45518,17.34847
10:42:32,"(-0.03479004, -0.3000488, 0.9542236)",2.088022,4.551219,88.45518,17.4445
10:42:33,"(-0.03771973, -0.3011475, 0.9656982)",2.236809,4.551219,88.45518,17.30738
10:42:34,"(-0.03552246, -0.2988281, 0.9669189)",2.103974,4.551219,88.45518,17.16297
10:42:36,"(-0.03479004, -0.2991943, 0.9620361)",2.062712,4.551219,88.45518,17.09246
10:42:37,"(-0.0369873, -0.2991943, 0.9729004)",2.292338,4.551219,88.45518,17.27857
10:42:38,"(-0.03649902, -0.3018799, 0.9611816)",2.096306,4.541183,87.45158,17.13041
10:42:39,"(-0.03527832, -0.302002, 0.9609375)",1.928055,4.551219,88.45518,17.43753
10:42:40,"(-0.03198242, -0.3010254, 0.9606934)",1.906728,4.556237,88.95696,17.3889
10:42:41,"(-0.03442383, -0.3015137, 0.9637451)",2.045667,4.551219,88.45518,17.18476
10:42:42,"(-0.03796387, -0.3009033, 0.9648438)",2.253264,4.556237,88.95696,17.3084
10:42:43,"(-0.03588867, -0.2984619, 0.9655762)",2.128597,4.551219,88.45518,17.10032
10:42:44,"(-0.03234863, -0.3000488, 0.9645996)",2.149928,4.556237,88.95696,17.2069
10:42:45,"(-0.03686523, -0.2980957, 0.956665)",2.177609,4.551219,88.45518,17.36845
10:42:46,"(-0.03503418, -0.2995605, 0.9639893)",2.081379,4.541183,87.45158,17.37865
10:42:47,"(-0.03881836, -0.303833, 0.9660645)",1.879298,4.556237,88.95696,17.36994
10:42:49,"(-0.03381348, -0.2996826, 0.963501)",2.009935,4.546201,87.95336,17.26753
10:42:50,"(-0.03637695, -0.3007813, 0.967041)",2.154266,4.546201,87.95336,17.26591
10:42:51,"(-0.03710938, -0.2967529, 0.963623)",2.205385,4.551219,88.45518,17.10456
10:42:52,"(-0.0357666, -0.2980957, 0.9692383)",2.277815,4.551219,88.45518,17.40036
10:42:53,"(-0.03381348, -0.3011475, 0.9619141)",2.154153,4.551219,88.45518,17.18444
10:42:54,"(-0.03808594, -0.2982178, 0.9674072)",2.375427,4.551219,88.45518,17.22525
10:42:55,"(-0.03393555, -0.3026123, 0.9678955)",2.023333,4.551219,88.45518,17.35557
10:42:56,"(-0.03503418, -0.3000488, 0.9641113)",2.081116,4.551219,88.45518,17.31923
10:42:57,"(-0.03601074, -0.3012695, 0.965332)",2.136371,4.551219,88.45518,17.29361
10:42:58,"(-0.0333252, -0.2990723, 0.9645996)",1.97868,4.551219,88.45518,17.20208
10:42:59,"(-0.03186035, -0.2996826, 0.9676514)",1.885808,4.551219,88.45518,17.35824
10:43:01,"(-0.03515625, -0.3024902, 0.9614258)",2.094189,4.551219,88.45518,17.45401
10:43:02,"(-0.03686523, -0.2989502, 0.9685059)",2.179856,4.551219,88.45518,17.14228
