Testing SD card write operations: 2022-05-31 10:36:59
2022-05-31 10:37:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '841a65553b05de13b1913846a5e42374b01d3417028c926875bd2f49', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:01: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'cac919ac9bfdcd369e5b109756a1e9bb08d039215380ef16c7b702c5', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 6, 'adv_tx_pwr': 3}
2022-05-31 10:37:02: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5b4bdc7341917ebf78ac59d5998badc4336204dc82498d1200cbcd09', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:03: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0abd49d6202ee5d426cf21cb9d1de2e55c684c2499d340ac771ea9bd', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '841a65553b05de13b1913846a5e42374b01d3417028c926875bd2f49', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:04: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '840da829a8c63a63515a0300c94b260e1fe4e33a4b79a504024b3f27', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'a41dabcdf956862f541bec9b26180510bbba13d2bc95bd4a70c93e66', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:06: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b2a75518fa7f7d78193cb73ca1813d606b2068754129417b0379efb6', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:07: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'a41dabcdf956862f541bec9b26180510bbba13d2bc95bd4a70c93e66', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0abd49d6202ee5d426cf21cb9d1de2e55c684c2499d340ac771ea9bd', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:08: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'ae6fb5d5b6487f3a46215f86f78e43e71cefcfdb0a64e8314faf5930', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:09: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'c92745e5e79de1991e3762d52f0063f739128e2445764c554a70ad95', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-31 10:37:10: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'af01c8af753631823d914013ed576ba1a4723fbebaa2cdf54e437619', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 5, 'adv_tx_pwr': 3}
2022-05-31 10:37:11: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a342e872409cb085f38ede7f61522e82b111d437feddd6c0d01f258c', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:11: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0abd49d6202ee5d426cf21cb9d1de2e55c684c2499d340ac771ea9bd', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:12: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd543eeb207bf19413f79bf7aae1796b57dac4c44ab9c8d2477a619a5', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:13: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b9ea7a76c306a1139b0648f1b891d6873257d40eac22136afcace860', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-31 10:37:14: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a9c9ecf098af57801a7650b494b7d09a1281f0c76e5097170a5480d2', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:15: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '841a65553b05de13b1913846a5e42374b01d3417028c926875bd2f49', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:15: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5d27bb5a1c6b94fab2f0c7ef6159a38905da3eb3f4f544374500157e', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:16: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9afe5acdfc00a5257096b050a93aa346500ad89fa564e0184fbddb0b', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:17: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e8014ffc0ca40a258b0bca5072b921ab9cec01109987674c8e6316ee', 'rssi': -60, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-31 10:37:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'dae30454b7b3f6628e0ac258588def1bfa6a48d4e2709273043508a2', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-05-31 10:37:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'dae30454b7b3f6628e0ac258588def1bfa6a48d4e2709273043508a2', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-05-31 10:37:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd543eeb207bf19413f79bf7aae1796b57dac4c44ab9c8d2477a619a5', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:20: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '861f98222d8d5ca58abb5cccd7325790807f7d9684beb2c554daffb9', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:21: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0abd49d6202ee5d426cf21cb9d1de2e55c684c2499d340ac771ea9bd', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:22: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'c06d53fc06f144978e6191f41bf8adad7f9d9eb54143ddcb5dbdf832', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 2, 'adv_tx_pwr': 3}
2022-05-31 10:37:23: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'dae30454b7b3f6628e0ac258588def1bfa6a48d4e2709273043508a2', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-05-31 10:37:23: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'a961af1cdcb33088a70bea2a8c9843e23b13df93707a7441a32511b9', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 5, 'adv_tx_pwr': 3}
2022-05-31 10:37:24: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '861f98222d8d5ca58abb5cccd7325790807f7d9684beb2c554daffb9', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:25: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5d27bb5a1c6b94fab2f0c7ef6159a38905da3eb3f4f544374500157e', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:26: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'dae30454b7b3f6628e0ac258588def1bfa6a48d4e2709273043508a2', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-05-31 10:37:26: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6ddbcf76bbd0633c0c06ee930beee45f8e9a45026dbdcdf76880d451', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-05-31 10:37:27: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0abd49d6202ee5d426cf21cb9d1de2e55c684c2499d340ac771ea9bd', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:28: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b2a75518fa7f7d78193cb73ca1813d606b2068754129417b0379efb6', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:29: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'a961af1cdcb33088a70bea2a8c9843e23b13df93707a7441a32511b9', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 5, 'adv_tx_pwr': 3}
2022-05-31 10:37:30: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '840da829a8c63a63515a0300c94b260e1fe4e33a4b79a504024b3f27', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:30: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0abd49d6202ee5d426cf21cb9d1de2e55c684c2499d340ac771ea9bd', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:31: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'c06d53fc06f144978e6191f41bf8adad7f9d9eb54143ddcb5dbdf832', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 2, 'adv_tx_pwr': 3}
2022-05-31 10:37:32: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '861f98222d8d5ca58abb5cccd7325790807f7d9684beb2c554daffb9', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:33: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'dae30454b7b3f6628e0ac258588def1bfa6a48d4e2709273043508a2', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-05-31 10:37:34: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '93da5daeaf54d9007398b0d9a08cc3a0c19db719b58a0ac01b23e4a8', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:34: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a9c9ecf098af57801a7650b494b7d09a1281f0c76e5097170a5480d2', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:35: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd0daeda9b730f98eab2e81e40622e5a3552cf38a57a8c3e923144185', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-31 10:37:36: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '861f98222d8d5ca58abb5cccd7325790807f7d9684beb2c554daffb9', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:37: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'c06d53fc06f144978e6191f41bf8adad7f9d9eb54143ddcb5dbdf832', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 2, 'adv_tx_pwr': 3}
2022-05-31 10:37:38: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b2a75518fa7f7d78193cb73ca1813d606b2068754129417b0379efb6', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:38: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5d27bb5a1c6b94fab2f0c7ef6159a38905da3eb3f4f544374500157e', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:39: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5ace8c09d1d9ac06235328b976891dd98662b3fe660cb7e8088951c8', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:40: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': 'd882a36d6ff4c23c3c67e51e3e50a052653ce9d0c09dd850a72365ce', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:41: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': 'd882a36d6ff4c23c3c67e51e3e50a052653ce9d0c09dd850a72365ce', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:41: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6430dc99619b5f5525e0c98c61830ae3552c49cfda13ebbc833d84d9', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:42: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e8014ffc0ca40a258b0bca5072b921ab9cec01109987674c8e6316ee', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-31 10:37:43: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '841a65553b05de13b1913846a5e42374b01d3417028c926875bd2f49', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5c359f3cd8ef6103007534fa72b3609bafe481a910606e6ec5ef0465', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-05-31 10:37:45: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'c3db2fd2aa5b5a7414ee55234894d83ca3e5abaa7e0d4042a5299363', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0abd49d6202ee5d426cf21cb9d1de2e55c684c2499d340ac771ea9bd', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:46: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '1fea57262a6498ad81af53b03396856b3244c1aacda5595e6802ca5f', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:47: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '861f98222d8d5ca58abb5cccd7325790807f7d9684beb2c554daffb9', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:48: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b2a75518fa7f7d78193cb73ca1813d606b2068754129417b0379efb6', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '93da5daeaf54d9007398b0d9a08cc3a0c19db719b58a0ac01b23e4a8', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:49: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '861f98222d8d5ca58abb5cccd7325790807f7d9684beb2c554daffb9', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
