Time,ssid,bssid,sec,channel,rssi
10:37:00,DSP-PRIV01,b'x\x8a \x08\xee\xe3',3,6,-64
10:37:00,DSP-PRIV02,b'z\x8a \x08\xee\xe3',3,6,-64
10:37:00,DSP-SEMINAIRES,b'\x8a\x8a \x08\xee\xe3',3,6,-64
10:37:00,DSP-PUBLIC,b'\x9a\x8a \x08\xee\xe3',0,6,-64
10:37:00,iPhone,b'\xce\xe4\xf2M\xacu',3,6,-65
10:37:00,ClickShare-9714080065,b'\x00\x0e\x8eC\x05~',3,1,-74
10:37:00,iPhone de rebecca,b'\xae&}>Qp',3,6,-81
10:37:00,Steven,b'n\xff\xfe\xbe\xc1V',3,1,-87
10:37:02,iPhone,b'\xce\xe4\xf2M\xacu',3,6,-59
10:37:02,DSP-PRIV01,b'x\x8a \x08\xee\xe3',3,6,-68
10:37:02,DSP-PRIV02,b'z\x8a \x08\xee\xe3',3,6,-68
10:37:02,DSP-SEMINAIRES,b'\x8a\x8a \x08\xee\xe3',3,6,-68
10:37:02,DSP-PUBLIC,b'\x9a\x8a \x08\xee\xe3',0,6,-69
10:37:02,ClickShare-9714080065,b'\x00\x0e\x8eC\x05~',3,1,-75
10:37:02,iPhone de rebecca,b'\xae&}>Qp',3,6,-81
10:37:04,iPhone,b'\xce\xe4\xf2M\xacu',3,6,-62
10:37:04,DSP-PRIV01,b'x\x8a \x08\xee\xe3',3,6,-68
10:37:04,DSP-PRIV02,b'z\x8a \x08\xee\xe3',3,6,-68
10:37:04,DSP-SEMINAIRES,b'\x8a\x8a \x08\xee\xe3',3,6,-68
10:37:04,DSP-PUBLIC,b'\x9a\x8a \x08\xee\xe3',0,6,-68
10:37:04,ClickShare-9714080065,b'\x00\x0e\x8eC\x05~',3,1,-76
10:37:04,Steven,b'n\xff\xfe\xbe\xc1V',3,1,-79
10:37:04,iPhone de rebecca,b'\xae&}>Qp',3,6,-81
10:37:06,iPhone,b'\xce\xe4\xf2M\xacu',3,6,-55
10:37:06,DSP-PRIV01,b'x\x8a \x08\xee\xe3',3,6,-67
10:37:06,DSP-PRIV02,b'z\x8a \x08\xee\xe3',3,6,-67
10:37:06,DSP-PUBLIC,b'\x9a\x8a \x08\xee\xe3',0,6,-68
10:37:06,DSP-SEMINAIRES,b'\x8a\x8a \x08\xee\xe3',3,6,-69
10:37:06,ClickShare-9714080065,b'\x00\x0e\x8eC\x05~',3,1,-75
10:37:06,Steven,b'n\xff\xfe\xbe\xc1V',3,1,-80
10:37:06,iPhone de rebecca,b'\xae&}>Qp',3,6,-80
10:37:08,iPhone,b'\xce\xe4\xf2M\xacu',3,6,-57
10:37:08,DSP-PRIV01,b'x\x8a \x08\xee\xe3',3,6,-66
