Testing SD card write operations: 2022-05-31 10:36:59
2022-05-31 10:37:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'42ad740d82ca', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:01: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'662f6dc27e2b', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 6, 'adv_tx_pwr': 3}
2022-05-31 10:37:02: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e466e9c7cd04', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:03: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7acf733c1a60', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'42ad740d82ca', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:04: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': b'43fc73c2f77b', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'79cf5bd62326', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:06: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'247ade537846', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:07: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'79cf5bd62326', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7acf733c1a60', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-31 10:37:08: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'c91467c36383', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
