Testing SD card write operations: 2022-07-07 10:00:46
2022-07-07 10:00:47: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'cbcdcced4bf6c992ecdef0dc02d4ad697a36c25581278f4cdb8fe552cbf19c2d', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 10:00:48: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e31694c3b76ac0b7975b923e7d6f8b058d22c3c2e7f0604620aef16a87b71da3', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 10:00:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ef185fc67f8506bc748dd00c12ba31fe22be1a2ceb4dacef5406165ee011dceb', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-07 10:00:49: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6d5bf14b41b73feba78a2c887fef326ba9765f17a86cc114a606445fdb1be7fe', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 10:00:50: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '816af6d20fa962066908514c5f6d0e0c875d4bef3d40504300b005ab4a6aeb10', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 10:00:51: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '305e799d12fefb5b16a89e5ac636a3e84ea3862fe9436cd094ee86006e09a2d0', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 10:00:52: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '305e799d12fefb5b16a89e5ac636a3e84ea3862fe9436cd094ee86006e09a2d0', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 10:00:53: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': 'b5c8f400dbffee19838228541059e83bfd63b91a24426ee2f8ef85bcaebe69c7', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 10:00:53: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ef185fc67f8506bc748dd00c12ba31fe22be1a2ceb4dacef5406165ee011dceb', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-07 10:00:54: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'cc5b9e652287c3b33c04c9d5b2ea77251eb76191a98c0db3449325c1b812321c', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 10:00:55: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6d5bf14b41b73feba78a2c887fef326ba9765f17a86cc114a606445fdb1be7fe', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
