Time,ssid,bssid,sec,channel,rssi
16:03:58,C30,2a6e43bb7ce44094e1aa60de0e1c1cd200495c0b0e2a40a357f0c874,3,6,-39
16:03:58,C31,aa3b6956b3a182ef57efc3c26d9452807f378450ee46dbfb62252b06,0,1,-63
16:03:58,C32,8327eb7e3d7cd02be35dd74713c5855d6fd6b7a063b3f940f309b9d7,5,1,-66
16:03:58,C33,6a74d8232ff0157bbab297cab00f41670f2767a9f73e381c410f8521,3,1,-67
16:03:58,C31,504b63b504d4cd105a38e7d8b2e910dc673473da708dec11cb008997,0,6,-85
16:03:58,C34,7edd890923ee2f30b31527263eb7a4ed9f6310eb370ee47c0daa896a,3,11,-85
16:03:58,C32,a1cb3b89790ea1ea5144ef07617501d5bb990725f666657c36a7f61e,5,6,-89
16:03:58,C32,04085dee2c3a6e4996a80f317bba23be090ad522f91430fcfb43d86f,5,11,-94
16:04:00,C30,2a6e43bb7ce44094e1aa60de0e1c1cd200495c0b0e2a40a357f0c874,3,6,-42
16:04:00,C32,8327eb7e3d7cd02be35dd74713c5855d6fd6b7a063b3f940f309b9d7,5,1,-63
16:04:00,C31,aa3b6956b3a182ef57efc3c26d9452807f378450ee46dbfb62252b06,0,1,-65
16:04:00,C33,6a74d8232ff0157bbab297cab00f41670f2767a9f73e381c410f8521,3,1,-69
16:04:00,C34,7edd890923ee2f30b31527263eb7a4ed9f6310eb370ee47c0daa896a,3,11,-76
16:04:00,C31,504b63b504d4cd105a38e7d8b2e910dc673473da708dec11cb008997,0,6,-84
16:04:00,C32,a1cb3b89790ea1ea5144ef07617501d5bb990725f666657c36a7f61e,5,6,-85
16:04:00,C31,bb0d82a9f77cb68c5f1f2bd3f4ffefaabeaaf488d50759e4edda0793,0,11,-91
16:04:02,C30,2a6e43bb7ce44094e1aa60de0e1c1cd200495c0b0e2a40a357f0c874,3,6,-44
16:04:02,C31,aa3b6956b3a182ef57efc3c26d9452807f378450ee46dbfb62252b06,0,1,-62
16:04:02,C32,8327eb7e3d7cd02be35dd74713c5855d6fd6b7a063b3f940f309b9d7,5,1,-63
16:04:04,C30,2a6e43bb7ce44094e1aa60de0e1c1cd200495c0b0e2a40a357f0c874,3,6,-50
16:04:04,C33,6a74d8232ff0157bbab297cab00f41670f2767a9f73e381c410f8521,3,1,-65
16:04:04,C32,8327eb7e3d7cd02be35dd74713c5855d6fd6b7a063b3f940f309b9d7,5,1,-65
16:04:04,C34,7edd890923ee2f30b31527263eb7a4ed9f6310eb370ee47c0daa896a,3,11,-77
16:04:04,C32,a1cb3b89790ea1ea5144ef07617501d5bb990725f666657c36a7f61e,5,6,-82
16:04:04,C31,504b63b504d4cd105a38e7d8b2e910dc673473da708dec11cb008997,0,6,-89
16:04:06,C30,2a6e43bb7ce44094e1aa60de0e1c1cd200495c0b0e2a40a357f0c874,3,6,-42
16:04:06,C32,8327eb7e3d7cd02be35dd74713c5855d6fd6b7a063b3f940f309b9d7,5,1,-65
16:04:06,C33,6a74d8232ff0157bbab297cab00f41670f2767a9f73e381c410f8521,3,1,-65
16:04:06,C31,aa3b6956b3a182ef57efc3c26d9452807f378450ee46dbfb62252b06,0,1,-67
16:04:06,C31,504b63b504d4cd105a38e7d8b2e910dc673473da708dec11cb008997,0,6,-79
16:04:06,C32,a1cb3b89790ea1ea5144ef07617501d5bb990725f666657c36a7f61e,5,6,-82
16:04:06,C34,7edd890923ee2f30b31527263eb7a4ed9f6310eb370ee47c0daa896a,3,11,-92
16:04:08,C30,2a6e43bb7ce44094e1aa60de0e1c1cd200495c0b0e2a40a357f0c874,3,6,-39
16:04:08,C31,aa3b6956b3a182ef57efc3c26d9452807f378450ee46dbfb62252b06,0,1,-60
16:04:08,C32,8327eb7e3d7cd02be35dd74713c5855d6fd6b7a063b3f940f309b9d7,5,1,-60
16:04:08,C35,478e0fcff15d7c9ba358b855f855fca01f95d90e54e1f073406f5c4b,3,11,-62
16:04:08,C33,6a74d8232ff0157bbab297cab00f41670f2767a9f73e381c410f8521,3,1,-69
16:04:08,C34,7edd890923ee2f30b31527263eb7a4ed9f6310eb370ee47c0daa896a,3,11,-89
16:04:10,C30,2a6e43bb7ce44094e1aa60de0e1c1cd200495c0b0e2a40a357f0c874,3,6,-28
16:04:10,C31,aa3b6956b3a182ef57efc3c26d9452807f378450ee46dbfb62252b06,0,1,-60
16:04:10,C32,8327eb7e3d7cd02be35dd74713c5855d6fd6b7a063b3f940f309b9d7,5,1,-63
16:04:10,C33,6a74d8232ff0157bbab297cab00f41670f2767a9f73e381c410f8521,3,1,-73
16:04:10,C35,478e0fcff15d7c9ba358b855f855fca01f95d90e54e1f073406f5c4b,3,11,-75
16:04:10,C34,7edd890923ee2f30b31527263eb7a4ed9f6310eb370ee47c0daa896a,3,11,-78
16:04:10,C31,5ef8295249edba06567fe278d069bc8a6063cf1f855aa82dcead2202,0,6,-94
16:04:12,C30,2a6e43bb7ce44094e1aa60de0e1c1cd200495c0b0e2a40a357f0c874,3,6,-42
16:04:12,C35,478e0fcff15d7c9ba358b855f855fca01f95d90e54e1f073406f5c4b,3,11,-55
16:04:12,C31,aa3b6956b3a182ef57efc3c26d9452807f378450ee46dbfb62252b06,0,1,-63
16:04:12,C32,8327eb7e3d7cd02be35dd74713c5855d6fd6b7a063b3f940f309b9d7,5,1,-65
16:04:12,C32,a1cb3b89790ea1ea5144ef07617501d5bb990725f666657c36a7f61e,5,6,-86
16:04:12,C31,504b63b504d4cd105a38e7d8b2e910dc673473da708dec11cb008997,0,6,-89
16:04:12,C34,7edd890923ee2f30b31527263eb7a4ed9f6310eb370ee47c0daa896a,3,11,-89
16:04:14,C30,2a6e43bb7ce44094e1aa60de0e1c1cd200495c0b0e2a40a357f0c874,3,6,-41
16:04:14,C35,478e0fcff15d7c9ba358b855f855fca01f95d90e54e1f073406f5c4b,3,11,-54
16:04:14,C31,aa3b6956b3a182ef57efc3c26d9452807f378450ee46dbfb62252b06,0,1,-72
16:04:14,C32,8327eb7e3d7cd02be35dd74713c5855d6fd6b7a063b3f940f309b9d7,5,1,-72
16:04:14,C33,6a74d8232ff0157bbab297cab00f41670f2767a9f73e381c410f8521,3,1,-77
16:04:14,C34,7edd890923ee2f30b31527263eb7a4ed9f6310eb370ee47c0daa896a,3,11,-80
16:04:14,C32,04085dee2c3a6e4996a80f317bba23be090ad522f91430fcfb43d86f,5,11,-98
16:04:16,C30,2a6e43bb7ce44094e1aa60de0e1c1cd200495c0b0e2a40a357f0c874,3,6,-38
16:04:16,C35,478e0fcff15d7c9ba358b855f855fca01f95d90e54e1f073406f5c4b,3,11,-50
16:04:16,C32,8327eb7e3d7cd02be35dd74713c5855d6fd6b7a063b3f940f309b9d7,5,1,-63
16:04:16,C31,aa3b6956b3a182ef57efc3c26d9452807f378450ee46dbfb62252b06,0,1,-65
16:04:16,C33,6a74d8232ff0157bbab297cab00f41670f2767a9f73e381c410f8521,3,1,-70
16:04:16,C34,7edd890923ee2f30b31527263eb7a4ed9f6310eb370ee47c0daa896a,3,11,-79
16:04:18,C30,2a6e43bb7ce44094e1aa60de0e1c1cd200495c0b0e2a40a357f0c874,3,6,-46
16:04:18,C31,aa3b6956b3a182ef57efc3c26d9452807f378450ee46dbfb62252b06,0,1,-63
16:04:18,C32,8327eb7e3d7cd02be35dd74713c5855d6fd6b7a063b3f940f309b9d7,5,1,-65
16:04:18,C33,6a74d8232ff0157bbab297cab00f41670f2767a9f73e381c410f8521,3,1,-78
16:04:18,C34,7edd890923ee2f30b31527263eb7a4ed9f6310eb370ee47c0daa896a,3,11,-84
16:04:20,C30,2a6e43bb7ce44094e1aa60de0e1c1cd200495c0b0e2a40a357f0c874,3,6,-51
16:04:20,C32,8327eb7e3d7cd02be35dd74713c5855d6fd6b7a063b3f940f309b9d7,5,1,-63
16:04:20,C35,478e0fcff15d7c9ba358b855f855fca01f95d90e54e1f073406f5c4b,3,11,-63
16:04:20,C31,aa3b6956b3a182ef57efc3c26d9452807f378450ee46dbfb62252b06,0,1,-65
16:04:20,C33,6a74d8232ff0157bbab297cab00f41670f2767a9f73e381c410f8521,3,1,-84
16:04:20,C34,7edd890923ee2f30b31527263eb7a4ed9f6310eb370ee47c0daa896a,3,11,-85
16:04:22,C30,2a6e43bb7ce44094e1aa60de0e1c1cd200495c0b0e2a40a357f0c874,3,6,-43
