Testing SD card write operations: 2022-07-07 16:03:57
2022-07-07 16:03:58: {'ssid':'C30', 'bssid':'2a6e43bb7ce44094e1aa60de0e1c1cd200495c0b0e2a40a357f0c874', 'sec':3, 'channel':6, 'rssi':-39}
2022-07-07 16:03:58: {'ssid':'C31', 'bssid':'aa3b6956b3a182ef57efc3c26d9452807f378450ee46dbfb62252b06', 'sec':0, 'channel':1, 'rssi':-63}
2022-07-07 16:03:58: {'ssid':'C32', 'bssid':'8327eb7e3d7cd02be35dd74713c5855d6fd6b7a063b3f940f309b9d7', 'sec':5, 'channel':1, 'rssi':-66}
2022-07-07 16:03:58: {'ssid':'C33', 'bssid':'6a74d8232ff0157bbab297cab00f41670f2767a9f73e381c410f8521', 'sec':3, 'channel':1, 'rssi':-67}
2022-07-07 16:03:58: {'ssid':'C31', 'bssid':'504b63b504d4cd105a38e7d8b2e910dc673473da708dec11cb008997', 'sec':0, 'channel':6, 'rssi':-85}
2022-07-07 16:03:58: {'ssid':'C34', 'bssid':'7edd890923ee2f30b31527263eb7a4ed9f6310eb370ee47c0daa896a', 'sec':3, 'channel':11, 'rssi':-85}
2022-07-07 16:03:58: {'ssid':'C32', 'bssid':'a1cb3b89790ea1ea5144ef07617501d5bb990725f666657c36a7f61e', 'sec':5, 'channel':6, 'rssi':-89}
2022-07-07 16:03:58: {'ssid':'C32', 'bssid':'04085dee2c3a6e4996a80f317bba23be090ad522f91430fcfb43d86f', 'sec':5, 'channel':11, 'rssi':-94}
2022-07-07 16:04:00: {'ssid':'C30', 'bssid':'2a6e43bb7ce44094e1aa60de0e1c1cd200495c0b0e2a40a357f0c874', 'sec':3, 'channel':6, 'rssi':-42}
2022-07-07 16:04:00: {'ssid':'C32', 'bssid':'8327eb7e3d7cd02be35dd74713c5855d6fd6b7a063b3f940f309b9d7', 'sec':5, 'channel':1, 'rssi':-63}
2022-07-07 16:04:00: {'ssid':'C31', 'bssid':'aa3b6956b3a182ef57efc3c26d9452807f378450ee46dbfb62252b06', 'sec':0, 'channel':1, 'rssi':-65}
2022-07-07 16:04:00: {'ssid':'C33', 'bssid':'6a74d8232ff0157bbab297cab00f41670f2767a9f73e381c410f8521', 'sec':3, 'channel':1, 'rssi':-69}
2022-07-07 16:04:00: {'ssid':'C34', 'bssid':'7edd890923ee2f30b31527263eb7a4ed9f6310eb370ee47c0daa896a', 'sec':3, 'channel':11, 'rssi':-76}
2022-07-07 16:04:00: {'ssid':'C31', 'bssid':'504b63b504d4cd105a38e7d8b2e910dc673473da708dec11cb008997', 'sec':0, 'channel':6, 'rssi':-84}
2022-07-07 16:04:00: {'ssid':'C32', 'bssid':'a1cb3b89790ea1ea5144ef07617501d5bb990725f666657c36a7f61e', 'sec':5, 'channel':6, 'rssi':-85}
2022-07-07 16:04:00: {'ssid':'C31', 'bssid':'bb0d82a9f77cb68c5f1f2bd3f4ffefaabeaaf488d50759e4edda0793', 'sec':0, 'channel':11, 'rssi':-91}
2022-07-07 16:04:02: {'ssid':'C30', 'bssid':'2a6e43bb7ce44094e1aa60de0e1c1cd200495c0b0e2a40a357f0c874', 'sec':3, 'channel':6, 'rssi':-44}
2022-07-07 16:04:02: {'ssid':'C31', 'bssid':'aa3b6956b3a182ef57efc3c26d9452807f378450ee46dbfb62252b06', 'sec':0, 'channel':1, 'rssi':-62}
2022-07-07 16:04:02: {'ssid':'C32', 'bssid':'8327eb7e3d7cd02be35dd74713c5855d6fd6b7a063b3f940f309b9d7', 'sec':5, 'channel':1, 'rssi':-63}
2022-07-07 16:04:04: {'ssid':'C30', 'bssid':'2a6e43bb7ce44094e1aa60de0e1c1cd200495c0b0e2a40a357f0c874', 'sec':3, 'channel':6, 'rssi':-50}
