Time,adv_flag,def_tx_pwr,mac,rssi,name,scan_tx_pwr,conn_tx_pwr,tx_range,adv_tx_pwr
16:03:59,26,3,b'43ad70ef2bd1',-90,,3,64,,3
16:03:59,,3,b'092af0c136e1',-85,,3,64,,3
16:04:00,26,3,b'23320ec8e936',-78,,3,64,,3
16:04:01,26,3,b'1d32a11e1cdb',-90,,3,64,,3
16:04:02,26,3,b'43ad70ef2bd1',-88,,3,64,,3
16:04:03,26,3,b'6afddf512297',-48,,3,64,12,3
16:04:03,26,3,b'491b1dfb7be8',-83,,3,64,,3
16:04:04,,3,b'092af0c136e1',-80,,3,64,,3
16:04:05,26,3,b'376babe9b4f0',-81,,3,64,,3
16:04:06,26,3,b'4b63d4a7072a',-83,,3,64,,3
16:04:07,26,3,b'33ae84f3dfd8',-81,,3,64,,3
16:04:08,26,3,b'376babe9b4f0',-78,,3,64,,3
16:04:08,26,3,b'65a10acee2ee',-80,,3,64,,3
16:04:09,26,3,b'4b63d4a7072a',-77,,3,64,,3
16:04:10,,3,b'092af0c136e1',-85,,3,64,,3
16:04:11,26,3,b'43ad70ef2bd1',-89,,3,64,,3
16:04:12,,3,b'60235041c4b2',-85,,3,64,,3
16:04:12,26,3,b'1d32a11e1cdb',-88,,3,64,,3
16:04:13,,3,b'cc8c349c9496',-49,,3,64,,3
16:04:14,,3,b'c1d5231c6777',-88,,3,64,,3
16:04:15,26,3,b'33ae84f3dfd8',-84,,3,64,,3
16:04:16,6,3,b'4df57ab16d5a',-88,,3,64,,3
16:04:16,,3,b'60235041c4b2',-84,,3,64,,3
16:04:17,26,3,b'65a10acee2ee',-82,,3,64,,3
16:04:18,,3,b'1b38ed52f08f',-73,,3,64,,3
16:04:19,26,3,b'53f05c120240',-81,,3,64,5,3
16:04:20,26,3,b'376babe9b4f0',-76,,3,64,,3
16:04:21,,3,b'fa64fd1aea96',-81,,3,64,,3
16:04:21,,3,b'092af0c136e1',-80,,3,64,,3
16:04:22,26,3,b'33ae84f3dfd8',-88,,3,64,,3
16:04:23,26,3,b'46c5ae1af18b',-74,,3,64,12,3
16:04:24,26,3,b'491b1dfb7be8',-79,,3,64,,3
16:04:25,26,3,b'65a10acee2ee',-75,,3,64,,3
16:04:25,,3,b'60235041c4b2',-88,,3,64,,3
16:04:26,26,3,b'33ae84f3dfd8',-84,,3,64,,3
16:04:27,6,3,b'4df57ab16d5a',-81,,3,64,,3
16:04:28,26,3,b'23320ec8e936',-71,,3,64,,3
16:04:29,6,3,b'4df57ab16d5a',-87,,3,64,,3
16:04:29,26,3,b'4b63d4a7072a',-83,,3,64,,3
16:04:30,,3,b'1b38ed52f08f',-62,,3,64,,3
16:04:31,26,3,b'6260378c564a',-92,,3,64,7,3
16:04:32,26,3,b'63eaae7be46c',-83,,3,64,7,3
16:04:33,26,3,b'23320ec8e936',-81,,3,64,,3
16:04:33,,3,b'092af0c136e1',-84,,3,64,,3
16:04:34,,3,b'60235041c4b2',-85,,3,64,,3
16:04:35,26,3,b'376babe9b4f0',-87,,3,64,,3
16:04:36,26,3,b'681b6b0b62a4',-88,,3,64,12,3
16:04:37,26,3,b'681b6b0b62a4',-89,,3,64,12,3
16:04:37,26,3,b'491b1dfb7be8',-86,,3,64,,3
16:04:38,6,3,b'4df57ab16d5a',-84,,3,64,,3
16:04:39,,3,b'092af0c136e1',-85,,3,64,,3
16:04:40,26,3,b'0f8c9081998b',-92,,3,64,,3
16:04:41,,3,b'c1d5231c6777',-91,,3,64,,3
16:04:41,26,3,b'491b1dfb7be8',-73,,3,64,,3
16:04:42,6,3,b'4df57ab16d5a',-87,,3,64,,3
16:04:43,,3,b'1b38ed52f08f',-66,,3,64,,3
16:04:44,,3,b'092af0c136e1',-75,,3,64,,3
16:04:45,26,3,b'4b63d4a7072a',-77,,3,64,,3
16:04:46,,3,b'1b38ed52f08f',-77,,3,64,,3
16:04:46,,3,b'092af0c136e1',-79,,3,64,,3
16:04:47,26,3,b'53f05c120240',-73,,3,64,5,3
16:04:48,26,3,b'53f05c120240',-75,,3,64,5,3
16:04:49,26,3,b'376babe9b4f0',-79,,3,64,,3
16:04:50,26,3,b'4b63d4a7072a',-82,,3,64,,3
16:04:50,,3,b'1b38ed52f08f',-67,,3,64,,3
16:04:51,26,3,b'584dd1a71d9c',-91,,3,64,5,3
16:04:52,,3,b'60235041c4b2',-81,,3,64,,3
16:04:53,26,3,b'65a10acee2ee',-87,,3,64,,3
16:04:54,,3,b'60235041c4b2',-84,,3,64,,3
16:04:54,26,3,b'7273359da6e9',-80,,3,64,5,3
16:04:55,,3,b'1b38ed52f08f',-73,,3,64,,3
16:04:56,6,3,b'5f27820cad6e',-84,,3,64,,3
16:04:57,26,3,b'0010b1d40f4b',-88,,3,64,,3
16:04:58,26,3,b'33ae84f3dfd8',-75,,3,64,,3
16:04:58,,3,b'1b38ed52f08f',-65,,3,64,,3
16:04:59,26,3,b'65a10acee2ee',-82,,3,64,,3
16:05:00,6,3,b'4df57ab16d5a',-83,,3,64,,3
16:05:01,26,3,b'23320ec8e936',-74,,3,64,,3
16:05:02,,3,b'1b38ed52f08f',-68,,3,64,,3
16:05:03,,3,b'60235041c4b2',-79,,3,64,,3
16:05:03,26,3,b'63eaae7be46c',-85,,3,64,,3
16:05:04,,3,b'1b38ed52f08f',-70,,3,64,,3
16:05:05,26,3,b'4b63d4a7072a',-75,,3,64,,3
16:05:06,6,3,b'5f27820cad6e',-89,,3,64,,3
16:05:07,,3,b'1b38ed52f08f',-70,,3,64,,3
16:05:07,,3,b'cc8c349c9496',-52,,3,64,,3
16:05:08,26,3,b'65a10acee2ee',-83,,3,64,,3
16:05:09,,3,b'092af0c136e1',-76,,3,64,,3
16:05:10,26,3,b'65a10acee2ee',-81,,3,64,,3
16:05:11,,3,b'1b38ed52f08f',-62,,3,64,,3
16:05:11,,3,b'092af0c136e1',-77,,3,64,,3
16:05:12,26,3,b'65a10acee2ee',-81,,3,64,,3
16:05:13,26,3,b'46c5ae1af18b',-73,,3,64,12,3
16:05:14,26,3,b'0010b1d40f4b',-90,,3,64,,3
16:05:15,,3,b'60235041c4b2',-81,,3,64,,3
16:05:15,6,3,b'5f27820cad6e',-84,,3,64,,3
16:05:16,,3,b'60235041c4b2',-81,,3,64,,3
16:05:17,26,3,b'65a10acee2ee',-84,,3,64,,3
16:05:18,26,3,b'65a10acee2ee',-78,,3,64,,3
16:05:19,26,3,b'33ae84f3dfd8',-72,,3,64,,3
16:05:19,26,3,b'23320ec8e936',-75,,3,64,,3
16:05:20,,3,b'60235041c4b2',-77,,3,64,,3
16:05:21,26,3,b'740e1f6b9864',-76,,3,64,8,3
16:05:22,,3,b'60235041c4b2',-74,,3,64,,3
16:05:23,,3,b'60235041c4b2',-82,,3,64,,3
16:05:23,26,3,b'33ae84f3dfd8',-79,,3,64,,3
16:05:24,26,3,b'491b1dfb7be8',-75,,3,64,,3
16:05:25,,3,b'60235041c4b2',-81,,3,64,,3
16:05:26,26,3,b'46c5ae1af18b',-78,,3,64,12,3
16:05:27,,3,b'1b38ed52f08f',-68,,3,64,,3
16:05:28,26,3,b'717b3bbaf8f5',-76,,3,64,5,3
16:05:28,,3,b'60235041c4b2',-71,,3,64,,3
16:05:29,,3,b'60235041c4b2',-81,,3,64,,3
16:05:30,,3,b'60235041c4b2',-71,,3,64,,3
16:05:31,,3,b'c1d5231c6777',-92,,3,64,,3
16:05:32,,3,b'1b38ed52f08f',-72,,3,64,,3
16:05:32,,3,b'1b38ed52f08f',-66,,3,64,,3
16:05:33,26,3,b'33ae84f3dfd8',-74,,3,64,,3
16:05:34,26,3,b'491b1dfb7be8',-73,,3,64,,3
16:05:35,26,3,b'584dd1a71d9c',-81,,3,64,5,3
16:05:36,26,3,b'491b1dfb7be8',-72,,3,64,,3
16:05:36,26,3,b'46c5ae1af18b',-77,,3,64,12,3
16:05:37,,3,b'60235041c4b2',-87,,3,64,,3
16:05:38,26,3,b'33ae84f3dfd8',-77,,3,64,,3
16:05:39,26,3,b'717b3bbaf8f5',-72,,3,64,5,3
16:05:40,26,3,b'23320ec8e936',-82,,3,64,,3
16:05:41,6,3,b'4df57ab16d5a',-82,,3,64,,3
16:05:41,26,3,b'23320ec8e936',-80,,3,64,,3
16:05:42,26,3,b'376babe9b4f0',-81,,3,64,,3
16:05:43,,3,b'60235041c4b2',-74,,3,64,,3
16:05:44,,3,b'1b38ed52f08f',-74,,3,64,,3
16:05:45,26,3,b'33ae84f3dfd8',-76,,3,64,,3
16:05:45,26,3,b'0010b1d40f4b',-85,,3,64,,3
