Testing SD card write operations: 2022-07-07 16:04:13
2022-07-07 16:04:13: {'Acceleration': '(-0.08190918, -0.04931641, 0.9974365)', 'Roll': '4.694577', 'battery_voltage': 4.435806, 'battery_percentage': 76.91391, 'Pitch': '2.821098'}
2022-07-07 16:04:14: {'Acceleration': '(-0.05249023, -0.04638672, 0.9969482)', 'Roll': '2.600971', 'battery_voltage': 4.435806, 'battery_percentage': 76.91391, 'Pitch': '2.591301'}
2022-07-07 16:04:15: {'Acceleration': '(0.0559082, 0.02282715, 0.973877)', 'Roll': '-2.870285', 'battery_voltage': 4.440825, 'battery_percentage': 77.41573, 'Pitch': '1.104461'}
2022-07-07 16:04:15: {'Acceleration': '(0.001098633, 0.1729736, 1.102661)', 'Roll': '-0.05708644', 'battery_voltage': 4.435806, 'battery_percentage': 76.91391, 'Pitch': '-8.915287'}
2022-07-07 16:04:16: {'Acceleration': '(-0.1644287, 0.508667, 0.7269287)', 'Roll': '12.74562', 'battery_voltage': 4.445842, 'battery_percentage': 77.9175, 'Pitch': '-34.31376'}
2022-07-07 16:04:17: {'Acceleration': '(-0.1275635, 0.6105957, 0.828125)', 'Roll': '8.756951', 'battery_voltage': 4.450861, 'battery_percentage': 78.41933, 'Pitch': '-36.08187'}
2022-07-07 16:04:18: {'Acceleration': '(-0.1717529, -0.2385254, 1.019409)', 'Roll': '9.563537', 'battery_voltage': 4.440825, 'battery_percentage': 77.41573, 'Pitch': '-6.694145'}
2022-07-07 16:04:19: {'Acceleration': '(-0.06640625, -0.05883789, 1.006836)', 'Roll': '3.773499', 'battery_voltage': 4.445842, 'battery_percentage': 77.9175, 'Pitch': '2.402043'}
2022-07-07 16:04:20: {'Acceleration': '(0.1091309, 0.03735352, 1.030518)', 'Roll': '-6.045039', 'battery_voltage': 4.450861, 'battery_percentage': 78.41933, 'Pitch': '-1.800851'}
2022-07-07 16:04:21: {'Acceleration': '(-0.08325195, -0.06079102, 1.00769)', 'Roll': '4.778001', 'battery_voltage': 4.450861, 'battery_percentage': 78.41933, 'Pitch': '3.502356'}
2022-07-07 16:04:21: {'Acceleration': '(-0.07971191, -0.06384277, 1.013184)', 'Roll': '4.627645', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '3.547068'}
2022-07-07 16:04:22: {'Acceleration': '(-0.0814209, -0.06188965, 1.013184)', 'Roll': '4.594498', 'battery_voltage': 4.450861, 'battery_percentage': 78.41933, 'Pitch': '3.484326'}
2022-07-07 16:04:23: {'Acceleration': '(-0.08166504, -0.06140137, 1.010864)', 'Roll': '4.618743', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '3.464698'}
2022-07-07 16:04:24: {'Acceleration': '(-0.08215332, -0.06396484, 1.011597)', 'Roll': '4.642889', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '3.606244'}
2022-07-07 16:04:25: {'Acceleration': '(-0.0814209, -0.06481934, 1.010864)', 'Roll': '4.767659', 'battery_voltage': 4.450861, 'battery_percentage': 78.41933, 'Pitch': '3.479213'}
2022-07-07 16:04:26: {'Acceleration': '(-0.07897949, -0.06335449, 1.014038)', 'Roll': '4.480954', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '3.605668'}
2022-07-07 16:04:27: {'Acceleration': '(-0.08190918, -0.06335449, 1.015137)', 'Roll': '4.627842', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '3.541937'}
2022-07-07 16:04:28: {'Acceleration': '(-0.08215332, -0.05981445, 1.011719)', 'Roll': '4.642331', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '3.4677'}
2022-07-07 16:04:28: {'Acceleration': '(-0.08032227, -0.0637207, 1.011719)', 'Roll': '4.539299', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '3.557184'}
2022-07-07 16:04:29: {'Acceleration': '(-0.08117676, -0.06140137, 1.012329)', 'Roll': '4.58463', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '3.422874'}
2022-07-07 16:04:30: {'Acceleration': '(-0.08068848, -0.06384277, 1.009155)', 'Roll': '4.371675', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '3.685116'}
2022-07-07 16:04:31: {'Acceleration': '(-0.08007813, -0.06152344, 1.016968)', 'Roll': '4.502297', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '3.451343'}
2022-07-07 16:04:32: {'Acceleration': '(-0.07897949, -0.06237793, 1.008667)', 'Roll': '4.477173', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '3.528005'}
2022-07-07 16:04:33: {'Acceleration': '(-0.08129883, -0.06274414, 1.010742)', 'Roll': '4.598673', 'battery_voltage': 4.450861, 'battery_percentage': 78.41933, 'Pitch': '3.498148'}
2022-07-07 16:04:34: {'Acceleration': '(-0.08056641, -0.06201172, 1.010132)', 'Roll': '4.560161', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '3.611841'}
2022-07-07 16:04:34: {'Acceleration': '(-0.08032227, -0.06298828, 1.014282)', 'Roll': '4.527874', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '3.508039'}
2022-07-07 16:04:35: {'Acceleration': '(-0.07958984, -0.0645752, 1.016724)', 'Roll': '4.476026', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '3.623092'}
2022-07-07 16:04:36: {'Acceleration': '(-0.08349609, -0.06262207, 1.013916)', 'Roll': '4.707691', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '3.522352'}
2022-07-07 16:04:37: {'Acceleration': '(-0.07714844, -0.06311035, 1.005493)', 'Roll': '4.387535', 'battery_voltage': 4.450861, 'battery_percentage': 78.41933, 'Pitch': '3.580993'}
2022-07-07 16:04:38: {'Acceleration': '(-0.07995605, -0.0625, 1.012817)', 'Roll': '4.513807', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '3.424041'}
2022-07-07 16:04:39: {'Acceleration': '(-0.08117676, -0.06188965, 1.014526)', 'Roll': '4.574743', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '3.544621'}
2022-07-07 16:04:40: {'Acceleration': '(-0.0793457, -0.06359863, 1.011841)', 'Roll': '4.486493', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '3.414358'}
2022-07-07 16:04:40: {'Acceleration': '(-0.0802002, -0.06274414, 1.004028)', 'Roll': '4.566999', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '3.564576'}
2022-07-07 16:04:41: {'Acceleration': '(-0.07995605, -0.06469727, 1.011353)', 'Roll': '4.520319', 'battery_voltage': 4.450861, 'battery_percentage': 78.41933, 'Pitch': '3.648928'}
2022-07-07 16:04:42: {'Acceleration': '(-0.08154297, -0.06237793, 1.007935)', 'Roll': '4.610206', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '3.517181'}
2022-07-07 16:04:43: {'Acceleration': '(-0.08129883, -0.06237793, 1.012085)', 'Roll': '4.673431', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '3.508826'}
2022-07-07 16:04:44: {'Acceleration': '(-0.07727051, -0.0657959, 1.013672)', 'Roll': '4.62879', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '3.586975'}
2022-07-07 16:04:45: {'Acceleration': '(-0.08044434, -0.06262207, 1.011841)', 'Roll': '4.545622', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '3.516488'}
2022-07-07 16:04:46: {'Acceleration': '(-0.08117676, -0.06188965, 1.011841)', 'Roll': '4.586833', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '3.488976'}
2022-07-07 16:04:47: {'Acceleration': '(-0.08276367, -0.06201172, 1.010376)', 'Roll': '4.682857', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '3.465516'}
2022-07-07 16:04:48: {'Acceleration': '(-0.08361816, -0.06274414, 1.010132)', 'Roll': '4.732124', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '3.542264'}
2022-07-07 16:04:49: {'Acceleration': '(-0.07946777, -0.0625, 1.012573)', 'Roll': '4.487432', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '3.52124'}
2022-07-07 16:04:49: {'Acceleration': '(-0.08093262, -0.06201172, 1.012573)', 'Roll': '4.568706', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '3.50501'}
2022-07-07 16:04:50: {'Acceleration': '(-0.08190918, -0.06188965, 1.012085)', 'Roll': '4.626927', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '3.48794'}
2022-07-07 16:04:51: {'Acceleration': '(-0.07995605, -0.06359863, 1.012939)', 'Roll': '4.513266', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '3.581558'}
2022-07-07 16:04:52: {'Acceleration': '(-0.07873535, -0.06433105, 1.010864)', 'Roll': '4.453727', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '3.53927'}
2022-07-07 16:04:53: {'Acceleration': '(-0.0793457, -0.06433105, 1.010986)', 'Roll': '4.487572', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '3.629803'}
2022-07-07 16:04:54: {'Acceleration': '(-0.08093262, -0.0625, 1.012695)', 'Roll': '4.569254', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '3.532171'}
2022-07-07 16:04:55: {'Acceleration': '(-0.08093262, -0.06103516, 1.010376)', 'Roll': '4.579699', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '3.605476'}
2022-07-07 16:04:56: {'Acceleration': '(-0.07836914, -0.06408691, 1.008423)', 'Roll': '4.443784', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '3.625447'}
2022-07-07 16:04:56: {'Acceleration': '(-0.08105469, -0.06323242, 1.007935)', 'Roll': '4.597639', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '3.583838'}
2022-07-07 16:04:57: {'Acceleration': '(-0.08154297, -0.0625, 1.011475)', 'Roll': '4.404019', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '3.501524'}
2022-07-07 16:04:58: {'Acceleration': '(-0.07946777, -0.06481934, 1.012573)', 'Roll': '4.487432', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '3.511894'}
2022-07-07 16:04:59: {'Acceleration': '(-0.0826416, -0.0645752, 1.012207)', 'Roll': '4.677668', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '3.584636'}
2022-07-07 16:05:00: {'Acceleration': '(-0.07971191, -0.06384277, 1.008789)', 'Roll': '4.517977', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '3.61'}
2022-07-07 16:05:01: {'Acceleration': '(-0.08105469, -0.06176758, 1.011475)', 'Roll': '4.581616', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '3.569717'}
2022-07-07 16:05:02: {'Acceleration': '(-0.07519531, -0.06286621, 1.012085)', 'Roll': '4.45667', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '3.424369'}
2022-07-07 16:05:02: {'Acceleration': '(-0.07958984, -0.06262207, 1.008545)', 'Roll': '4.512174', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '3.703515'}
2022-07-07 16:05:03: {'Acceleration': '(-0.08032227, -0.06323242, 1.010498)', 'Roll': '4.544759', 'battery_voltage': 4.450861, 'battery_percentage': 78.41933, 'Pitch': '3.587726'}
2022-07-07 16:05:04: {'Acceleration': '(-0.07995605, -0.06164551, 1.02063)', 'Roll': '4.587169', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '3.511899'}
2022-07-07 16:05:05: {'Acceleration': '(-0.07897949, -0.0645752, 1.009399)', 'Roll': '4.473938', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '3.615569'}
2022-07-07 16:05:06: {'Acceleration': '(-0.07751465, -0.0625, 1.014282)', 'Roll': '4.383367', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '3.545458'}
2022-07-07 16:05:07: {'Acceleration': '(-0.07629395, -0.06359863, 1.011475)', 'Roll': '4.322397', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '3.663354'}
2022-07-07 16:05:08: {'Acceleration': '(-0.08007813, -0.06152344, 1.007813)', 'Roll': '4.543026', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '3.482423'}
2022-07-07 16:05:09: {'Acceleration': '(-0.07946777, -0.06481934, 1.010498)', 'Roll': '4.49661', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '3.658996'}
2022-07-07 16:05:09: {'Acceleration': '(-0.07983398, -0.06188965, 1.010132)', 'Roll': '4.518877', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '3.631324'}
2022-07-07 16:05:10: {'Acceleration': '(-0.07531738, -0.06567383, 1.007324)', 'Roll': '4.213887', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '3.527028'}
2022-07-07 16:05:11: {'Acceleration': '(-0.08178711, -0.06420898, 1.014648)', 'Roll': '4.60844', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '3.609288'}
2022-07-07 16:05:12: {'Acceleration': '(-0.07727051, -0.06323242, 1.014282)', 'Roll': '4.356518', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '3.557038'}
2022-07-07 16:05:13: {'Acceleration': '(-0.07849121, -0.06286621, 1.013428)', 'Roll': '4.443179', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '3.59226'}
2022-07-07 16:05:14: {'Acceleration': '(-0.07629395, -0.06567383, 1.01062)', 'Roll': '4.276803', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '3.682904'}
2022-07-07 16:05:15: {'Acceleration': '(-0.07983398, -0.06433105, 1.015137)', 'Roll': '4.462451', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '3.615125'}
2022-07-07 16:05:15: {'Acceleration': '(-0.07751465, -0.0637207, 1.011719)', 'Roll': '4.381259', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '3.57542'}
2022-07-07 16:05:16: {'Acceleration': '(-0.07836914, -0.06298828, 1.012451)', 'Roll': '4.437899', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '3.607079'}
2022-07-07 16:05:17: {'Acceleration': '(-0.0703125, -0.06506348, 1.006714)', 'Roll': '4.547964', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '3.67935'}
2022-07-07 16:05:18: {'Acceleration': '(-0.07836914, -0.06311035, 1.011719)', 'Roll': '4.429366', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '3.615036'}
2022-07-07 16:05:19: {'Acceleration': '(-0.07971191, -0.06274414, 1.01001)', 'Roll': '4.512539', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '3.606873'}
2022-07-07 16:05:20: {'Acceleration': '(-0.07775879, -0.06335449, 1.00354)', 'Roll': '4.430681', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '3.601579'}
2022-07-07 16:05:21: {'Acceleration': '(-0.0769043, -0.06347656, 1.011841)', 'Roll': '4.346372', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '3.579378'}
2022-07-07 16:05:21: {'Acceleration': '(-0.07751465, -0.06274414, 1.010864)', 'Roll': '4.384948', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '3.449052'}
2022-07-07 16:05:22: {'Acceleration': '(-0.08093262, -0.06201172, 1.023071)', 'Roll': '4.523107', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '3.457865'}
2022-07-07 16:05:23: {'Acceleration': '(-0.07946777, -0.06311035, 1.006958)', 'Roll': '4.512353', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '3.575192'}
2022-07-07 16:05:24: {'Acceleration': '(-0.07873535, -0.06225586, 1.01001)', 'Roll': '4.45748', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '3.647112'}
2022-07-07 16:05:25: {'Acceleration': '(-0.07568359, -0.06628418, 1.006592)', 'Roll': '4.299862', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '3.75692'}
2022-07-07 16:05:26: {'Acceleration': '(-0.07739258, -0.06347656, 1.009155)', 'Roll': '4.385455', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '3.588692'}
2022-07-07 16:05:27: {'Acceleration': '(-0.07763672, -0.06298828, 1.010498)', 'Roll': '4.393412', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '1.804967'}
2022-07-07 16:05:28: {'Acceleration': '(-0.07421875, -0.06665039, 0.9993896)', 'Roll': '4.247221', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '3.805021'}
2022-07-07 16:05:28: {'Acceleration': '(-0.08032227, -0.06286621, 1.010132)', 'Roll': '4.546401', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '3.55007'}
2022-07-07 16:05:29: {'Acceleration': '(-0.07788086, -0.06311035, 1.011475)', 'Roll': '4.402936', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '3.634944'}
2022-07-07 16:05:30: {'Acceleration': '(-0.07678223, -0.06518555, 1.003906)', 'Roll': '4.373664', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '3.70432'}
2022-07-07 16:05:31: {'Acceleration': '(-0.07958984, -0.06433105, 1.013306)', 'Roll': '4.491062', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '3.621499'}
2022-07-07 16:05:32: {'Acceleration': '(-0.07849121, -0.06420898, 1.009399)', 'Roll': '4.44639', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '3.641039'}
2022-07-07 16:05:33: {'Acceleration': '(-0.07861328, -0.06481934, 1.014038)', 'Roll': '4.432987', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '3.646572'}
2022-07-07 16:05:34: {'Acceleration': '(-0.07592773, -0.06359863, 1.015015)', 'Roll': '4.278018', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '3.575379'}
2022-07-07 16:05:34: {'Acceleration': '(-0.07836914, -0.06298828, 1.010376)', 'Roll': '4.435229', 'battery_voltage': 4.445842, 'battery_percentage': 77.9175, 'Pitch': '3.556628'}
2022-07-07 16:05:35: {'Acceleration': '(-0.07299805, -0.06323242, 1.009644)', 'Roll': '4.293803', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '3.601156'}
2022-07-07 16:05:36: {'Acceleration': '(-0.07214355, -0.06555176, 1.009644)', 'Roll': '4.087094', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '3.70533'}
2022-07-07 16:05:37: {'Acceleration': '(-0.07910156, -0.06469727, 1.012573)', 'Roll': '4.314732', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '3.65153'}
2022-07-07 16:05:38: {'Acceleration': '(-0.07788086, -0.06115723, 1.013062)', 'Roll': '4.396065', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '3.444541'}
2022-07-07 16:05:39: {'Acceleration': '(-0.07666016, -0.06298828, 1.011108)', 'Roll': '4.335752', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '3.554531'}
2022-07-07 16:05:40: {'Acceleration': '(-0.08312988, -0.06408691, 1.013428)', 'Roll': '4.346975', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '3.519365'}
2022-07-07 16:05:41: {'Acceleration': '(-0.07446289, -0.06628418, 1.006226)', 'Roll': '4.232298', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '3.758613'}
2022-07-07 16:05:41: {'Acceleration': '(-0.07775879, -0.0625, 1.010742)', 'Roll': '4.399234', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '3.528023'}
2022-07-07 16:05:42: {'Acceleration': '(-0.07495117, -0.06396484, 1.01355)', 'Roll': '4.229277', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '3.601324'}
2022-07-07 16:05:43: {'Acceleration': '(-0.07714844, -0.0637207, 1.009033)', 'Roll': '4.372201', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '3.602957'}
2022-07-07 16:05:44: {'Acceleration': '(-0.07775879, -0.06237793, 1.010986)', 'Roll': '4.398176', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '3.520307'}
2022-07-07 16:05:45: {'Acceleration': '(-0.07641602, -0.06188965, 1.012329)', 'Roll': '4.282454', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '3.488731'}
2022-07-07 16:05:46: {'Acceleration': '(-0.07775879, -0.06335449, 1.011963)', 'Roll': '4.393949', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '3.571856'}
2022-07-07 16:05:47: {'Acceleration': '(-0.07568359, -0.06103516, 1.01001)', 'Roll': '4.285366', 'battery_voltage': 4.450861, 'battery_percentage': 78.41933, 'Pitch': '3.448549'}
2022-07-07 16:05:47: {'Acceleration': '(-0.07739258, -0.06433105, 1.011475)', 'Roll': '4.375438', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '3.628604'}
2022-07-07 16:05:48: {'Acceleration': '(-0.07873535, -0.05993652, 1.009277)', 'Roll': '4.460701', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '3.413069'}
2022-07-07 16:05:49: {'Acceleration': '(-0.07861328, -0.0625, 1.010132)', 'Roll': '4.394999', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '3.571432'}
2022-07-07 16:05:50: {'Acceleration': '(-0.078125, -0.06286621, 1.011108)', 'Roll': '4.418277', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '3.618266'}
2022-07-07 16:05:51: {'Acceleration': '(-0.07824707, -0.06164551, 1.002563)', 'Roll': '4.289496', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '3.695659'}
2022-07-07 16:05:52: {'Acceleration': '(-0.07714844, -0.06213379, 1.01355)', 'Roll': '4.352793', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '3.497928'}
2022-07-07 16:05:53: {'Acceleration': '(-0.07519531, -0.06433105, 1.007935)', 'Roll': '4.252699', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '3.395629'}
2022-07-07 16:05:54: {'Acceleration': '(-0.07739258, -0.06396484, 1.01062)', 'Roll': '4.379123', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '3.611027'}
2022-07-07 16:05:54: {'Acceleration': '(-0.0723877, -0.0604248, 1.006592)', 'Roll': '4.099396', 'battery_voltage': 4.450861, 'battery_percentage': 78.41933, 'Pitch': '3.579291'}
2022-07-07 16:05:55: {'Acceleration': '(-0.07397461, -0.06298828, 1.005127)', 'Roll': '4.235887', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '3.540498'}
2022-07-07 16:05:56: {'Acceleration': '(-0.07666016, -0.0612793, 1.013916)', 'Roll': '4.323792', 'battery_voltage': 4.445842, 'battery_percentage': 77.9175, 'Pitch': '3.448829'}
2022-07-07 16:05:57: {'Acceleration': '(-0.07775879, -0.05944824, 1.009155)', 'Roll': '4.369182', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '3.494493'}
2022-07-07 16:05:58: {'Acceleration': '(-0.07653809, -0.06115723, 1.007813)', 'Roll': '4.342978', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '3.462682'}
2022-07-07 16:05:59: {'Acceleration': '(-0.07739258, -0.06311035, 1.011108)', 'Roll': '4.377017', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '3.561207'}
2022-07-07 16:06:00: {'Acceleration': '(-0.07775879, -0.06323242, 1.009888)', 'Roll': '4.402942', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '3.572256'}
2022-07-07 16:06:00: {'Acceleration': '(-0.07543945, -0.06201172, 1.013428)', 'Roll': '4.257239', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '3.49193'}
2022-07-07 16:06:01: {'Acceleration': '(-0.07458496, -0.06542969, 1.009644)', 'Roll': '4.255672', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '3.537693'}
2022-07-07 16:06:02: {'Acceleration': '(-0.078125, -0.06286621, 1.012573)', 'Roll': '4.41191', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '3.542181'}
2022-07-07 16:06:03: {'Acceleration': '(-0.07629395, -0.06201172, 1.013794)', 'Roll': '4.303731', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '3.647445'}
2022-07-07 16:06:04: {'Acceleration': '(-0.07861328, -0.03430176, 1.013916)', 'Roll': '4.220894', 'battery_voltage': 4.445842, 'battery_percentage': 77.9175, 'Pitch': '3.421872'}
2022-07-07 16:06:05: {'Acceleration': '(-0.07336426, -0.0637207, 1.010986)', 'Roll': '4.166551', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '3.575757'}
2022-07-07 16:06:06: {'Acceleration': '(-0.07861328, -0.06103516, 1.015015)', 'Roll': '4.428739', 'battery_voltage': 4.450861, 'battery_percentage': 78.41933, 'Pitch': '3.430933'}
2022-07-07 16:06:07: {'Acceleration': '(-0.07653809, -0.06115723, 1.013916)', 'Roll': '4.316933', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '3.442006'}
2022-07-07 16:06:07: {'Acceleration': '(-0.07519531, -0.06298828, 1.009033)', 'Roll': '4.261926', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '3.562167'}
