Testing SD card write operations: 2022-07-07 16:03:57
2022-07-07 16:03:59: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'43ad70ef2bd1', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:03:59: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'092af0c136e1', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'23320ec8e936', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:01: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'1d32a11e1cdb', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'43ad70ef2bd1', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:03: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'6afddf512297', 'rssi': -48, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 16:04:03: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'491b1dfb7be8', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:04: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'092af0c136e1', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'376babe9b4f0', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:06: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'4b63d4a7072a', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:07: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'33ae84f3dfd8', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
