Testing SD card write operations: 2022-07-08 08:57:42
2022-07-08 08:57:44: {'Acceleration': '(0.0, 0.0, 0.0)', 'Roll': '35.1216', 'battery_voltage': 4.47595, 'battery_percentage': 80.9283, 'Pitch': '-4.090407'}
2022-07-08 08:57:45: {'Acceleration': '(-0.6011963, 0.1516113, 0.8150635)', 'Roll': '35.80343', 'battery_voltage': 4.470932, 'battery_percentage': 80.42647, 'Pitch': '-8.879356'}
2022-07-08 08:57:46: {'Acceleration': '(-0.4697266, 0.2783203, 0.8905029)', 'Roll': '28.17353', 'battery_voltage': 4.480968, 'battery_percentage': 81.43008, 'Pitch': '-15.96913'}
2022-07-08 08:57:46: {'Acceleration': '(-0.3793945, 0.3498535, 0.8692627)', 'Roll': '23.57913', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '-20.24744'}
2022-07-08 08:57:47: {'Acceleration': '(-0.4945068, 0.1746826, 0.8620605)', 'Roll': '29.84003', 'battery_voltage': 4.435806, 'battery_percentage': 76.91391, 'Pitch': '-9.968948'}
2022-07-08 08:57:48: {'Acceleration': '(-0.5987549, 0.1188965, 0.8377686)', 'Roll': '35.55347', 'battery_voltage': 4.435806, 'battery_percentage': 76.91391, 'Pitch': '-6.586359'}
2022-07-08 08:57:49: {'Acceleration': '(-0.6660156, -0.04467773, 0.7991943)', 'Roll': '39.80643', 'battery_voltage': 4.445842, 'battery_percentage': 77.9175, 'Pitch': '3.234379'}
2022-07-08 08:57:50: {'Acceleration': '(-0.6234131, 0.07922363, 0.822998)', 'Roll': '37.14358', 'battery_voltage': 4.435806, 'battery_percentage': 76.91391, 'Pitch': '-5.708964'}
2022-07-08 08:57:51: {'Acceleration': '(-0.4954834, 0.116333, 0.8098145)', 'Roll': '32.13432', 'battery_voltage': 4.440825, 'battery_percentage': 77.41573, 'Pitch': '-8.30943'}
2022-07-08 08:57:52: {'Acceleration': '(-0.5552979, -0.1196289, 0.6942139)', 'Roll': '38.65612', 'battery_voltage': 4.440825, 'battery_percentage': 77.41573, 'Pitch': '7.664163'}
2022-07-08 08:57:52: {'Acceleration': '(-0.4287109, 0.06994629, 0.5)', 'Roll': '40.61051', 'battery_voltage': 4.440825, 'battery_percentage': 77.41573, 'Pitch': '-6.062073'}
2022-07-08 08:57:53: {'Acceleration': '(-0.5682373, -0.1867676, 0.8603516)', 'Roll': '33.44361', 'battery_voltage': 4.445842, 'battery_percentage': 77.9175, 'Pitch': '10.26724'}
2022-07-08 08:57:54: {'Acceleration': '(-0.4361572, -0.04504395, 0.9643555)', 'Roll': '23.31165', 'battery_voltage': 4.440825, 'battery_percentage': 77.41573, 'Pitch': '2.410826'}
2022-07-08 08:57:55: {'Acceleration': '(-0.5734863, -0.01293945, 0.822876)', 'Roll': '37.32467', 'battery_voltage': 4.445842, 'battery_percentage': 77.9175, 'Pitch': '2.031404'}
2022-07-08 08:57:56: {'Acceleration': '(-0.3741455, -0.03393555, 0.9508057)', 'Roll': '21.58802', 'battery_voltage': 4.450861, 'battery_percentage': 78.41933, 'Pitch': '1.900819'}
2022-07-08 08:57:57: {'Acceleration': '(-0.3775635, -0.03710938, 0.9504395)', 'Roll': '21.66552', 'battery_voltage': 4.445842, 'battery_percentage': 77.9175, 'Pitch': '2.3025'}
2022-07-08 08:57:58: {'Acceleration': '(-0.3726807, -0.0378418, 0.9539795)', 'Roll': '21.33855', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '1.996957'}
2022-07-08 08:57:59: {'Acceleration': '(-0.3676758, -0.0357666, 0.9451904)', 'Roll': '21.25586', 'battery_voltage': 4.445842, 'battery_percentage': 77.9175, 'Pitch': '2.019777'}
2022-07-08 08:57:59: {'Acceleration': '(-0.3696289, -0.03527832, 0.9556885)', 'Roll': '21.14483', 'battery_voltage': 4.450861, 'battery_percentage': 78.41933, 'Pitch': '1.971839'}
2022-07-08 08:58:00: {'Acceleration': '(-0.3723145, -0.03466797, 0.9500732)', 'Roll': '21.3992', 'battery_voltage': 4.450861, 'battery_percentage': 78.41933, 'Pitch': '1.94583'}
2022-07-08 08:58:01: {'Acceleration': '(-0.3703613, -0.03540039, 0.9549561)', 'Roll': '21.37256', 'battery_voltage': 4.450861, 'battery_percentage': 78.41933, 'Pitch': '1.93859'}
