Testing SD card write operations: 2022-07-08 08:57:37
2022-07-08 08:57:38: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6f0bf75a38d2927e8967e64bb68ab47f50b6feadc8af0fdf5a20a350', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 08:57:39: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '358d32ad8597c9f0e8f413f8ed0588b513fac0dcae9f593a20059286', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:57:40: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '83e69ebe42c4b4f9ae8c8a000f8e8b8a4b01b4da53a4d0051a15acd0', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 08:57:41: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '358d32ad8597c9f0e8f413f8ed0588b513fac0dcae9f593a20059286', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:57:41: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '42ff39dc32d669fba8fd074442cfc28ee9d6966c6133fd3781942536', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 08:57:42: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '76c8d447c774a76e946702d1139cc55a0ad322b4fb497b827f57e704', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 08:57:43: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'c4489f1de6ceeb61407299b919c766d632c2b03389d73c6c03b7175a', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-08 08:57:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '358d32ad8597c9f0e8f413f8ed0588b513fac0dcae9f593a20059286', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:57:45: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '7a9f460a100c838271ccb96ad98b7a0687dd4bc1b7d13819ff277f82', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 08:57:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '618ae36fcae5042211444b5f86aa3b67e3465dcbdb30d91828db4bf2', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-08 08:57:46: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '358d32ad8597c9f0e8f413f8ed0588b513fac0dcae9f593a20059286', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:57:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '358d32ad8597c9f0e8f413f8ed0588b513fac0dcae9f593a20059286', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:57:48: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '99bc661bc86496025e9c772f158ddd23262c51cc6e58b4cb8d143847', 'rssi': -48, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
