Time,Acceleration,Roll,battery_voltage,battery_percentage,Pitch
08:57:44,"(0.0, 0.0, 0.0)",35.1216,4.47595,80.9283,-4.090407
08:57:45,"(-0.6011963, 0.1516113, 0.8150635)",35.80343,4.470932,80.42647,-8.879356
08:57:46,"(-0.4697266, 0.2783203, 0.8905029)",28.17353,4.480968,81.43008,-15.96913
08:57:46,"(-0.3793945, 0.3498535, 0.8692627)",23.57913,4.460896,79.42288,-20.24744
08:57:47,"(-0.4945068, 0.1746826, 0.8620605)",29.84003,4.435806,76.91391,-9.968948
08:57:48,"(-0.5987549, 0.1188965, 0.8377686)",35.55347,4.435806,76.91391,-6.586359
08:57:49,"(-0.6660156, -0.04467773, 0.7991943)",39.80643,4.445842,77.9175,3.234379
08:57:50,"(-0.6234131, 0.07922363, 0.822998)",37.14358,4.435806,76.91391,-5.708964
08:57:51,"(-0.4954834, 0.116333, 0.8098145)",32.13432,4.440825,77.41573,-8.30943
08:57:52,"(-0.5552979, -0.1196289, 0.6942139)",38.65612,4.440825,77.41573,7.664163
08:57:52,"(-0.4287109, 0.06994629, 0.5)",40.61051,4.440825,77.41573,-6.062073
08:57:53,"(-0.5682373, -0.1867676, 0.8603516)",33.44361,4.445842,77.9175,10.26724
08:57:54,"(-0.4361572, -0.04504395, 0.9643555)",23.31165,4.440825,77.41573,2.410826
08:57:55,"(-0.5734863, -0.01293945, 0.822876)",37.32467,4.445842,77.9175,2.031404
08:57:56,"(-0.3741455, -0.03393555, 0.9508057)",21.58802,4.450861,78.41933,1.900819
08:57:57,"(-0.3775635, -0.03710938, 0.9504395)",21.66552,4.445842,77.9175,2.3025
08:57:58,"(-0.3726807, -0.0378418, 0.9539795)",21.33855,4.455878,78.9211,1.996957
08:57:59,"(-0.3676758, -0.0357666, 0.9451904)",21.25586,4.445842,77.9175,2.019777
08:57:59,"(-0.3696289, -0.03527832, 0.9556885)",21.14483,4.450861,78.41933,1.971839
08:58:00,"(-0.3723145, -0.03466797, 0.9500732)",21.3992,4.450861,78.41933,1.94583
08:58:01,"(-0.3703613, -0.03540039, 0.9549561)",21.37256,4.450861,78.41933,1.93859
08:58:02,"(-0.37146, -0.03588867, 0.9562988)",21.43111,4.455878,78.9211,2.007006
08:58:03,"(-0.3721924, -0.03649902, 0.9515381)",21.36286,4.445842,77.9175,2.045874
08:58:04,"(-0.373291, -0.03491211, 0.9533691)",21.38279,4.455878,78.9211,1.91531
08:58:05,"(-0.3762207, -0.03540039, 0.956543)",21.32643,4.450861,78.41933,1.936356
08:58:05,"(-0.37146, -0.03649902, 0.9555664)",21.34006,4.450861,78.41933,2.016916
08:58:06,"(-0.3737793, -0.03649902, 0.9508057)",21.46071,4.445842,77.9175,2.04608
08:58:07,"(-0.3730469, -0.03283691, 0.9527588)",21.38252,4.460896,79.42288,1.925846
08:58:08,"(-0.3717041, -0.03674316, 0.9586182)",21.26534,4.455878,78.9211,1.989351
08:58:09,"(-0.3753662, -0.03405762, 0.953125)",21.49585,4.450861,78.41933,1.904221
08:58:10,"(-0.3720703, -0.03369141, 0.9521484)",21.34403,4.455878,78.9211,1.887651
08:58:11,"(-0.373291, -0.03479004, 0.9528809)",21.39276,4.440825,77.41573,2.030378
08:58:12,"(-0.3754883, -0.03552246, 0.9522705)",21.51973,4.455878,78.9211,1.987513
08:58:12,"(-0.3723145, -0.03662109, 0.9411621)",21.58326,4.450861,78.41933,2.072186
08:58:13,"(-0.371582, -0.03918457, 0.9516602)",21.32849,4.450861,78.41933,2.196498
08:58:14,"(-0.3696289, -0.03637695, 0.9523926)",21.26675,4.455878,78.9211,2.127687
08:58:15,"(-0.3740234, -0.03503418, 0.9525146)",21.43842,4.455878,78.9211,1.960807
08:58:16,"(-0.3729248, -0.03564453, 0.9567871)",21.29423,4.450861,78.41933,1.96147
08:58:17,"(-0.373291, -0.03747559, 0.9512939)",21.5173,4.450861,78.41933,2.071102
08:58:18,"(-0.3757324, -0.03540039, 0.9552002)",21.18652,4.460896,79.42288,2.033661
08:58:18,"(-0.3731689, -0.03662109, 0.9541016)",21.3615,4.450861,78.41933,1.98607
08:58:19,"(-0.3713379, -0.0369873, 0.9591064)",21.31325,4.455878,78.9211,2.060519
08:58:20,"(-0.3706055, -0.03662109, 0.9621582)",21.31853,4.450861,78.41933,1.935994
08:58:21,"(-0.3701172, -0.03771973, 0.9532471)",21.21969,4.455878,78.9211,1.934787
08:58:22,"(-0.3719482, -0.03430176, 0.9519043)",21.34264,4.450861,78.41933,1.921533
08:58:23,"(-0.3745117, -0.03564453, 0.9549561)",21.47627,4.455878,78.9211,2.043001
08:58:24,"(-0.3703613, -0.03613281, 0.9527588)",21.24236,4.455878,78.9211,2.02443
08:58:24,"(-0.3703613, -0.03674316, 0.9532471)",21.23245,4.455878,78.9211,1.98268
08:58:25,"(-0.3747559, -0.03430176, 0.9526367)",21.47408,4.455878,78.9211,1.971123
