Testing SD card write operations: 2022-07-08 08:57:37
2022-07-08 08:57:38: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'685b71740bef', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 08:57:39: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:57:40: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'0e3c6c68ec79', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 08:57:41: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:57:41: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7a6ff77e6bf8', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 08:57:42: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'10d1a9f3e3c4', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 08:57:43: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'530488c28243', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-08 08:57:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:57:45: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'5add47c9ddf8', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 08:57:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'559fd5127032', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-08 08:57:46: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:57:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:57:48: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'5e71317403a5', 'rssi': -48, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-08 08:57:49: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'10d1a9f3e3c4', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 08:57:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'0e7f5e0e66e8', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 08:57:50: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'6db0263966d7', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 08:57:51: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'd5da1e2614b6', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
