Testing SD card write operations: 1970-01-01 02:00:10
2022-06-30 13:59:04: {'Acceleration': '(-0.1671143, -0.1661377, 0.9805908)', 'Roll': '9.671543', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.481911'}
2022-06-30 13:59:05: {'Acceleration': '(-0.1633301, -0.1645508, 0.9904785)', 'Roll': '9.46462', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.27'}
2022-06-30 13:59:06: {'Acceleration': '(-0.1660156, -0.1636963, 1.000366)', 'Roll': '9.742132', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.161582'}
2022-06-30 13:59:07: {'Acceleration': '(-0.1652832, -0.1658936, 0.9857178)', 'Roll': '9.462321', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '9.317357'}
2022-06-30 13:59:08: {'Acceleration': '(-0.1623535, -0.1630859, 0.9903564)', 'Roll': '9.309939', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '9.315366'}
2022-06-30 13:59:09: {'Acceleration': '(-0.1651611, -0.1656494, 0.9870605)', 'Roll': '9.499087', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.231704'}
2022-06-30 13:59:10: {'Acceleration': '(-0.1640625, -0.1645508, 0.9858398)', 'Roll': '9.448515', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.349854'}
2022-06-30 13:59:10: {'Acceleration': '(-0.1645508, -0.1643066, 0.9925537)', 'Roll': '9.413179', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.275109'}
2022-06-30 13:59:11: {'Acceleration': '(-0.1665039, -0.1641846, 0.991333)', 'Roll': '9.534385', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.276333'}
2022-06-30 13:59:12: {'Acceleration': '(-0.1647949, -0.1668701, 0.9813232)', 'Roll': '9.532809', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.519797'}
2022-06-30 13:59:13: {'Acceleration': '(-0.1625977, -0.1663818, 0.9865723)', 'Roll': '9.410715', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.211533'}
2022-06-30 13:59:14: {'Acceleration': '(-0.1578369, -0.164917, 0.9754639)', 'Roll': '9.323903', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.588495'}
2022-06-30 13:59:15: {'Acceleration': '(-0.1641846, -0.1652832, 0.9776611)', 'Roll': '9.426764', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.35897'}
2022-06-30 13:59:16: {'Acceleration': '(-0.1640625, -0.1644287, 0.9870605)', 'Roll': '9.437041', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.433222'}
2022-06-30 13:59:16: {'Acceleration': '(-0.1644287, -0.1672363, 0.9820557)', 'Roll': '9.407457', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.28228'}
2022-06-30 13:59:17: {'Acceleration': '(-0.1588135, -0.1652832, 0.9844971)', 'Roll': '9.163687', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.285022'}
2022-06-30 13:59:18: {'Acceleration': '(-0.1624756, -0.1669922, 0.9847412)', 'Roll': '9.369004', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.498608'}
2022-06-30 13:59:19: {'Acceleration': '(-0.1636963, -0.1651611, 0.987793)', 'Roll': '9.409496', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '9.342113'}
2022-06-30 13:59:20: {'Acceleration': '(-0.1640625, -0.1644287, 0.9876709)', 'Roll': '9.431314', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.326482'}
2022-06-30 13:59:21: {'Acceleration': '(-0.1660156, -0.1630859, 0.9887695)', 'Roll': '9.531132', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.238896'}
2022-06-30 13:59:22: {'Acceleration': '(-0.1625977, -0.1682129, 0.9885254)', 'Roll': '9.34066', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.531576'}
2022-06-30 13:59:22: {'Acceleration': '(-0.1647949, -0.1651611, 0.9864502)', 'Roll': '9.484165', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.377261'}
2022-06-30 13:59:23: {'Acceleration': '(-0.1673584, -0.1671143, 0.9842529)', 'Roll': '9.912282', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.495028'}
2022-06-30 13:59:24: {'Acceleration': '(-0.164917, -0.1636963, 0.9912109)', 'Roll': '9.446302', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.25268'}
2022-06-30 13:59:25: {'Acceleration': '(-0.1616211, -0.1625977, 1.00293)', 'Roll': '9.430847', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.386783'}
2022-06-30 13:59:26: {'Acceleration': '(-0.1621094, -0.1705322, 0.9827881)', 'Roll': '9.366509', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.715154'}
2022-06-30 13:59:27: {'Acceleration': '(-0.1645508, -0.1654053, 0.9937744)', 'Roll': '9.541774', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.439407'}
2022-06-30 13:59:28: {'Acceleration': '(-0.1633301, -0.1624756, 0.9871826)', 'Roll': '9.394523', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.365492'}
2022-06-30 13:59:28: {'Acceleration': '(-0.1624756, -0.1671143, 0.9858398)', 'Roll': '9.462321', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.335858'}
2022-06-30 13:59:29: {'Acceleration': '(-0.1605225, -0.1630859, 0.9790039)', 'Roll': '9.311651', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.461691'}
2022-06-30 13:59:30: {'Acceleration': '(-0.1621094, -0.1668701, 0.9890137)', 'Roll': '9.308585', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.471023'}
2022-06-30 13:59:31: {'Acceleration': '(-0.1654053, -0.164917, 0.987915)', 'Roll': '9.255065', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.387663'}
2022-06-30 13:59:32: {'Acceleration': '(-0.1638184, -0.1650391, 0.9815674)', 'Roll': '9.475031', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.416978'}
2022-06-30 13:59:33: {'Acceleration': '(-0.1638184, -0.1652832, 0.9853516)', 'Roll': '9.4393', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.395548'}
2022-06-30 13:59:34: {'Acceleration': '(-0.1641846, -0.1650391, 0.989624)', 'Roll': '9.419912', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.369171'}
2022-06-30 13:59:34: {'Acceleration': '(-0.1610107, -0.1655273, 0.9990234)', 'Roll': '9.155522', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.503031'}
2022-06-30 13:59:35: {'Acceleration': '(-0.1638184, -0.1669922, 0.9837646)', 'Roll': '9.454251', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.409508'}
2022-06-30 13:59:36: {'Acceleration': '(-0.1628418, -0.1662598, 0.9990234)', 'Roll': '9.497273', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.457757'}
2022-06-30 13:59:37: {'Acceleration': '(-0.1619873, -0.1645508, 0.9829102)', 'Roll': '9.358439', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.377651'}
2022-06-30 13:59:38: {'Acceleration': '(-0.1635742, -0.1635742, 0.9870605)', 'Roll': '9.409457', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.285075'}
2022-06-30 13:59:39: {'Acceleration': '(-0.1624756, -0.1662598, 0.984375)', 'Roll': '9.372428', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.484065'}
2022-06-30 13:59:40: {'Acceleration': '(-0.1630859, -0.1643066, 0.9892578)', 'Roll': '9.361401', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.455017'}
2022-06-30 13:59:40: {'Acceleration': '(-0.1655273, -0.1677246, 0.9909668)', 'Roll': '9.482923', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '9.477593'}
2022-06-30 13:59:41: {'Acceleration': '(-0.1619873, -0.1635742, 0.9873047)', 'Roll': '9.317517', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.307953'}
2022-06-30 13:59:42: {'Acceleration': '(-0.1618652, -0.1677246, 0.987793)', 'Roll': '9.306096', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.39241'}
2022-06-30 13:59:43: {'Acceleration': '(-0.1611328, -0.1616211, 0.989624)', 'Roll': '9.260976', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '9.395991'}
2022-06-30 13:59:44: {'Acceleration': '(-0.1635742, -0.1662598, 0.9816895)', 'Roll': '9.469261', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.460229'}
2022-06-30 13:59:45: {'Acceleration': '(-0.1618652, -0.1643066, 0.9870605)', 'Roll': '9.312881', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.390006'}
2022-06-30 13:59:46: {'Acceleration': '(-0.1623535, -0.1668701, 0.9848633)', 'Roll': '9.437879', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.691172'}
2022-06-30 13:59:46: {'Acceleration': '(-0.166626, -0.1644287, 0.9881592)', 'Roll': '9.59809', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.328482'}
2022-06-30 13:59:47: {'Acceleration': '(-0.1593018, -0.1668701, 0.9813232)', 'Roll': '9.251135', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.416221'}
2022-06-30 13:59:48: {'Acceleration': '(-0.1682129, -0.1647949, 0.9841309)', 'Roll': '9.699566', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.372645'}
2022-06-30 13:59:49: {'Acceleration': '(-0.1640625, -0.1636963, 0.9897461)', 'Roll': '9.441488', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.47346'}
2022-06-30 13:59:50: {'Acceleration': '(-0.1622314, -0.1655273, 0.9887695)', 'Roll': '9.612562', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.439024'}
2022-06-30 13:59:51: {'Acceleration': '(-0.1644287, -0.1624756, 0.9906006)', 'Roll': '9.424535', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.190994'}
2022-06-30 13:59:52: {'Acceleration': '(-0.1650391, -0.1657715, 0.9887695)', 'Roll': '9.476086', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.389831'}
2022-06-30 13:59:53: {'Acceleration': '(-0.1623535, -0.1646729, 0.9866943)', 'Roll': '9.343885', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.351484'}
2022-06-30 13:59:54: {'Acceleration': '(-0.1661377, -0.1628418, 0.9887695)', 'Roll': '9.538012', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.225121'}
2022-06-30 13:59:55: {'Acceleration': '(-0.1619873, -0.1639404, 0.9881592)', 'Roll': '9.3096', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '9.297958'}
2022-06-30 13:59:55: {'Acceleration': '(-0.1650391, -0.1652832, 0.9880371)', 'Roll': '9.482983', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.369295'}
2022-06-30 13:59:56: {'Acceleration': '(-0.1625977, -0.1647949, 0.9868164)', 'Roll': '9.596655', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.300238'}
2022-06-30 13:59:57: {'Acceleration': '(-0.1619873, -0.1654053, 0.9909668)', 'Roll': '9.283684', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.214336'}
2022-06-30 13:59:58: {'Acceleration': '(-0.1635742, -0.1669922, 0.9842529)', 'Roll': '9.422046', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.489243'}
2022-06-30 13:59:59: {'Acceleration': '(-0.1639404, -0.1647949, 0.9868164)', 'Roll': '9.432437', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.354807'}
2022-06-30 14:00:00: {'Acceleration': '(-0.1662598, -0.1652832, 0.9876709)', 'Roll': '9.555312', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.370758'}
2022-06-30 14:00:01: {'Acceleration': '(-0.1627197, -0.1640625, 0.9906006)', 'Roll': '9.328312', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.281738'}
2022-06-30 14:00:01: {'Acceleration': '(-0.1623535, -0.1639404, 0.9853516)', 'Roll': '9.356394', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.188551'}
2022-06-30 14:00:02: {'Acceleration': '(-0.1621094, -0.1651611, 0.9869385)', 'Roll': '9.327815', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.361172'}
2022-06-30 14:00:03: {'Acceleration': '(-0.1605225, -0.1647949, 0.987793)', 'Roll': '9.491063', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.247685'}
2022-06-30 14:00:04: {'Acceleration': '(-0.1590576, -0.1643066, 0.9897461)', 'Roll': '9.466906', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.299536'}
2022-06-30 14:00:05: {'Acceleration': '(-0.1608887, -0.1641846, 0.9780273)', 'Roll': '9.289689', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '8.980063'}
2022-06-30 14:00:06: {'Acceleration': '(-0.161499, -0.1669922, 0.9829102)', 'Roll': '9.330727', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.464194'}
2022-06-30 14:00:07: {'Acceleration': '(-0.161499, -0.1640625, 0.9899902)', 'Roll': '9.265158', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.315391'}
2022-06-30 14:00:07: {'Acceleration': '(-0.1635742, -0.1665039, 0.9891357)', 'Roll': '9.390068', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.443936'}
2022-06-30 14:00:08: {'Acceleration': '(-0.1574707, -0.1610107, 0.9888916)', 'Roll': '9.075334', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.357772'}
2022-06-30 14:00:09: {'Acceleration': '(-0.1621094, -0.1651611, 0.9885254)', 'Roll': '9.313103', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.412904'}
2022-06-30 14:00:10: {'Acceleration': '(-0.1599121, -0.1634521, 0.9869385)', 'Roll': '9.203561', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.413682'}
2022-06-30 14:00:11: {'Acceleration': '(-0.1571045, -0.1660156, 0.9840088)', 'Roll': '9.403528', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.306696'}
2022-06-30 14:00:12: {'Acceleration': '(-0.1644287, -0.1660156, 0.9869385)', 'Roll': '9.437988', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.497708'}
2022-06-30 14:00:13: {'Acceleration': '(-0.1578369, -0.1650391, 0.9873047)', 'Roll': '9.088342', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.205167'}
2022-06-30 14:00:13: {'Acceleration': '(-0.1608887, -0.1688232, 0.9869385)', 'Roll': '9.258795', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.58282'}
2022-06-30 14:00:14: {'Acceleration': '(-0.1618652, -0.1647949, 0.9927979)', 'Roll': '9.259997', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.30396'}
2022-06-30 14:00:15: {'Acceleration': '(-0.1628418, -0.1661377, 0.9862061)', 'Roll': '9.376046', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.43691'}
