Testing SD card write operations: 2022-06-30 13:58:22
2022-06-30 13:58:24: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6805c08fba3562a1f062195a71b07b8d63a91a24b47b73ebd794beaa248fa12a', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:58:24: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '874dd9195fa4f4c49e3129b5eccff95b3b8ca1012ffe4b12bf721ab37a5bd1a1', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-30 13:58:25: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5c51bb9c82f8d0f3eae7ac597540b4a1089b0840e5611050888a2989f05e30ca', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:58:26: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '2ba3a33c061704406eef0e34dde053a6af878bab66b30d47cb46b1bd84b47beb', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 13:58:27: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1f5acea529e0136177e21278af91a8a36d2ceb72a46c28eff39c6314d8bae0ef', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 13:58:28: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6805c08fba3562a1f062195a71b07b8d63a91a24b47b73ebd794beaa248fa12a', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:58:28: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6805c08fba3562a1f062195a71b07b8d63a91a24b47b73ebd794beaa248fa12a', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:58:29: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '2a2e1c51a9cfe236c2ab980d970d96d1216202d1c39e40679906a383c0e92576', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 26, 'adv_tx_pwr': 3}
2022-06-30 13:58:30: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '2ba3a33c061704406eef0e34dde053a6af878bab66b30d47cb46b1bd84b47beb', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 13:58:31: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6805c08fba3562a1f062195a71b07b8d63a91a24b47b73ebd794beaa248fa12a', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:58:32: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1f5acea529e0136177e21278af91a8a36d2ceb72a46c28eff39c6314d8bae0ef', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
