Testing SD card write operations: 2022-06-30 13:58:22
2022-06-30 13:58:23: {'ssid':'C50', 'bssid':'a731c401d1b8fe724c4dcc7962b35eab92538b107814fbeb78948a31a38b8d56', 'sec':3, 'channel':6, 'rssi':-47}
2022-06-30 13:58:23: {'ssid':'C51', 'bssid':'e622acbe4b70e5ca4d3aa521126b31410eb463b7238f8843bab78ff2193562c9', 'sec':3, 'channel':1, 'rssi':-50}
2022-06-30 13:58:23: {'ssid':'C52', 'bssid':'5339a6f0c1f1a38faa94b6f2a67b11bf17dd6f8d306ea91602adf08da397d9f1', 'sec':3, 'channel':11, 'rssi':-54}
2022-06-30 13:58:23: {'ssid':'C53', 'bssid':'833ebb5080d46843e71e454afcb97424a63f6f1bf7705cb767131e5cf5e0b289', 'sec':3, 'channel':6, 'rssi':-55}
2022-06-30 13:58:25: {'ssid':'C50', 'bssid':'a731c401d1b8fe724c4dcc7962b35eab92538b107814fbeb78948a31a38b8d56', 'sec':3, 'channel':6, 'rssi':-39}
2022-06-30 13:58:25: {'ssid':'C51', 'bssid':'e622acbe4b70e5ca4d3aa521126b31410eb463b7238f8843bab78ff2193562c9', 'sec':3, 'channel':1, 'rssi':-50}
2022-06-30 13:58:25: {'ssid':'C53', 'bssid':'833ebb5080d46843e71e454afcb97424a63f6f1bf7705cb767131e5cf5e0b289', 'sec':3, 'channel':6, 'rssi':-52}
2022-06-30 13:58:25: {'ssid':'C52', 'bssid':'5339a6f0c1f1a38faa94b6f2a67b11bf17dd6f8d306ea91602adf08da397d9f1', 'sec':3, 'channel':11, 'rssi':-52}
2022-06-30 13:58:27: {'ssid':'C50', 'bssid':'a731c401d1b8fe724c4dcc7962b35eab92538b107814fbeb78948a31a38b8d56', 'sec':3, 'channel':6, 'rssi':-19}
2022-06-30 13:58:27: {'ssid':'C51', 'bssid':'e622acbe4b70e5ca4d3aa521126b31410eb463b7238f8843bab78ff2193562c9', 'sec':3, 'channel':1, 'rssi':-52}
2022-06-30 13:58:27: {'ssid':'C53', 'bssid':'833ebb5080d46843e71e454afcb97424a63f6f1bf7705cb767131e5cf5e0b289', 'sec':3, 'channel':6, 'rssi':-58}
2022-06-30 13:58:27: {'ssid':'C52', 'bssid':'5339a6f0c1f1a38faa94b6f2a67b11bf17dd6f8d306ea91602adf08da397d9f1', 'sec':3, 'channel':11, 'rssi':-62}
2022-06-30 13:58:28: {'ssid':'C50', 'bssid':'a731c401d1b8fe724c4dcc7962b35eab92538b107814fbeb78948a31a38b8d56', 'sec':3, 'channel':6, 'rssi':-40}
2022-06-30 13:58:28: {'ssid':'C53', 'bssid':'833ebb5080d46843e71e454afcb97424a63f6f1bf7705cb767131e5cf5e0b289', 'sec':3, 'channel':6, 'rssi':-54}
2022-06-30 13:58:28: {'ssid':'C51', 'bssid':'e622acbe4b70e5ca4d3aa521126b31410eb463b7238f8843bab78ff2193562c9', 'sec':3, 'channel':1, 'rssi':-55}
2022-06-30 13:58:28: {'ssid':'C52', 'bssid':'5339a6f0c1f1a38faa94b6f2a67b11bf17dd6f8d306ea91602adf08da397d9f1', 'sec':3, 'channel':11, 'rssi':-62}
2022-06-30 13:58:30: {'ssid':'C50', 'bssid':'a731c401d1b8fe724c4dcc7962b35eab92538b107814fbeb78948a31a38b8d56', 'sec':3, 'channel':6, 'rssi':-40}
2022-06-30 13:58:30: {'ssid':'C53', 'bssid':'833ebb5080d46843e71e454afcb97424a63f6f1bf7705cb767131e5cf5e0b289', 'sec':3, 'channel':6, 'rssi':-57}
2022-06-30 13:58:30: {'ssid':'C51', 'bssid':'e622acbe4b70e5ca4d3aa521126b31410eb463b7238f8843bab78ff2193562c9', 'sec':3, 'channel':1, 'rssi':-67}
2022-06-30 13:58:32: {'ssid':'C50', 'bssid':'a731c401d1b8fe724c4dcc7962b35eab92538b107814fbeb78948a31a38b8d56', 'sec':3, 'channel':6, 'rssi':-20}
2022-06-30 13:58:32: {'ssid':'C53', 'bssid':'833ebb5080d46843e71e454afcb97424a63f6f1bf7705cb767131e5cf5e0b289', 'sec':3, 'channel':6, 'rssi':-53}
2022-06-30 13:58:32: {'ssid':'C51', 'bssid':'e622acbe4b70e5ca4d3aa521126b31410eb463b7238f8843bab78ff2193562c9', 'sec':3, 'channel':1, 'rssi':-58}
2022-06-30 13:58:34: {'ssid':'C50', 'bssid':'a731c401d1b8fe724c4dcc7962b35eab92538b107814fbeb78948a31a38b8d56', 'sec':3, 'channel':6, 'rssi':-45}
2022-06-30 13:58:34: {'ssid':'C52', 'bssid':'5339a6f0c1f1a38faa94b6f2a67b11bf17dd6f8d306ea91602adf08da397d9f1', 'sec':3, 'channel':11, 'rssi':-52}
2022-06-30 13:58:34: {'ssid':'C51', 'bssid':'e622acbe4b70e5ca4d3aa521126b31410eb463b7238f8843bab78ff2193562c9', 'sec':3, 'channel':1, 'rssi':-60}
2022-06-30 13:58:34: {'ssid':'C53', 'bssid':'833ebb5080d46843e71e454afcb97424a63f6f1bf7705cb767131e5cf5e0b289', 'sec':3, 'channel':6, 'rssi':-63}
2022-06-30 13:58:36: {'ssid':'C51', 'bssid':'e622acbe4b70e5ca4d3aa521126b31410eb463b7238f8843bab78ff2193562c9', 'sec':3, 'channel':1, 'rssi':-58}
