Testing SD card write operations: 2022-07-01 09:08:52
2022-07-01 09:08:54: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '339c53bbe3b51733a171ddb3e248dd8f2b33fc376ad3a0bfdae0b80e3200b266', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:08:55: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'd0e040dfd27b32b6110aa48e4dea7035acf422c38766ed076a4d1ebc61e1b09b', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:08:55: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '939d16a32d5763dac0951f784e0d582d8d2944531b153e9fd5a09ea4cdbab80c', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:08:56: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '837290f0f9e29188faa80094f61924b70a3a1680710c88e685cf5ed0ee92a79c', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:08:57: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'feafd7337353b477d60bf98adf016051c1aedffbd888e906c3631ccb7271558d', 'rssi': -57, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:08:58: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a9a2cb92933f1ddf56484a486856cc46b0c711636b15c5caefb5a0e965405dd8', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:08:59: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '939d16a32d5763dac0951f784e0d582d8d2944531b153e9fd5a09ea4cdbab80c', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:08:59: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '339c53bbe3b51733a171ddb3e248dd8f2b33fc376ad3a0bfdae0b80e3200b266', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '939d16a32d5763dac0951f784e0d582d8d2944531b153e9fd5a09ea4cdbab80c', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:01: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '939d16a32d5763dac0951f784e0d582d8d2944531b153e9fd5a09ea4cdbab80c', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '939d16a32d5763dac0951f784e0d582d8d2944531b153e9fd5a09ea4cdbab80c', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:03: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '837290f0f9e29188faa80094f61924b70a3a1680710c88e685cf5ed0ee92a79c', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:03: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '56cc6fde7b4a22f90ffd1e022c52335454167a7f2ccce0dc34e28d184e82c9ac', 'rssi': -57, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 09:09:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '939d16a32d5763dac0951f784e0d582d8d2944531b153e9fd5a09ea4cdbab80c', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:05: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '36f633ebab0d47e80107d450a7ba3de0b70a17f29eacf4f7806cdfefb9cbd426', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:06: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '939d16a32d5763dac0951f784e0d582d8d2944531b153e9fd5a09ea4cdbab80c', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:07: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '36f633ebab0d47e80107d450a7ba3de0b70a17f29eacf4f7806cdfefb9cbd426', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:07: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '56cc6fde7b4a22f90ffd1e022c52335454167a7f2ccce0dc34e28d184e82c9ac', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 09:09:08: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '36f633ebab0d47e80107d450a7ba3de0b70a17f29eacf4f7806cdfefb9cbd426', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:09: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '339c53bbe3b51733a171ddb3e248dd8f2b33fc376ad3a0bfdae0b80e3200b266', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:10: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '939d16a32d5763dac0951f784e0d582d8d2944531b153e9fd5a09ea4cdbab80c', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:11: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '939d16a32d5763dac0951f784e0d582d8d2944531b153e9fd5a09ea4cdbab80c', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:11: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '939d16a32d5763dac0951f784e0d582d8d2944531b153e9fd5a09ea4cdbab80c', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:12: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '339c53bbe3b51733a171ddb3e248dd8f2b33fc376ad3a0bfdae0b80e3200b266', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:13: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '939d16a32d5763dac0951f784e0d582d8d2944531b153e9fd5a09ea4cdbab80c', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:14: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '939d16a32d5763dac0951f784e0d582d8d2944531b153e9fd5a09ea4cdbab80c', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:15: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '339c53bbe3b51733a171ddb3e248dd8f2b33fc376ad3a0bfdae0b80e3200b266', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:15: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '23d2271414d0e9302df72641ff36fb19b004db1a2059cb97aa86f1ab0aa4463d', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:16: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '939d16a32d5763dac0951f784e0d582d8d2944531b153e9fd5a09ea4cdbab80c', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:17: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '939d16a32d5763dac0951f784e0d582d8d2944531b153e9fd5a09ea4cdbab80c', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '939d16a32d5763dac0951f784e0d582d8d2944531b153e9fd5a09ea4cdbab80c', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:19: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a9a2cb92933f1ddf56484a486856cc46b0c711636b15c5caefb5a0e965405dd8', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '939d16a32d5763dac0951f784e0d582d8d2944531b153e9fd5a09ea4cdbab80c', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:20: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'd0e040dfd27b32b6110aa48e4dea7035acf422c38766ed076a4d1ebc61e1b09b', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:21: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '23d2271414d0e9302df72641ff36fb19b004db1a2059cb97aa86f1ab0aa4463d', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:22: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '939d16a32d5763dac0951f784e0d582d8d2944531b153e9fd5a09ea4cdbab80c', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:22: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '939d16a32d5763dac0951f784e0d582d8d2944531b153e9fd5a09ea4cdbab80c', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:23: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'd0e040dfd27b32b6110aa48e4dea7035acf422c38766ed076a4d1ebc61e1b09b', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:24: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '939d16a32d5763dac0951f784e0d582d8d2944531b153e9fd5a09ea4cdbab80c', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:25: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '939d16a32d5763dac0951f784e0d582d8d2944531b153e9fd5a09ea4cdbab80c', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:26: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '339c53bbe3b51733a171ddb3e248dd8f2b33fc376ad3a0bfdae0b80e3200b266', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:26: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '939d16a32d5763dac0951f784e0d582d8d2944531b153e9fd5a09ea4cdbab80c', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:27: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '939d16a32d5763dac0951f784e0d582d8d2944531b153e9fd5a09ea4cdbab80c', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:28: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '23d2271414d0e9302df72641ff36fb19b004db1a2059cb97aa86f1ab0aa4463d', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:29: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'bcb77baf9b541a4357b35d150b9845c92f2d9cb1b8cbd978e1f247f12dd2b2b9', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:30: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '939d16a32d5763dac0951f784e0d582d8d2944531b153e9fd5a09ea4cdbab80c', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:30: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '939d16a32d5763dac0951f784e0d582d8d2944531b153e9fd5a09ea4cdbab80c', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:31: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a9a2cb92933f1ddf56484a486856cc46b0c711636b15c5caefb5a0e965405dd8', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:32: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a9a2cb92933f1ddf56484a486856cc46b0c711636b15c5caefb5a0e965405dd8', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:33: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '939d16a32d5763dac0951f784e0d582d8d2944531b153e9fd5a09ea4cdbab80c', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:34: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '339c53bbe3b51733a171ddb3e248dd8f2b33fc376ad3a0bfdae0b80e3200b266', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:34: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '56cc6fde7b4a22f90ffd1e022c52335454167a7f2ccce0dc34e28d184e82c9ac', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 09:09:35: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '939d16a32d5763dac0951f784e0d582d8d2944531b153e9fd5a09ea4cdbab80c', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:36: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '939d16a32d5763dac0951f784e0d582d8d2944531b153e9fd5a09ea4cdbab80c', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:37: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '939d16a32d5763dac0951f784e0d582d8d2944531b153e9fd5a09ea4cdbab80c', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:38: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '939d16a32d5763dac0951f784e0d582d8d2944531b153e9fd5a09ea4cdbab80c', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:38: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '939d16a32d5763dac0951f784e0d582d8d2944531b153e9fd5a09ea4cdbab80c', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:39: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '939d16a32d5763dac0951f784e0d582d8d2944531b153e9fd5a09ea4cdbab80c', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:40: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '939d16a32d5763dac0951f784e0d582d8d2944531b153e9fd5a09ea4cdbab80c', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:41: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '939d16a32d5763dac0951f784e0d582d8d2944531b153e9fd5a09ea4cdbab80c', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:42: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '939d16a32d5763dac0951f784e0d582d8d2944531b153e9fd5a09ea4cdbab80c', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:42: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '939d16a32d5763dac0951f784e0d582d8d2944531b153e9fd5a09ea4cdbab80c', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:43: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '939d16a32d5763dac0951f784e0d582d8d2944531b153e9fd5a09ea4cdbab80c', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:44: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a9a2cb92933f1ddf56484a486856cc46b0c711636b15c5caefb5a0e965405dd8', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '939d16a32d5763dac0951f784e0d582d8d2944531b153e9fd5a09ea4cdbab80c', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:46: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '939d16a32d5763dac0951f784e0d582d8d2944531b153e9fd5a09ea4cdbab80c', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:46: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '939d16a32d5763dac0951f784e0d582d8d2944531b153e9fd5a09ea4cdbab80c', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '939d16a32d5763dac0951f784e0d582d8d2944531b153e9fd5a09ea4cdbab80c', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:48: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '939d16a32d5763dac0951f784e0d582d8d2944531b153e9fd5a09ea4cdbab80c', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b662807ad41268c441f5b593b6b381cb69e4090373aaff967369c886a37ea7b9', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:49: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'bcb77baf9b541a4357b35d150b9845c92f2d9cb1b8cbd978e1f247f12dd2b2b9', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:50: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '939d16a32d5763dac0951f784e0d582d8d2944531b153e9fd5a09ea4cdbab80c', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:51: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '939d16a32d5763dac0951f784e0d582d8d2944531b153e9fd5a09ea4cdbab80c', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:52: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a9a2cb92933f1ddf56484a486856cc46b0c711636b15c5caefb5a0e965405dd8', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 09:09:53: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ece4428b4ec3d950fe4839a8b1ac7306411713facfdef1aa5825ebb723b8a2e8', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
