Testing SD card write operations: 2022-07-01 09:08:58
2022-07-01 09:08:59: {'Acceleration': '(0.0, 0.0, 0.0)', 'Roll': '8.191122', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '6.740126'}
2022-07-01 09:09:00: {'Acceleration': '(-0.1419678, -0.1191406, 0.9979248)', 'Roll': '8.304977', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '6.581963'}
2022-07-01 09:09:01: {'Acceleration': '(-0.1424561, -0.1166992, 0.9976807)', 'Roll': '8.126176', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '6.678673'}
2022-07-01 09:09:02: {'Acceleration': '(-0.1433105, -0.118042, 1.001221)', 'Roll': '8.145749', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '6.656794'}
2022-07-01 09:09:03: {'Acceleration': '(-0.1420898, -0.1168213, 0.9998779)', 'Roll': '8.087988', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '6.598273'}
2022-07-01 09:09:04: {'Acceleration': '(-0.1398926, -0.1162109, 0.9958496)', 'Roll': '7.962571', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '6.597598'}
2022-07-01 09:09:05: {'Acceleration': '(-0.1411133, -0.116333, 0.9993896)', 'Roll': '8.037002', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '6.607773'}
2022-07-01 09:09:05: {'Acceleration': '(-0.1425781, -0.1195068, 0.9989014)', 'Roll': '8.12324', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '6.745515'}
2022-07-01 09:09:06: {'Acceleration': '(-0.1203613, -0.1207275, 0.9912109)', 'Roll': '6.923449', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '6.89416'}
2022-07-01 09:09:07: {'Acceleration': '(-0.1416016, -0.1190186, 0.9984131)', 'Roll': '7.989928', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '6.82262'}
2022-07-01 09:09:08: {'Acceleration': '(-0.1424561, -0.1199951, 0.99646)', 'Roll': '8.36528', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '6.779396'}
2022-07-01 09:09:09: {'Acceleration': '(-0.1408691, -0.1176758, 0.9987793)', 'Roll': '8.028117', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '6.683348'}
2022-07-01 09:09:10: {'Acceleration': '(-0.144043, -0.1171875, 0.9973145)', 'Roll': '8.218445', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '6.633491'}
2022-07-01 09:09:11: {'Acceleration': '(-0.1368408, -0.1191406, 0.9945068)', 'Roll': '7.834512', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '6.768232'}
2022-07-01 09:09:11: {'Acceleration': '(-0.1430664, -0.1174316, 0.9946289)', 'Roll': '8.156586', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '6.737019'}
2022-07-01 09:09:12: {'Acceleration': '(-0.1430664, -0.119751, 0.9943848)', 'Roll': '8.187206', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '6.797573'}
2022-07-01 09:09:13: {'Acceleration': '(-0.1422119, -0.1202393, 0.9975586)', 'Roll': '8.113415', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '6.804762'}
2022-07-01 09:09:14: {'Acceleration': '(-0.1411133, -0.1193848, 1.002075)', 'Roll': '8.015743', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '6.728286'}
2022-07-01 09:09:15: {'Acceleration': '(-0.1418457, -0.1185303, 0.996582)', 'Roll': '8.100624', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '6.715658'}
2022-07-01 09:09:16: {'Acceleration': '(-0.1430664, -0.1182861, 0.9957275)', 'Roll': '8.233067', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '6.85235'}
2022-07-01 09:09:16: {'Acceleration': '(-0.1369629, -0.1186523, 0.9946289)', 'Roll': '7.840463', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '6.739835'}
2022-07-01 09:09:17: {'Acceleration': '(-0.140625, -0.1206055, 1.00061)', 'Roll': '7.999909', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '6.806561'}
2022-07-01 09:09:18: {'Acceleration': '(-0.1384277, -0.1166992, 0.9931641)', 'Roll': '7.934796', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '6.638077'}
2022-07-01 09:09:19: {'Acceleration': '(-0.1413574, -0.1193848, 0.9937744)', 'Roll': '8.104454', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '6.749914'}
2022-07-01 09:09:20: {'Acceleration': '(-0.144043, -0.1204834, 1.003296)', 'Roll': '8.101676', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '6.726723'}
2022-07-01 09:09:21: {'Acceleration': '(-0.1407471, -0.118042, 0.9984131)', 'Roll': '8.024156', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '6.705749'}
2022-07-01 09:09:22: {'Acceleration': '(-0.1407471, -0.1186523, 0.9932861)', 'Roll': '8.065029', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '6.745201'}
2022-07-01 09:09:22: {'Acceleration': '(-0.1412354, -0.1209717, 0.9958496)', 'Roll': '8.072081', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '6.858152'}
2022-07-01 09:09:23: {'Acceleration': '(-0.1390381, -0.1203613, 0.9854736)', 'Roll': '8.31897', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '6.756706'}
2022-07-01 09:09:24: {'Acceleration': '(-0.1420898, -0.1195068, 1.000244)', 'Roll': '8.085066', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '6.740207'}
2022-07-01 09:09:25: {'Acceleration': '(-0.140625, -0.118042, 1.003906)', 'Roll': '8.081649', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '6.88351'}
2022-07-01 09:09:26: {'Acceleration': '(-0.1408691, -0.1196289, 0.9997559)', 'Roll': '8.020378', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '6.737849'}
2022-07-01 09:09:27: {'Acceleration': '(-0.1489258, -0.1119385, 1.009399)', 'Roll': '8.392814', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '6.260795'}
2022-07-01 09:09:28: {'Acceleration': '(-0.144165, -0.1174316, 0.9996338)', 'Roll': '8.206491', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '6.632099'}
2022-07-01 09:09:28: {'Acceleration': '(-0.1430664, -0.1171875, 0.986084)', 'Roll': '7.964705', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '6.493926'}
2022-07-01 09:09:29: {'Acceleration': '(-0.140625, -0.1181641, 1.000122)', 'Roll': '8.011485', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '6.592156'}
2022-07-01 09:09:30: {'Acceleration': '(-0.1397705, -0.1168213, 0.986084)', 'Roll': '8.067533', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '6.690079'}
2022-07-01 09:09:31: {'Acceleration': '(-0.140625, -0.1188965, 1.004883)', 'Roll': '7.966333', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '6.778297'}
2022-07-01 09:09:32: {'Acceleration': '(-0.1392822, -0.1220703, 0.9931641)', 'Roll': '7.983147', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '6.889698'}
2022-07-01 09:09:33: {'Acceleration': '(-0.1398926, -0.1175537, 0.9995117)', 'Roll': '7.967413', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '6.868521'}
2022-07-01 09:09:34: {'Acceleration': '(-0.1428223, -0.1210938, 1.003296)', 'Roll': '8.101797', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '6.814039'}
2022-07-01 09:09:34: {'Acceleration': '(-0.1409912, -0.1188965, 0.994873)', 'Roll': '8.066117', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '6.748252'}
2022-07-01 09:09:35: {'Acceleration': '(-0.1407471, -0.1185303, 1.001465)', 'Roll': '8.205374', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '6.585995'}
2022-07-01 09:09:36: {'Acceleration': '(-0.1401367, -0.1182861, 0.9980469)', 'Roll': '7.992702', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '6.619094'}
2022-07-01 09:09:37: {'Acceleration': '(-0.1428223, -0.1173096, 0.9971924)', 'Roll': '8.148753', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '6.739941'}
2022-07-01 09:09:38: {'Acceleration': '(-0.1412354, -0.1182861, 0.9974365)', 'Roll': '8.059407', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '6.796008'}
2022-07-01 09:09:39: {'Acceleration': '(-0.1414795, -0.1175537, 0.9960938)', 'Roll': '8.083895', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '6.664337'}
2022-07-01 09:09:40: {'Acceleration': '(-0.1369629, -0.119751, 0.998291)', 'Roll': '7.812057', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '6.777397'}
2022-07-01 09:09:40: {'Acceleration': '(-0.1387939, -0.121582, 0.9923096)', 'Roll': '8.045222', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '6.917228'}
2022-07-01 09:09:41: {'Acceleration': '(-0.1394043, -0.1187744, 1.001709)', 'Roll': '8.041698', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '6.781867'}
2022-07-01 09:09:42: {'Acceleration': '(-0.144043, -0.1181641, 0.9991455)', 'Roll': '7.899364', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '6.621059'}
2022-07-01 09:09:43: {'Acceleration': '(-0.1412354, -0.1176758, 0.9978027)', 'Roll': '8.056489', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '6.82099'}
2022-07-01 09:09:44: {'Acceleration': '(-0.137085, -0.118042, 1.003662)', 'Roll': '7.777604', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '6.646663'}
2022-07-01 09:09:45: {'Acceleration': '(-0.1402588, -0.1195068, 0.9967041)', 'Roll': '8.010212', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '6.771152'}
