Testing SD card write operations: 2023-01-27 10:44:18
2023-01-27 10:44:19: {'Acceleration': '(0.0, 0.0, 0.0)', 'Roll': '-16.03969', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.746109'}
2023-01-27 10:44:20: {'Acceleration': '(0.2827148, -0.0559082, 0.9577637)', 'Roll': '-16.44566', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.20439'}
2023-01-27 10:44:21: {'Acceleration': '(0.2823486, -0.06213379, 0.9575195)', 'Roll': '-16.42947', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.56154'}
2023-01-27 10:44:22: {'Acceleration': '(0.2814941, -0.06115723, 0.9625244)', 'Roll': '-16.30177', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.490105'}
2023-01-27 10:44:23: {'Acceleration': '(0.2802734, -0.0592041, 0.9615479)', 'Roll': '-16.22396', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.063482'}
2023-01-27 10:44:24: {'Acceleration': '(0.2838135, -0.05725098, 0.9543457)', 'Roll': '-16.56198', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.290935'}
2023-01-27 10:44:24: {'Acceleration': '(0.2827148, -0.05517578, 0.9637451)', 'Roll': '-16.34906', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.540545'}
2023-01-27 10:44:25: {'Acceleration': '(0.2780762, -0.06066895, 0.958374)', 'Roll': '-16.15106', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.298359'}
2023-01-27 10:44:26: {'Acceleration': '(0.2808838, -0.0604248, 0.9626465)', 'Roll': '-16.43242', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.6391'}
2023-01-27 10:44:27: {'Acceleration': '(0.2825928, -0.05859375, 0.9615479)', 'Roll': '-16.37772', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.345949'}
2023-01-27 10:44:28: {'Acceleration': '(0.2814941, -0.05908203, 0.9624023)', 'Roll': '-16.30373', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.135839'}
2023-01-27 10:44:29: {'Acceleration': '(0.2733154, -0.06933594, 0.9572754)', 'Roll': '-16.02399', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.826026'}
2023-01-27 10:44:30: {'Acceleration': '(0.270752, -0.05688477, 0.9693604)', 'Roll': '-15.60557', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.234888'}
2023-01-27 10:44:30: {'Acceleration': '(0.284668, -0.04797363, 0.9573975)', 'Roll': '-16.55907', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '2.744998'}
2023-01-27 10:44:31: {'Acceleration': '(0.3430176, -0.006835938, 0.9584961)', 'Roll': '-19.69079', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '0.09615528'}
2023-01-27 10:44:32: {'Acceleration': '(0.3248291, -0.3227539, 0.8637695)', 'Roll': '-14.42424', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '19.89412'}
2023-01-27 10:44:33: {'Acceleration': '(0.07800293, 0.5172119, 0.4147949)', 'Roll': '-10.65019', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-50.78418'}
2023-01-27 10:44:34: {'Acceleration': '(0.3406982, 0.4368896, 0.9801025)', 'Roll': '-19.16821', 'battery_voltage': 4.450861, 'battery_percentage': 78.41933, 'Pitch': '-23.82366'}
2023-01-27 10:44:35: {'Acceleration': '(0.2924805, 0.3265381, 0.8475342)', 'Roll': '-12.42741', 'battery_voltage': 4.440825, 'battery_percentage': 77.41573, 'Pitch': '-31.08952'}
2023-01-27 10:44:35: {'Acceleration': '(0.1019287, 0.5565186, 0.8343506)', 'Roll': '-6.965044', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '-33.50797'}
2023-01-27 10:44:36: {'Acceleration': '(0.04382324, 0.383667, 0.6732178)', 'Roll': '-3.724425', 'battery_voltage': 4.420753, 'battery_percentage': 75.40858, 'Pitch': '-34.49309'}
2023-01-27 10:44:37: {'Acceleration': '(0.1287842, 0.6495361, 0.7905273)', 'Roll': '-9.395276', 'battery_voltage': 4.47595, 'battery_percentage': 80.9283, 'Pitch': '-40.36163'}
2023-01-27 10:44:38: {'Acceleration': '(0.1064453, 0.6060791, 0.7663574)', 'Roll': '-11.00598', 'battery_voltage': 4.491004, 'battery_percentage': 82.43363, 'Pitch': '-40.25363'}
2023-01-27 10:44:39: {'Acceleration': '(0.170166, 0.65625, 0.7526855)', 'Roll': '-12.73919', 'battery_voltage': 4.491004, 'battery_percentage': 82.43363, 'Pitch': '-40.37836'}
2023-01-27 10:44:40: {'Acceleration': '(0.09631348, 0.6680908, 0.7321777)', 'Roll': '-7.49388', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '-40.93105'}
2023-01-27 10:44:41: {'Acceleration': '(0.2601318, 0.8054199, 0.4550781)', 'Roll': '-12.94958', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '-44.00717'}
2023-01-27 10:44:41: {'Acceleration': '(0.2727051, 0.824707, 0.6149902)', 'Roll': '-23.91393', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '-50.79471'}
2023-01-27 10:44:42: {'Acceleration': '(0.2409668, 0.6380615, 0.6894531)', 'Roll': '-19.26474', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '-41.97809'}
2023-01-27 10:44:43: {'Acceleration': '(0.2519531, 0.7185059, 0.6513672)', 'Roll': '-21.24842', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '-45.82519'}
2023-01-27 10:44:44: {'Acceleration': '(0.255249, 0.7126465, 0.6496582)', 'Roll': '-21.44974', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '-45.59475'}
2023-01-27 10:44:45: {'Acceleration': '(0.2380371, 0.6993408, 0.6447754)', 'Roll': '-20.26305', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '-45.49703'}
2023-01-27 10:44:46: {'Acceleration': '(0.2657471, 0.7132568, 0.6561279)', 'Roll': '-22.11605', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '-45.92016'}
2023-01-27 10:44:46: {'Acceleration': '(0.208374, 0.6799316, 0.6491699)', 'Roll': '-17.79587', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '-44.92169'}
2023-01-27 10:44:47: {'Acceleration': '(0.2672119, 0.6798096, 0.6668701)', 'Roll': '-21.83576', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '-43.41851'}
2023-01-27 10:44:48: {'Acceleration': '(0.2873535, 0.6628418, 0.6870117)', 'Roll': '-22.69789', 'battery_voltage': 4.445842, 'battery_percentage': 77.9175, 'Pitch': '-40.89694'}
2023-01-27 10:44:49: {'Acceleration': '(0.3022461, 0.6739502, 0.7172852)', 'Roll': '-22.84935', 'battery_voltage': 4.470932, 'battery_percentage': 80.42647, 'Pitch': '-40.8878'}
2023-01-27 10:44:50: {'Acceleration': '(0.2905273, 0.6689453, 0.6939697)', 'Roll': '-22.71641', 'battery_voltage': 4.395663, 'battery_percentage': 72.8996, 'Pitch': '-41.64237'}
2023-01-27 10:44:51: {'Acceleration': '(0.3184814, 0.6574707, 0.6768799)', 'Roll': '-25.12222', 'battery_voltage': 4.47595, 'battery_percentage': 80.9283, 'Pitch': '-41.85976'}
2023-01-27 10:44:51: {'Acceleration': '(0.3126221, 0.6523438, 0.6695557)', 'Roll': '-24.39908', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-41.58199'}
2023-01-27 10:44:52: {'Acceleration': '(0.3054199, 0.6713867, 0.666748)', 'Roll': '-24.61128', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '-42.47345'}
2023-01-27 10:48:23: {'Acceleration': '(-0.03063965, 0.05187988, 1.014404)', 'Roll': '1.730068', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-2.907076'}
2023-01-27 10:48:24: {'Acceleration': '(-0.03149414, 0.05249023, 1.017578)', 'Roll': '1.772744', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.951488'}
2023-01-27 10:48:25: {'Acceleration': '(-0.03137207, 0.05053711, 1.010498)', 'Roll': '1.787985', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-2.85384'}
2023-01-27 10:48:26: {'Acceleration': '(-0.03076172, 0.05090332, 1.01355)', 'Roll': '1.73842', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.926747'}
2023-01-27 10:48:27: {'Acceleration': '(-0.03308105, 0.05175781, 1.012329)', 'Roll': '1.871655', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-2.92528'}
2023-01-27 10:48:28: {'Acceleration': '(-0.0300293, 0.04968262, 1.022705)', 'Roll': '1.874615', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-2.737249'}
2023-01-27 10:48:28: {'Acceleration': '(-0.0333252, 0.04931641, 1.013794)', 'Roll': '1.882735', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.939203'}
2023-01-27 10:48:29: {'Acceleration': '(-0.02978516, 0.05212402, 1.01416)', 'Roll': '1.682252', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.940933'}
2023-01-27 10:48:30: {'Acceleration': '(-0.03112793, 0.05041504, 1.015747)', 'Roll': '1.7553', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.84139'}
2023-01-27 10:48:31: {'Acceleration': '(-0.03100586, 0.0501709, 1.015747)', 'Roll': '1.748421', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-2.826404'}
2023-01-27 10:48:32: {'Acceleration': '(-0.03393555, 0.04870605, 1.013916)', 'Roll': '1.806708', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-2.817655'}
2023-01-27 10:48:33: {'Acceleration': '(-0.02807617, 0.05065918, 1.013916)', 'Roll': '1.731318', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.866604'}
2023-01-27 10:48:34: {'Acceleration': '(-0.03149414, 0.05053711, 1.014893)', 'Roll': '1.777432', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.760515'}
2023-01-27 10:48:34: {'Acceleration': '(-0.02722168, 0.04785156, 1.011963)', 'Roll': '1.540878', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.706288'}
2023-01-27 10:48:35: {'Acceleration': '(-0.02844238, 0.05407715, 1.01709)', 'Roll': '1.654292', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-2.940268'}
2023-01-27 10:48:36: {'Acceleration': '(-0.02941895, 0.05029297, 1.014404)', 'Roll': '1.661181', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-2.798064'}
2023-01-27 10:48:37: {'Acceleration': '(-0.03027344, 0.05126953, 1.017822)', 'Roll': '1.703666', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.882381'}
2023-01-27 10:48:38: {'Acceleration': '(-0.03015137, 0.04956055, 1.015381)', 'Roll': '1.720344', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.616'}
2023-01-27 10:48:39: {'Acceleration': '(-0.03088379, 0.04846191, 1.014771)', 'Roll': '1.743217', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-2.692372'}
2023-01-27 10:48:39: {'Acceleration': '(-0.03173828, 0.04907227, 1.017456)', 'Roll': '1.786691', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-2.759916'}
2023-01-27 10:48:40: {'Acceleration': '(-0.03283691, 0.04956055, 1.014526)', 'Roll': '1.684278', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-2.737923'}
2023-01-27 10:48:41: {'Acceleration': '(-0.03381348, 0.04882813, 1.015137)', 'Roll': '1.907776', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.701113'}
2023-01-27 10:48:42: {'Acceleration': '(-0.03051758, 0.04919434, 1.012207)', 'Roll': '1.726918', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.781184'}
2023-01-27 10:48:43: {'Acceleration': '(-0.03112793, 0.04663086, 1.018188)', 'Roll': '1.866859', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.742798'}
2023-01-27 10:48:44: {'Acceleration': '(-0.03466797, 0.04589844, 1.014893)', 'Roll': '1.95642', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.616655'}
2023-01-27 10:48:45: {'Acceleration': '(-0.03198242, 0.0489502, 1.016235)', 'Roll': '1.802588', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.756339'}
2023-01-27 10:48:45: {'Acceleration': '(-0.0324707, 0.0480957, 1.018433)', 'Roll': '1.757535', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-2.702527'}
2023-01-27 10:48:46: {'Acceleration': '(-0.03320313, 0.04663086, 1.019409)', 'Roll': '1.865518', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-2.732757'}
