Testing SD card write operations 120: 1970-01-01 02:00:03
2023-01-27 10:45:24: {'ssid':'C70', 'bssid':'d1bedcf606755d026de1e2add13317b1a141fa83b55759c9d7c9270adb433afa', 'sec':3, 'channel':6, 'rssi':-41}
2023-01-27 10:45:24: {'ssid':'C71', 'bssid':'9c4e2be0749a8692845d3cdf3a6eb087afb80ef2506a7f4bbe5dd0beb6f02cd7', 'sec':0, 'channel':11, 'rssi':-68}
2023-01-27 10:45:24: {'ssid':'C72', 'bssid':'3908188b666f3c5452e30d4f5481935577e8c01f0fea4d601231ccebff31b3fc', 'sec':5, 'channel':11, 'rssi':-69}
2023-01-27 10:45:24: {'ssid':'C71', 'bssid':'a0616e72338bd54d1e1421f83071df705e8bd13877d2f46341d0b4f9942f75eb', 'sec':0, 'channel':1, 'rssi':-70}
2023-01-27 10:45:24: {'ssid':'C72', 'bssid':'cb2b939ff1ec1e52bcf5665849e8ed86d71f9b62ee249fd9e0bc2c5e6a1a0050', 'sec':5, 'channel':1, 'rssi':-72}
2023-01-27 10:45:27: {'ssid':'C70', 'bssid':'d1bedcf606755d026de1e2add13317b1a141fa83b55759c9d7c9270adb433afa', 'sec':3, 'channel':6, 'rssi':-43}
2023-01-27 10:45:27: {'ssid':'C71', 'bssid':'a0616e72338bd54d1e1421f83071df705e8bd13877d2f46341d0b4f9942f75eb', 'sec':0, 'channel':1, 'rssi':-68}
2023-01-27 10:45:27: {'ssid':'C72', 'bssid':'cb2b939ff1ec1e52bcf5665849e8ed86d71f9b62ee249fd9e0bc2c5e6a1a0050', 'sec':5, 'channel':1, 'rssi':-68}
2023-01-27 10:45:27: {'ssid':'C71', 'bssid':'9c4e2be0749a8692845d3cdf3a6eb087afb80ef2506a7f4bbe5dd0beb6f02cd7', 'sec':0, 'channel':11, 'rssi':-74}
2023-01-27 10:45:27: {'ssid':'C72', 'bssid':'3908188b666f3c5452e30d4f5481935577e8c01f0fea4d601231ccebff31b3fc', 'sec':5, 'channel':11, 'rssi':-75}
2023-01-27 10:45:31: {'ssid':'C70', 'bssid':'d1bedcf606755d026de1e2add13317b1a141fa83b55759c9d7c9270adb433afa', 'sec':3, 'channel':6, 'rssi':-34}
