Testing SD card write operations: 2023-01-26 14:39:40
2023-01-26 14:39:42: {'name': None, 'adv_flag': 26, 'rssi': -88, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '70a24a619e419fccc1adc6c84fb656593e3b344fcfacb817d875111a', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:39:42: {'name': None, 'adv_flag': 6, 'rssi': -78, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '37c6c98a87b2def394a3783acd33469f43d844e67ecc854a3af4f6db', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:39:43: {'name': None, 'adv_flag': 26, 'rssi': -75, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '54e80b57aa8025402d6325c10e11c235e600af6b773b7ef17dab0e83', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:39:44: {'name': None, 'adv_flag': 26, 'rssi': -84, 'adv_tx_pwr': 0, 'tx_range': 8, 'def_tx_pwr': 0, 'mac': 'e966a9e4f4d0bc1d2336fb8402e81086531a1e6957c9d9311185d7fd', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:39:45: {'name': None, 'adv_flag': 26, 'rssi': -93, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '0c4f93aea2be5c49f2271e8a9c72fb834243efe8e052ed1de61ef6ce', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:39:46: {'name': None, 'adv_flag': 26, 'rssi': -81, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '625ff23508e1c47dd7ff4c1ab1715bf6e57b29287e236c350b4d853c', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:39:46: {'name': None, 'adv_flag': 26, 'rssi': -83, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'd7194a97c14ce2f64dfe9a145dfd90b420583cc18383b6721ab57bdd', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:39:47: {'name': None, 'adv_flag': 26, 'rssi': -79, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'de12d420f36411dbe954f4d69b07cd8d1bc3df702bc8e11f6c2aab98', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:39:48: {'name': None, 'adv_flag': 26, 'rssi': -78, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '7ea108be4d63e6301df677acab0b9360c958207a47ef2cf09cba13f5', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:39:49: {'name': None, 'adv_flag': 26, 'rssi': -78, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'bf0353b8c11b9f3a39de21439d3ab4593067fb70104770928eb54062', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:39:49: {'name': None, 'adv_flag': 26, 'rssi': -79, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '0aa69bf96c794e9bee1429f6283a9812c5ad7571dd52ab652f01fd38', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:39:50: {'name': None, 'adv_flag': None, 'rssi': -86, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'd670c69e59fbad7b610eb0ea1c3b1785296f96ed69a6ab4c2a2f83f9', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:39:51: {'name': None, 'adv_flag': None, 'rssi': -82, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'e063e19465d00ade8c733b1c3f6adf14476fb4742a21928ac79fd495', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:39:52: {'name': None, 'adv_flag': 26, 'rssi': -76, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '0ebbf0be4c4eab2bda77c998c28678ed3a770c0a625f5775b179a200', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:39:53: {'name': None, 'adv_flag': 26, 'rssi': -89, 'adv_tx_pwr': 0, 'tx_range': 10, 'def_tx_pwr': 0, 'mac': '142db3f2f482a69f597d5f28b9cce1ef1cd9465413e81de5e6b6b8da', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:39:53: {'name': None, 'adv_flag': 26, 'rssi': -85, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'e116f229eb0b184b1c8a2e8c1564ad92039fca2e89332ec19c517b07', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:39:54: {'name': None, 'adv_flag': None, 'rssi': -92, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'e063e19465d00ade8c733b1c3f6adf14476fb4742a21928ac79fd495', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:39:55: {'name': None, 'adv_flag': None, 'rssi': -83, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'bb49399728c440d16c4d1fc13d698f8359863068a7063f38fe645fae', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:39:56: {'name': None, 'adv_flag': None, 'rssi': -94, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'e3448e61616b0dfdc1d47da2d228642efdfe39d9ad664b81b55828d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:39:56: {'name': None, 'adv_flag': 26, 'rssi': -78, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '6bc51ef60a412eeba4ed8b0d0007e5717d52343f77bd72e97f204d93', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:39:57: {'name': None, 'adv_flag': 26, 'rssi': -90, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'e7e6a24f0a0c60640f2ea0204ea369294c944105cb035519b7a05815', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:39:58: {'name': None, 'adv_flag': 26, 'rssi': -81, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'ccabce20bbe2b4d51e56d3e60d7fb0689a603f83cc2fe38aadd1603d', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:39:59: {'name': None, 'adv_flag': 26, 'rssi': -81, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '625ff23508e1c47dd7ff4c1ab1715bf6e57b29287e236c350b4d853c', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:00: {'name': None, 'adv_flag': 26, 'rssi': -81, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '625ff23508e1c47dd7ff4c1ab1715bf6e57b29287e236c350b4d853c', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:00: {'name': None, 'adv_flag': 26, 'rssi': -80, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'bf0353b8c11b9f3a39de21439d3ab4593067fb70104770928eb54062', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:01: {'name': None, 'adv_flag': 26, 'rssi': -86, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'e116f229eb0b184b1c8a2e8c1564ad92039fca2e89332ec19c517b07', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:02: {'name': None, 'adv_flag': 26, 'rssi': -71, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '7ea108be4d63e6301df677acab0b9360c958207a47ef2cf09cba13f5', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:03: {'name': None, 'adv_flag': 26, 'rssi': -77, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '84470df1026173d389342056fe1ff9e41e9f68e1bb3ecf1780e4208c', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 14:40:03: {'name': None, 'adv_flag': None, 'rssi': -92, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'e063e19465d00ade8c733b1c3f6adf14476fb4742a21928ac79fd495', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
