Testing SD card write operations 120: 2023-01-26 14:39:40
2023-01-26 14:39:41: {'ssid':'C70', 'bssid':'9457881bdbc1478c928d470a0fcc758c164302113faef3eabd011683', 'sec':3, 'channel':6, 'rssi':-49}
2023-01-26 14:39:41: {'ssid':'C71', 'bssid':'0a3ef3005beaae09ccda31cad99de4784af41e27e64f9a0f7258bde6', 'sec':3, 'channel':1, 'rssi':-74}
2023-01-26 14:39:41: {'ssid':'C72', 'bssid':'841ddd1f532d4e484571c91d118986dcd5cff6a64c019b1633e2947f', 'sec':0, 'channel':1, 'rssi':-78}
2023-01-26 14:39:41: {'ssid':'C72', 'bssid':'abdef5e841dc7b52d4947746f193412aad1f0dfa830b2e642ae8d659', 'sec':0, 'channel':11, 'rssi':-78}
2023-01-26 14:39:41: {'ssid':'C73', 'bssid':'883eb1619d50113a49205b1286db17e178cbb748b600827d6eaa2002', 'sec':5, 'channel':11, 'rssi':-78}
2023-01-26 14:39:41: {'ssid':'C74', 'bssid':'d6752fb829b88023f0a76dc4358dbb92d09ca72c6b2f1b3ab3edaf72', 'sec':3, 'channel':6, 'rssi':-79}
2023-01-26 14:39:45: {'ssid':'C70', 'bssid':'9457881bdbc1478c928d470a0fcc758c164302113faef3eabd011683', 'sec':3, 'channel':6, 'rssi':-47}
2023-01-26 14:39:45: {'ssid':'C71', 'bssid':'0a3ef3005beaae09ccda31cad99de4784af41e27e64f9a0f7258bde6', 'sec':3, 'channel':1, 'rssi':-72}
2023-01-26 14:39:45: {'ssid':'C72', 'bssid':'841ddd1f532d4e484571c91d118986dcd5cff6a64c019b1633e2947f', 'sec':0, 'channel':1, 'rssi':-74}
2023-01-26 14:39:45: {'ssid':'C73', 'bssid':'9bdd1584f63bb4665271b1168abfcba7dd3eeeae0a06f2998266dcbe', 'sec':5, 'channel':1, 'rssi':-76}
2023-01-26 14:39:45: {'ssid':'C72', 'bssid':'abdef5e841dc7b52d4947746f193412aad1f0dfa830b2e642ae8d659', 'sec':0, 'channel':11, 'rssi':-76}
2023-01-26 14:39:45: {'ssid':'C73', 'bssid':'883eb1619d50113a49205b1286db17e178cbb748b600827d6eaa2002', 'sec':5, 'channel':11, 'rssi':-77}
2023-01-26 14:39:45: {'ssid':'C74', 'bssid':'d6752fb829b88023f0a76dc4358dbb92d09ca72c6b2f1b3ab3edaf72', 'sec':3, 'channel':6, 'rssi':-79}
2023-01-26 14:39:49: {'ssid':'C72', 'bssid':'841ddd1f532d4e484571c91d118986dcd5cff6a64c019b1633e2947f', 'sec':0, 'channel':1, 'rssi':-73}
2023-01-26 14:39:49: {'ssid':'C73', 'bssid':'9bdd1584f63bb4665271b1168abfcba7dd3eeeae0a06f2998266dcbe', 'sec':5, 'channel':1, 'rssi':-73}
2023-01-26 14:39:49: {'ssid':'C71', 'bssid':'0a3ef3005beaae09ccda31cad99de4784af41e27e64f9a0f7258bde6', 'sec':3, 'channel':1, 'rssi':-74}
2023-01-26 14:39:49: {'ssid':'C72', 'bssid':'abdef5e841dc7b52d4947746f193412aad1f0dfa830b2e642ae8d659', 'sec':0, 'channel':11, 'rssi':-77}
2023-01-26 14:39:49: {'ssid':'C73', 'bssid':'883eb1619d50113a49205b1286db17e178cbb748b600827d6eaa2002', 'sec':5, 'channel':11, 'rssi':-77}
2023-01-26 14:39:49: {'ssid':'C74', 'bssid':'d6752fb829b88023f0a76dc4358dbb92d09ca72c6b2f1b3ab3edaf72', 'sec':3, 'channel':6, 'rssi':-81}
2023-01-26 14:39:53: {'ssid':'C71', 'bssid':'0a3ef3005beaae09ccda31cad99de4784af41e27e64f9a0f7258bde6', 'sec':3, 'channel':1, 'rssi':-63}
2023-01-26 14:39:53: {'ssid':'C72', 'bssid':'841ddd1f532d4e484571c91d118986dcd5cff6a64c019b1633e2947f', 'sec':0, 'channel':1, 'rssi':-64}
2023-01-26 14:39:53: {'ssid':'C73', 'bssid':'9bdd1584f63bb4665271b1168abfcba7dd3eeeae0a06f2998266dcbe', 'sec':5, 'channel':1, 'rssi':-65}
2023-01-26 14:39:53: {'ssid':'C74', 'bssid':'d6752fb829b88023f0a76dc4358dbb92d09ca72c6b2f1b3ab3edaf72', 'sec':3, 'channel':6, 'rssi':-78}
2023-01-26 14:39:53: {'ssid':'C72', 'bssid':'abdef5e841dc7b52d4947746f193412aad1f0dfa830b2e642ae8d659', 'sec':0, 'channel':11, 'rssi':-83}
2023-01-26 14:39:53: {'ssid':'C73', 'bssid':'883eb1619d50113a49205b1286db17e178cbb748b600827d6eaa2002', 'sec':5, 'channel':11, 'rssi':-83}
2023-01-26 14:39:53: {'ssid':'C75', 'bssid':'ac52367fb339ced87c2fcd6afc88d827ab22db063bca9b34da364c2b', 'sec':3, 'channel':6, 'rssi':-91}
2023-01-26 14:39:53: {'ssid':'C76', 'bssid':'aaf78c18e9639b2bffd87ac5c242df1ae9bcacc671f927832c33f50f', 'sec':3, 'channel':6, 'rssi':-94}
2023-01-26 14:39:57: {'ssid':'C71', 'bssid':'0a3ef3005beaae09ccda31cad99de4784af41e27e64f9a0f7258bde6', 'sec':3, 'channel':1, 'rssi':-66}
2023-01-26 14:39:57: {'ssid':'C72', 'bssid':'841ddd1f532d4e484571c91d118986dcd5cff6a64c019b1633e2947f', 'sec':0, 'channel':1, 'rssi':-74}
2023-01-26 14:39:57: {'ssid':'C73', 'bssid':'883eb1619d50113a49205b1286db17e178cbb748b600827d6eaa2002', 'sec':5, 'channel':11, 'rssi':-83}
2023-01-26 14:39:57: {'ssid':'C72', 'bssid':'abdef5e841dc7b52d4947746f193412aad1f0dfa830b2e642ae8d659', 'sec':0, 'channel':11, 'rssi':-84}
2023-01-26 14:39:57: {'ssid':'C74', 'bssid':'d6752fb829b88023f0a76dc4358dbb92d09ca72c6b2f1b3ab3edaf72', 'sec':3, 'channel':6, 'rssi':-86}
2023-01-26 14:40:01: {'ssid':'C71', 'bssid':'0a3ef3005beaae09ccda31cad99de4784af41e27e64f9a0f7258bde6', 'sec':3, 'channel':1, 'rssi':-66}
