Time,Acceleration,Roll,battery_voltage,battery_percentage,Pitch
01:13:55,"(-0.0723877, -0.0748291, 1.000854)",4.185424,4.551219,88.45518,4.264415
01:13:56,"(-0.279541, -0.2058105, 0.9642334)",16.16741,4.541183,87.45158,11.58532
01:13:57,"(0.02355957, -0.04223633, 0.9584961)",-1.408031,4.551219,88.45518,2.522357
01:13:58,"(0.01159668, 0.04760742, 1.005127)",-0.6610222,4.340466,67.37993,-0.1429342
01:13:59,"(0.07006836, -0.007446289, 0.9158936)",-2.998358,4.531147,86.44797,-1.547687
01:14:00,"(0.06188965, -0.05859375, 0.9785156)",-3.619051,4.531147,86.44797,3.327193
01:14:01,"(0.03771973, -0.05981445, 1.022339)",-2.147054,4.536165,86.94976,3.029267
01:14:02,"(0.0390625, -0.1053467, 1.005249)",-2.22531,4.536165,86.94976,6.314453
01:14:04,"(0.07202148, -0.03466797, 0.9873047)",-4.742409,4.521111,85.44443,2.292703
01:14:05,"(0.02502441, -0.06481934, 0.8900146)",-1.610553,4.536165,86.94976,3.002257
01:14:06,"(0.07214355, -0.02380371, 1.008911)",-4.09005,4.546201,87.95336,1.376604
01:14:07,"(0.07092285, -0.0003662109, 1.009155)",-5.344029,4.541183,87.45158,0.7939539
01:14:08,"(0.01733398, 0.004638672, 1.036865)",-4.894487,4.546201,87.95336,1.069023
01:14:09,"(0.2564697, 0.08093262, 1.024902)",-3.255788,4.556237,88.95696,3.345934
01:14:10,"(0.1346436, 0.05371094, 0.9553223)",-8.022451,4.556237,88.95696,-3.186517
01:14:11,"(0.09350586, 0.03466797, 1.019531)",-5.140428,4.556237,88.95696,-1.864994
01:14:13,"(0.1740723, 0.06286621, 0.9650879)",-9.767602,4.556237,88.95696,-3.673126
01:14:14,"(0.09387207, 0.0369873, 1.017822)",-5.269388,4.551219,88.45518,4.445023
01:14:15,"(0.1756592, -0.08911133, 0.9904785)",-7.203202,4.541183,87.45158,5.629047
01:14:16,"(0.08288574, 0.06103516, 1.013794)",-4.454002,4.551219,88.45518,-1.16715
01:14:17,"(0.1262207, -0.06274414, 0.9414063)",-5.130636,4.546201,87.95336,1.28586
01:14:18,"(0.1240234, 0.04199219, 1.000366)",-7.067355,4.546201,87.95336,-2.432742
01:14:19,"(0.1622314, 0.08325195, 0.9603271)",-9.588646,4.531147,86.44797,-4.885771
01:14:20,"(0.1495361, 0.02062988, 1.036621)",-5.862861,4.546201,87.95336,-7.098041
01:14:22,"(0.1081543, 0.08679199, 1.001953)",-7.777002,4.556237,88.95696,-4.452015
01:14:23,"(0.1010742, 0.07775879, 0.9714355)",-5.055478,4.546201,87.95336,-1.484223
01:14:24,"(0.1311035, 0.01831055, 1.010254)",-7.394112,4.546201,87.95336,-1.029722
01:14:25,"(0.1386719, 0.04064941, 0.9677734)",-5.16318,4.551219,88.45518,-3.159541
01:14:26,"(0.1077881, 0.04528809, 1.009766)",-6.139383,4.551219,88.45518,-2.05082
01:14:27,"(0.08605957, 0.03637695, 1.015015)",-4.935517,4.541183,87.45158,0.0559407
01:14:28,"(0.09887695, 0.04675293, 0.9937744)",-5.964798,4.556237,88.95696,-2.741088
01:14:29,"(0.09423828, 0.04602051, 0.9957275)",-5.406519,4.561255,89.45872,-2.630911
01:14:31,"(0.09155273, 0.04577637, 0.9938965)",-5.262946,4.561255,89.45872,-2.625934
01:14:32,"(0.09130859, 0.04650879, 0.9915771)",-5.261199,4.556237,88.95696,-2.65664
01:14:33,"(0.1385498, 0.07165527, 1.047241)",-7.536452,4.561255,89.45872,-3.880533
