File is openned: 2022-04-04 01:13:50
2022-04-04 01:13:55: {'Acceleration': '(-0.0723877, -0.0748291, 1.000854)', 'Roll': '4.185424', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '4.264415'}
2022-04-04 01:13:56: {'Acceleration': '(-0.279541, -0.2058105, 0.9642334)', 'Roll': '16.16741', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '11.58532'}
2022-04-04 01:13:57: {'Acceleration': '(0.02355957, -0.04223633, 0.9584961)', 'Roll': '-1.408031', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '2.522357'}
2022-04-04 01:13:58: {'Acceleration': '(0.01159668, 0.04760742, 1.005127)', 'Roll': '-0.6610222', 'battery_voltage': 4.340466, 'battery_percentage': 67.37993, 'Pitch': '-0.1429342'}
2022-04-04 01:13:59: {'Acceleration': '(0.07006836, -0.007446289, 0.9158936)', 'Roll': '-2.998358', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '-1.547687'}
2022-04-04 01:14:00: {'Acceleration': '(0.06188965, -0.05859375, 0.9785156)', 'Roll': '-3.619051', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.327193'}
2022-04-04 01:14:01: {'Acceleration': '(0.03771973, -0.05981445, 1.022339)', 'Roll': '-2.147054', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '3.029267'}
2022-04-04 01:14:02: {'Acceleration': '(0.0390625, -0.1053467, 1.005249)', 'Roll': '-2.22531', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '6.314453'}
2022-04-04 01:14:04: {'Acceleration': '(0.07202148, -0.03466797, 0.9873047)', 'Roll': '-4.742409', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '2.292703'}
2022-04-04 01:14:05: {'Acceleration': '(0.02502441, -0.06481934, 0.8900146)', 'Roll': '-1.610553', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '3.002257'}
2022-04-04 01:14:06: {'Acceleration': '(0.07214355, -0.02380371, 1.008911)', 'Roll': '-4.09005', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '1.376604'}
