Testing SD card write operations: 2022-04-04 01:13:48
2022-04-04 01:13:55: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'f0d383bf8913b8afbb0fc209720cce28b0e5ed13e494cc91412ff89a', 'rssi': -58, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:13:57: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '9227151f02c0bf55ded55a5955534bd5cd544a0155377b6892298cdd', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:13:58: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'f0d383bf8913b8afbb0fc209720cce28b0e5ed13e494cc91412ff89a', 'rssi': -56, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:13:59: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '9227151f02c0bf55ded55a5955534bd5cd544a0155377b6892298cdd', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:13:59: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '9227151f02c0bf55ded55a5955534bd5cd544a0155377b6892298cdd', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:00: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '9227151f02c0bf55ded55a5955534bd5cd544a0155377b6892298cdd', 'rssi': -95, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:01: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'f0d383bf8913b8afbb0fc209720cce28b0e5ed13e494cc91412ff89a', 'rssi': -66, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:02: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '9227151f02c0bf55ded55a5955534bd5cd544a0155377b6892298cdd', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:02: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '9227151f02c0bf55ded55a5955534bd5cd544a0155377b6892298cdd', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:03: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '9227151f02c0bf55ded55a5955534bd5cd544a0155377b6892298cdd', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:04: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'f0d383bf8913b8afbb0fc209720cce28b0e5ed13e494cc91412ff89a', 'rssi': -57, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
