Testing SD card write operations: 2022-04-04 01:13:48
2022-04-04 01:13:55: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'c4ffbe187c69', 'rssi': -58, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:13:57: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'6918b10f736b', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:13:58: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'c4ffbe187c69', 'rssi': -56, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:13:59: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'6918b10f736b', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:13:59: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'6918b10f736b', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:00: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'6918b10f736b', 'rssi': -95, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:01: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'c4ffbe187c69', 'rssi': -66, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:02: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'6918b10f736b', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:02: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'6918b10f736b', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:03: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'6918b10f736b', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:04: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'c4ffbe187c69', 'rssi': -57, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:05: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'6918b10f736b', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:06: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'3f8f80a4f1a8', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:06: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'6918b10f736b', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:07: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'3f8f80a4f1a8', 'rssi': -96, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:08: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'6918b10f736b', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:09: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'c4ffbe187c69', 'rssi': -41, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:10: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'f413e80e8653', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:10: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'3f8f80a4f1a8', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:11: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'3f8f80a4f1a8', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:12: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'6918b10f736b', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:13: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'6918b10f736b', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:14: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'6918b10f736b', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:14: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'3f8f80a4f1a8', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:15: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'c4ffbe187c69', 'rssi': -55, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:16: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'3f8f80a4f1a8', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:17: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'3f8f80a4f1a8', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:18: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'6918b10f736b', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'6a7ec6fde0f0', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 26, 'adv_tx_pwr': 3}
2022-04-04 01:14:19: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'3f8f80a4f1a8', 'rssi': -96, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:20: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'c4ffbe187c69', 'rssi': -53, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:21: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'6918b10f736b', 'rssi': -95, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:21: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'6918b10f736b', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:22: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'586ca53a5155', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:14:23: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bb059bdc4fb', 'rssi': -53, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:14:24: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'6918b10f736b', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:25: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bb059bdc4fb', 'rssi': -56, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:14:25: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7a28431bf073', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:14:26: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'6918b10f736b', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:27: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bb059bdc4fb', 'rssi': -51, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:14:28: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7bb059bdc4fb', 'rssi': -61, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-04 01:14:29: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'6a7ec6fde0f0', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 26, 'adv_tx_pwr': 3}
2022-04-04 01:14:29: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'6a7ec6fde0f0', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 26, 'adv_tx_pwr': 3}
2022-04-04 01:14:30: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'f413e80e8653', 'rssi': -97, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:31: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'c4ffbe187c69', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:32: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'5768e1005c3b', 'rssi': -99, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:33: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'6a7ec6fde0f0', 'rssi': -96, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 26, 'adv_tx_pwr': 3}
2022-04-04 01:14:33: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'3f8f80a4f1a8', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:34: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'5768e1005c3b', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-04 01:14:35: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'426e382e4996', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 4, 'adv_tx_pwr': 3}
2022-04-04 01:14:36: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'c4ffbe187c69', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
