Testing SD card write operations: 2022-04-04 01:13:47
2022-04-04 01:13:55: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-46}
2022-04-04 01:13:55: {'ssid':'eduroam', 'bssid':b'|\x0e\xce\x14\xed\xc0', 'sec':5, 'channel':6, 'rssi':-73}
2022-04-04 01:13:55: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'|\x0e\xce\x14\xed\xc1', 'sec':0, 'channel':6, 'rssi':-73}
2022-04-04 01:13:56: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-48}
2022-04-04 01:13:56: {'ssid':'eduroam', 'bssid':b'|\x0e\xce\x14\xed\xc0', 'sec':5, 'channel':6, 'rssi':-73}
2022-04-04 01:13:56: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'|\x0e\xce\x14\xed\xc1', 'sec':0, 'channel':6, 'rssi':-73}
2022-04-04 01:13:58: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-52}
2022-04-04 01:13:58: {'ssid':'eduroam', 'bssid':b'|\x0e\xce\x14\xed\xc0', 'sec':5, 'channel':6, 'rssi':-75}
2022-04-04 01:13:58: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'|\x0e\xce\x14\xed\xc1', 'sec':0, 'channel':6, 'rssi':-75}
2022-04-04 01:14:00: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-30}
2022-04-04 01:14:00: {'ssid':'eduroam', 'bssid':b'|\x0e\xce\x14\xed\xc0', 'sec':5, 'channel':6, 'rssi':-73}
2022-04-04 01:14:00: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'X\xf3\x9c\xc9\x16\xd1', 'sec':0, 'channel':11, 'rssi':-92}
2022-04-04 01:14:00: {'ssid':'eduroam', 'bssid':b'X\xf3\x9c\xc9\x16\xd0', 'sec':5, 'channel':11, 'rssi':-93}
2022-04-04 01:14:02: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-33}
2022-04-04 01:14:02: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'|\x0e\xce\x14\xed\xc1', 'sec':0, 'channel':6, 'rssi':-70}
2022-04-04 01:14:02: {'ssid':'eduroam', 'bssid':b'|\x0e\xce\x14\xed\xc0', 'sec':5, 'channel':6, 'rssi':-71}
2022-04-04 01:14:03: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-37}
2022-04-04 01:14:03: {'ssid':'eduroam', 'bssid':b'|\x0e\xce\x14\xed\xc0', 'sec':5, 'channel':6, 'rssi':-76}
2022-04-04 01:14:03: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'|\x0e\xce\x14\xed\xc1', 'sec':0, 'channel':6, 'rssi':-76}
2022-04-04 01:14:05: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-38}
2022-04-04 01:14:05: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'|\x0e\xce\x14\xed\xc1', 'sec':0, 'channel':6, 'rssi':-75}
2022-04-04 01:14:05: {'ssid':'eduroam', 'bssid':b'|\x0e\xce\x14\xed\xc0', 'sec':5, 'channel':6, 'rssi':-76}
2022-04-04 01:14:07: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-36}
2022-04-04 01:14:07: {'ssid':'eduroam', 'bssid':b'|\x0e\xce\x14\xed\xc0', 'sec':5, 'channel':6, 'rssi':-73}
2022-04-04 01:14:07: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'|\x0e\xce\x14\xed\xc1', 'sec':0, 'channel':6, 'rssi':-73}
2022-04-04 01:14:09: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-40}
2022-04-04 01:14:09: {'ssid':'eduroam', 'bssid':b'|\x0e\xce\x14\xed\xc0', 'sec':5, 'channel':6, 'rssi':-73}
2022-04-04 01:14:09: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'|\x0e\xce\x14\xed\xc1', 'sec':0, 'channel':6, 'rssi':-73}
2022-04-04 01:14:11: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-44}
2022-04-04 01:14:11: {'ssid':'eduroam', 'bssid':b'|\x0e\xce\x14\xed\xc0', 'sec':5, 'channel':6, 'rssi':-74}
2022-04-04 01:14:11: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'|\x0e\xce\x14\xed\xc1', 'sec':0, 'channel':6, 'rssi':-74}
2022-04-04 01:14:13: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-35}
2022-04-04 01:14:13: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'|\x0e\xce\x14\xed\xc1', 'sec':0, 'channel':6, 'rssi':-73}
2022-04-04 01:14:13: {'ssid':'eduroam', 'bssid':b'|\x0e\xce\x14\xed\xc0', 'sec':5, 'channel':6, 'rssi':-74}
2022-04-04 01:14:15: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-55}
2022-04-04 01:14:15: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'|\x0e\xce\x14\xed\xc1', 'sec':0, 'channel':6, 'rssi':-73}
2022-04-04 01:14:15: {'ssid':'eduroam', 'bssid':b'|\x0e\xce\x14\xed\xc0', 'sec':5, 'channel':6, 'rssi':-75}
2022-04-04 01:14:17: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-51}
2022-04-04 01:14:18: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-45}
2022-04-04 01:14:18: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'|\x0e\xce\x14\xed\xc1', 'sec':0, 'channel':6, 'rssi':-74}
2022-04-04 01:14:18: {'ssid':'eduroam', 'bssid':b'|\x0e\xce\x14\xed\xc0', 'sec':5, 'channel':6, 'rssi':-75}
2022-04-04 01:14:20: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-53}
2022-04-04 01:14:20: {'ssid':'eduroam', 'bssid':b'|\x0e\xce\x14\xed\xc0', 'sec':5, 'channel':6, 'rssi':-82}
2022-04-04 01:14:20: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'|\x0e\xce\x14\xed\xc1', 'sec':0, 'channel':6, 'rssi':-82}
2022-04-04 01:14:22: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-43}
2022-04-04 01:14:22: {'ssid':'eduroam', 'bssid':b'|\x0e\xce\x14\xed\xc0', 'sec':5, 'channel':6, 'rssi':-75}
2022-04-04 01:14:22: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'|\x0e\xce\x14\xed\xc1', 'sec':0, 'channel':6, 'rssi':-75}
2022-04-04 01:14:24: {'ssid':'eduroam', 'bssid':b'|\x0e\xce\x14\xed\xc0', 'sec':5, 'channel':6, 'rssi':-75}
2022-04-04 01:14:24: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'|\x0e\xce\x14\xed\xc1', 'sec':0, 'channel':6, 'rssi':-75}
2022-04-04 01:14:26: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-48}
2022-04-04 01:14:26: {'ssid':'eduroam', 'bssid':b'|\x0e\xce\x14\xed\xc0', 'sec':5, 'channel':6, 'rssi':-78}
2022-04-04 01:14:26: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'|\x0e\xce\x14\xed\xc1', 'sec':0, 'channel':6, 'rssi':-78}
2022-04-04 01:14:28: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-49}
2022-04-04 01:14:28: {'ssid':'eduroam', 'bssid':b'|\x0e\xce\x14\xed\xc0', 'sec':5, 'channel':6, 'rssi':-78}
2022-04-04 01:14:28: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'|\x0e\xce\x14\xed\xc1', 'sec':0, 'channel':6, 'rssi':-78}
2022-04-04 01:14:30: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-17}
2022-04-04 01:14:32: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-17}
2022-04-04 01:14:32: {'ssid':'eduroam', 'bssid':b'|\x0e\xce\x14\xed\xc0', 'sec':5, 'channel':6, 'rssi':-80}
2022-04-04 01:14:32: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'|\x0e\xce\x14\xed\xc1', 'sec':0, 'channel':6, 'rssi':-80}
2022-04-04 01:14:33: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-32}
2022-04-04 01:14:33: {'ssid':'eduroam', 'bssid':b'|\x0e\xce\x14\xed\xc0', 'sec':5, 'channel':6, 'rssi':-74}
2022-04-04 01:14:33: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'|\x0e\xce\x14\xed\xc1', 'sec':0, 'channel':6, 'rssi':-74}
2022-04-04 01:14:33: {'ssid':'eduroam', 'bssid':b'X\xf3\x9c\xc9\x16\xd0', 'sec':5, 'channel':11, 'rssi':-91}
2022-04-04 01:14:33: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'X\xf3\x9c\xc9\x16\xd1', 'sec':0, 'channel':11, 'rssi':-91}
2022-04-04 01:14:35: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-34}
2022-04-04 01:14:35: {'ssid':'eduroam', 'bssid':b'|\x0e\xce\x14\xed\xc0', 'sec':5, 'channel':6, 'rssi':-66}
2022-04-04 01:14:35: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'|\x0e\xce\x14\xed\xc1', 'sec':0, 'channel':6, 'rssi':-67}
2022-04-04 01:14:35: {'ssid':'eduroam', 'bssid':b'|\x0e\xce\x0e\xc1\xf0', 'sec':5, 'channel':1, 'rssi':-87}
2022-04-04 01:14:35: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'|\x0e\xce\x0e\xc1\xf1', 'sec':0, 'channel':1, 'rssi':-87}
2022-04-04 01:14:37: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-51}
2022-04-04 01:14:37: {'ssid':'eduroam', 'bssid':b'|\x0e\xce\x14\xed\xc0', 'sec':5, 'channel':6, 'rssi':-80}
2022-04-04 01:14:37: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'|\x0e\xce\x14\xed\xc1', 'sec':0, 'channel':6, 'rssi':-80}
2022-04-04 01:14:39: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-44}
2022-04-04 01:14:39: {'ssid':'eduroam', 'bssid':b'|\x0e\xce\x14\xed\xc0', 'sec':5, 'channel':6, 'rssi':-80}
2022-04-04 01:14:39: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'|\x0e\xce\x14\xed\xc1', 'sec':0, 'channel':6, 'rssi':-81}
2022-04-04 01:14:41: {'ssid':'eduroam', 'bssid':b'|\x0e\xce\x14\xed\xc0', 'sec':5, 'channel':6, 'rssi':-82}
2022-04-04 01:14:41: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'|\x0e\xce\x14\xed\xc1', 'sec':0, 'channel':6, 'rssi':-82}
2022-04-04 01:14:43: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-29}
2022-04-04 01:14:43: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'|\x0e\xce\x14\xed\xc1', 'sec':0, 'channel':6, 'rssi':-87}
2022-04-04 01:14:43: {'ssid':'eduroam', 'bssid':b'|\x0e\xce\x14\xed\xc0', 'sec':5, 'channel':6, 'rssi':-89}
2022-04-04 01:14:45: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-29}
2022-04-04 01:14:45: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'|\x0e\xce\x14\xed\xc1', 'sec':0, 'channel':6, 'rssi':-81}
2022-04-04 01:14:45: {'ssid':'eduroam', 'bssid':b'|\x0e\xce\x14\xed\xc0', 'sec':5, 'channel':6, 'rssi':-82}
2022-04-04 01:14:47: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-30}
2022-04-04 01:14:47: {'ssid':'eduroam', 'bssid':b'|\x0e\xce\x14\xed\xc0', 'sec':5, 'channel':6, 'rssi':-84}
2022-04-04 01:14:47: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'|\x0e\xce\x14\xed\xc1', 'sec':0, 'channel':6, 'rssi':-84}
2022-04-04 01:14:49: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-33}
2022-04-04 01:14:49: {'ssid':'eduroam', 'bssid':b'|\x0e\xce\x14\xed\xc0', 'sec':5, 'channel':6, 'rssi':-84}
2022-04-04 01:14:49: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'|\x0e\xce\x14\xed\xc1', 'sec':0, 'channel':6, 'rssi':-84}
2022-04-04 01:14:51: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-34}
2022-04-04 01:14:51: {'ssid':'eduroam', 'bssid':b'|\x0e\xce\x14\xed\xc0', 'sec':5, 'channel':6, 'rssi':-84}
2022-04-04 01:14:51: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'|\x0e\xce\x14\xed\xc1', 'sec':0, 'channel':6, 'rssi':-84}
2022-04-04 01:14:52: {'ssid':'iPhone', 'bssid':b'R}\x13U\x97\x86', 'sec':3, 'channel':6, 'rssi':-45}
2022-04-04 01:14:52: {'ssid':'ULILLE-ACCUEIL', 'bssid':b'|\x0e\xce\x14\xed\xc1', 'sec':0, 'channel':6, 'rssi':-78}
