Testing SD card write operations: 2022-09-18 10:38:30
2022-09-18 10:38:30: {'Acceleration': '(0.0, 0.0, 0.0)', 'Roll': '13.35514', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.77117'}
2022-09-18 10:38:31: {'Acceleration': '(-0.2322998, -0.2177734, 0.9707031)', 'Roll': '13.46329', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.55451'}
2022-09-18 10:38:32: {'Acceleration': '(-0.230835, -0.2189941, 0.9724121)', 'Roll': '13.35392', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.63514'}
2022-09-18 10:38:33: {'Acceleration': '(-0.2315674, -0.2191162, 0.9696045)', 'Roll': '13.46646', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.53556'}
2022-09-18 10:38:34: {'Acceleration': '(-0.2329102, -0.2172852, 0.9682617)', 'Roll': '13.52523', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.61998'}
2022-09-18 10:38:35: {'Acceleration': '(-0.2320557, -0.2194824, 0.9689941)', 'Roll': '13.46761', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.43116'}
2022-09-18 10:38:35: {'Acceleration': '(-0.2333984, -0.2191162, 0.9705811)', 'Roll': '13.52135', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.38011'}
2022-09-18 10:38:36: {'Acceleration': '(-0.229126, -0.2202148, 0.967041)', 'Roll': '13.32958', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.49404'}
2022-09-18 10:38:37: {'Acceleration': '(-0.2290039, -0.2207031, 0.9631348)', 'Roll': '13.37482', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '12.56776'}
2022-09-18 10:38:38: {'Acceleration': '(-0.2344971, -0.2177734, 0.9694824)', 'Roll': '13.59746', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '12.31626'}
2022-09-18 10:38:39: {'Acceleration': '(-0.2271729, -0.2209473, 0.9627686)', 'Roll': '13.27655', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.5908'}
2022-09-18 10:38:40: {'Acceleration': '(-0.2315674, -0.22229, 0.9705811)', 'Roll': '13.51083', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '12.49263'}
2022-09-18 10:38:41: {'Acceleration': '(-0.2332764, -0.2215576, 0.9697266)', 'Roll': '13.54342', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.2802'}
2022-09-18 10:38:41: {'Acceleration': '(-0.2346191, -0.2208252, 0.9769287)', 'Roll': '13.58287', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.25747'}
2022-09-18 10:38:42: {'Acceleration': '(-0.2332764, -0.2236328, 0.9718018)', 'Roll': '13.49818', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.4865'}
2022-09-18 10:38:43: {'Acceleration': '(-0.2353516, -0.2200928, 0.9675293)', 'Roll': '13.6204', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.30848'}
2022-09-18 10:38:44: {'Acceleration': '(-0.2322998, -0.2194824, 0.9698486)', 'Roll': '13.46982', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.50397'}
2022-09-18 10:38:45: {'Acceleration': '(-0.2329102, -0.2211914, 0.96875)', 'Roll': '13.51867', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.41584'}
2022-09-18 10:38:46: {'Acceleration': '(-0.2324219, -0.2232666, 0.9682617)', 'Roll': '13.49792', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.63761'}
2022-09-18 10:38:46: {'Acceleration': '(-0.2310791, -0.2237549, 0.9755859)', 'Roll': '13.3256', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.58105'}
2022-09-18 10:38:47: {'Acceleration': '(-0.2335205, -0.2225342, 0.9678955)', 'Roll': '13.56431', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.59869'}
2022-09-18 10:38:48: {'Acceleration': '(-0.2319336, -0.2230225, 0.9705811)', 'Roll': '13.43957', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '12.59801'}
2022-09-18 10:38:49: {'Acceleration': '(-0.230835, -0.2207031, 0.9681396)', 'Roll': '13.41073', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '12.50303'}
2022-09-18 10:38:50: {'Acceleration': '(-0.2335205, -0.2224121, 0.9743652)', 'Roll': '13.47754', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '12.51545'}
2022-09-18 10:38:51: {'Acceleration': '(-0.2322998, -0.2211914, 0.9659424)', 'Roll': '13.32917', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '12.40497'}
2022-09-18 10:38:51: {'Acceleration': '(-0.232666, -0.2208252, 0.9671631)', 'Roll': '13.39574', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.51762'}
2022-09-18 10:38:52: {'Acceleration': '(-0.2324219, -0.2199707, 0.970459)', 'Roll': '13.40162', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.5678'}
2022-09-18 10:38:53: {'Acceleration': '(-0.2316895, -0.2188721, 0.9696045)', 'Roll': '13.39478', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.56815'}
