Testing SD card write operations: 2023-01-29 12:56:16
2023-01-29 12:56:18: {'name': None, 'adv_flag': 26, 'rssi': -80, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '631785885861c7e60be510081632efbcfbf2868e27f6f5f896a64ffd', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:56:18: {'name': None, 'adv_flag': None, 'rssi': -78, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'd6ad44414a5e6b376f0013d4ea0b856370bfecaf510782f7c464b342', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:56:19: {'name': None, 'adv_flag': 26, 'rssi': -88, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '631785885861c7e60be510081632efbcfbf2868e27f6f5f896a64ffd', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:56:20: {'name': None, 'adv_flag': 26, 'rssi': -85, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '631785885861c7e60be510081632efbcfbf2868e27f6f5f896a64ffd', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:56:21: {'name': None, 'adv_flag': 26, 'rssi': -84, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '631785885861c7e60be510081632efbcfbf2868e27f6f5f896a64ffd', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:56:22: {'name': None, 'adv_flag': 26, 'rssi': -81, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '631785885861c7e60be510081632efbcfbf2868e27f6f5f896a64ffd', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:56:22: {'name': None, 'adv_flag': 26, 'rssi': -89, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '07018889dd64b9ab79a3f36dab1e07a6b442c12dd52067f8b015b60b', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:56:23: {'name': None, 'adv_flag': 26, 'rssi': -86, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '631785885861c7e60be510081632efbcfbf2868e27f6f5f896a64ffd', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:56:24: {'name': None, 'adv_flag': 26, 'rssi': -86, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '631785885861c7e60be510081632efbcfbf2868e27f6f5f896a64ffd', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:56:25: {'name': None, 'adv_flag': 26, 'rssi': -86, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '631785885861c7e60be510081632efbcfbf2868e27f6f5f896a64ffd', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:56:25: {'name': None, 'adv_flag': 26, 'rssi': -82, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '631785885861c7e60be510081632efbcfbf2868e27f6f5f896a64ffd', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:56:26: {'name': None, 'adv_flag': None, 'rssi': -85, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '4deb801c3d72181e767304635813ca5fc658032dbbeacde56577fa3a', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
