Testing SD card write operations 120: 2023-01-29 12:56:16
2023-01-29 12:56:17: {'ssid':'H110', 'bssid':'a071de1e263a6103ed381cc01b743d41fc3274ac64f3a3cdb320dfde96ed563b', 'sec':3, 'channel':6, 'rssi':-58}
2023-01-29 12:56:17: {'ssid':'H111', 'bssid':'59a6d6186b95fb597434ea364ff7831cce4c688e342b4ffaa34606f4d5c8abdb', 'sec':4, 'channel':6, 'rssi':-67}
2023-01-29 12:56:17: {'ssid':'H112', 'bssid':'1b5251655b028d29a0ec992d44346ec54497609a397c4234a70d539cb9a9ea62', 'sec':3, 'channel':1, 'rssi':-73}
2023-01-29 12:56:17: {'ssid':'H113', 'bssid':'e4bc0987f176d483629f48d5101efe02975272742f9906cbdb63ada580773a46', 'sec':4, 'channel':11, 'rssi':-73}
2023-01-29 12:56:17: {'ssid':'H114', 'bssid':'df3239ac0b5d1fbadc418445e5c1d6a8384612d748bb8bc06756f77a7e8add11', 'sec':4, 'channel':6, 'rssi':-82}
2023-01-29 12:56:17: {'ssid':'H115', 'bssid':'0e3af7721c86f38f70a3cd48515ca605eeb07162ca935fc4caa82c6f96d3209d', 'sec':4, 'channel':6, 'rssi':-84}
2023-01-29 12:56:17: {'ssid':'H116', 'bssid':'c52e1f71f12641e54f0ebe1aa9beeca75764065b0554949e4a69be8bda202b88', 'sec':4, 'channel':1, 'rssi':-85}
2023-01-29 12:56:17: {'ssid':'H117', 'bssid':'466f7281214a9e0d6ce91c88cfb387cbee1e0837f070ff9c232f26d9b0622c31', 'sec':3, 'channel':11, 'rssi':-85}
2023-01-29 12:56:17: {'ssid':'H118', 'bssid':'633a40bec8bdbb20269f6534cb75c5093f2f577a277337c20a9deb5e0ae20cc9', 'sec':3, 'channel':11, 'rssi':-88}
2023-01-29 12:56:17: {'ssid':'H119', 'bssid':'dabd536e77723b16c7b935df983de4a1ca635c8394ce8f03bd71f9194a61ee67', 'sec':5, 'channel':11, 'rssi':-88}
2023-01-29 12:56:17: {'ssid':'H1110', 'bssid':'a95c74c3a1e6e7a29e61d12bb33345206171ee216c7a5d7f99cc4f1fb2f75ceb', 'sec':4, 'channel':1, 'rssi':-89}
2023-01-29 12:56:17: {'ssid':'H1111', 'bssid':'3da366d789a27241e56057b423b3d81ab67ecf9121a8d0442c1dd2a6d14dbb2e', 'sec':3, 'channel':6, 'rssi':-90}
2023-01-29 12:56:17: {'ssid':'H1112', 'bssid':'09a2c68bf941dcdd518bc47f82e6727aa9f8b9343b5b23651f05b2168bed4156', 'sec':3, 'channel':11, 'rssi':-90}
2023-01-29 12:56:17: {'ssid':'H1113', 'bssid':'0222bdf96b64cde98a07af6ecb1b108a38d90feea3e942c0c8437c5dd7d19813', 'sec':4, 'channel':1, 'rssi':-91}
2023-01-29 12:56:17: {'ssid':'H1114', 'bssid':'4b41f48953cdc990e41984ea03c7d43b11780e5905ccb03f07cc244897435ab0', 'sec':3, 'channel':6, 'rssi':-91}
2023-01-29 12:56:17: {'ssid':'H1115', 'bssid':'2adf8864ba8d2db443b190ffce3abc0e7a0f9d1b11bd892895333cf6835e1a60', 'sec':0, 'channel':6, 'rssi':-92}
2023-01-29 12:56:17: {'ssid':'H1116', 'bssid':'41135251bac96d0213ea87b2d3d67188cd15d270a79494fe1690a610a3edefe5', 'sec':3, 'channel':6, 'rssi':-93}
2023-01-29 12:56:17: {'ssid':'H119', 'bssid':'9d389ba5d776fc5aa9ceaa086de10219db75d3bb294bec2b47f51339743b7ef0', 'sec':5, 'channel':11, 'rssi':-93}
2023-01-29 12:56:17: {'ssid':'H1117', 'bssid':'9087bf11c5ec8edd4bec147cb2610124bcbd92f92cabee546edc324cd6ab16c6', 'sec':4, 'channel':6, 'rssi':-93}
2023-01-29 12:56:17: {'ssid':'H1115', 'bssid':'562e65ca81357735dca189151680b7dee766ad2337d63246d7a3f878ea5be72b', 'sec':0, 'channel':6, 'rssi':-93}
2023-01-29 12:56:17: {'ssid':'H1118', 'bssid':'d7d4a3c02873ec4f4a1f6e8789e6eeba79cdf366ca8a2b0583c823c19e2d3609', 'sec':4, 'channel':1, 'rssi':-94}
2023-01-29 12:56:17: {'ssid':'H1119', 'bssid':'d00db19591294436b57a8204785dad15dd9a850bc0ed1786bcc3385ba71054ac', 'sec':3, 'channel':6, 'rssi':-94}
2023-01-29 12:56:17: {'ssid':'H1120', 'bssid':'3a42e5358a83e3beda6d7be714fafd2547e11d0953df61e9b31b6ce65858f4b9', 'sec':5, 'channel':6, 'rssi':-94}
2023-01-29 12:56:17: {'ssid':'H1121', 'bssid':'0f2a40a85794749086c3c50124bf402bb3b3155648458d33dc9f346e3ba79991', 'sec':4, 'channel':6, 'rssi':-94}
2023-01-29 12:56:17: {'ssid':'H1122', 'bssid':'2a03c83c7f80ebef26378cd739ed42de9ec91018f389bedfcb79fcb3fbb395fd', 'sec':3, 'channel':11, 'rssi':-94}
2023-01-29 12:56:17: {'ssid':'H1123', 'bssid':'df503cf13f977193765591c651820b6225856abd077db6e75ca30e5eb0643b14', 'sec':3, 'channel':11, 'rssi':-94}
2023-01-29 12:56:17: {'ssid':'H1124', 'bssid':'1d7aec9d81d261353fa9fe04bc0876c7d71bc97f7f2c54c7e9ad196147f01a5f', 'sec':3, 'channel':11, 'rssi':-95}
2023-01-29 12:56:17: {'ssid':'H119', 'bssid':'748b8d246c846c463a57e9e4bbc8b44668407bb8d2e4fdcc0c749d36dbcd3394', 'sec':5, 'channel':11, 'rssi':-95}
2023-01-29 12:56:17: {'ssid':'H1125', 'bssid':'57f73dc91160f832e0345677936d6e0d5ad1d156ed77c94e95557d105e5a947d', 'sec':3, 'channel':6, 'rssi':-96}
2023-01-29 12:56:17: {'ssid':'H1126', 'bssid':'ff3ab91c9a12eb38820436ab72ce6563ccbec4c855f64d59a6a45b27a570615c', 'sec':3, 'channel':6, 'rssi':-96}
2023-01-29 12:56:17: {'ssid':'H1127', 'bssid':'7d818a0792c497c9e71c4777c47a1d4849b9ce3f3cc44961b78b0478340f396c', 'sec':3, 'channel':11, 'rssi':-97}
2023-01-29 12:56:17: {'ssid':'H119', 'bssid':'a059baf919ee980fa7ba30551fb8c6911cf83c9a126bea8cceab16a30dea6436', 'sec':5, 'channel':11, 'rssi':-97}
2023-01-29 12:56:21: {'ssid':'H110', 'bssid':'a071de1e263a6103ed381cc01b743d41fc3274ac64f3a3cdb320dfde96ed563b', 'sec':3, 'channel':6, 'rssi':-52}
2023-01-29 12:56:21: {'ssid':'H111', 'bssid':'59a6d6186b95fb597434ea364ff7831cce4c688e342b4ffaa34606f4d5c8abdb', 'sec':4, 'channel':6, 'rssi':-73}
2023-01-29 12:56:21: {'ssid':'H112', 'bssid':'1b5251655b028d29a0ec992d44346ec54497609a397c4234a70d539cb9a9ea62', 'sec':3, 'channel':1, 'rssi':-74}
2023-01-29 12:56:21: {'ssid':'H113', 'bssid':'e4bc0987f176d483629f48d5101efe02975272742f9906cbdb63ada580773a46', 'sec':4, 'channel':11, 'rssi':-74}
2023-01-29 12:56:21: {'ssid':'H117', 'bssid':'466f7281214a9e0d6ce91c88cfb387cbee1e0837f070ff9c232f26d9b0622c31', 'sec':3, 'channel':11, 'rssi':-80}
