Testing SD card write operations: 2023-01-28 09:39:16
2023-01-28 09:39:17: {'name': None, 'adv_flag': None, 'rssi': -64, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '58abee187f59096de0fb1304b64dc4beacab09425483481087c97167dc4cb25b', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:18: {'name': None, 'adv_flag': 26, 'rssi': -74, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '07e4efe117ff3957a954477ddec8723d104ef475c1ca95334376b454d452a791', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:19: {'name': None, 'adv_flag': 26, 'rssi': -64, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '25668941532ac95fb1fb99766db102c560e6de39edd169027b27283917587705', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:19: {'name': None, 'adv_flag': 26, 'rssi': -83, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'eb02148c63aa5aa801000f1e4aafd7f5f8aa0b176196aa9e83b616333978bd3d', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:20: {'name': None, 'adv_flag': 26, 'rssi': -58, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '25668941532ac95fb1fb99766db102c560e6de39edd169027b27283917587705', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:21: {'name': None, 'adv_flag': 26, 'rssi': -70, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '07e4efe117ff3957a954477ddec8723d104ef475c1ca95334376b454d452a791', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:22: {'name': None, 'adv_flag': 26, 'rssi': -61, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '25668941532ac95fb1fb99766db102c560e6de39edd169027b27283917587705', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:22: {'name': None, 'adv_flag': 26, 'rssi': -81, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'eb02148c63aa5aa801000f1e4aafd7f5f8aa0b176196aa9e83b616333978bd3d', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:23: {'name': None, 'adv_flag': 26, 'rssi': -78, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '07e4efe117ff3957a954477ddec8723d104ef475c1ca95334376b454d452a791', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:24: {'name': None, 'adv_flag': None, 'rssi': -90, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '32bfe4e49da1f7a39af3965ddef70e7634bcd1a71eb73a22e6b0fdc06a86ce0e', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:25: {'name': None, 'adv_flag': 26, 'rssi': -64, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '25668941532ac95fb1fb99766db102c560e6de39edd169027b27283917587705', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:26: {'name': None, 'adv_flag': 26, 'rssi': -75, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '07e4efe117ff3957a954477ddec8723d104ef475c1ca95334376b454d452a791', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:26: {'name': None, 'adv_flag': 26, 'rssi': -81, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'eb02148c63aa5aa801000f1e4aafd7f5f8aa0b176196aa9e83b616333978bd3d', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:27: {'name': None, 'adv_flag': None, 'rssi': -62, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '58abee187f59096de0fb1304b64dc4beacab09425483481087c97167dc4cb25b', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:28: {'name': None, 'adv_flag': 26, 'rssi': -58, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '25668941532ac95fb1fb99766db102c560e6de39edd169027b27283917587705', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:29: {'name': None, 'adv_flag': 26, 'rssi': -69, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '07e4efe117ff3957a954477ddec8723d104ef475c1ca95334376b454d452a791', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:30: {'name': None, 'adv_flag': 26, 'rssi': -82, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'eb02148c63aa5aa801000f1e4aafd7f5f8aa0b176196aa9e83b616333978bd3d', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:30: {'name': None, 'adv_flag': 26, 'rssi': -60, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '25668941532ac95fb1fb99766db102c560e6de39edd169027b27283917587705', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:31: {'name': None, 'adv_flag': 26, 'rssi': -82, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'eb02148c63aa5aa801000f1e4aafd7f5f8aa0b176196aa9e83b616333978bd3d', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:32: {'name': None, 'adv_flag': 26, 'rssi': -63, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '25668941532ac95fb1fb99766db102c560e6de39edd169027b27283917587705', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:33: {'name': None, 'adv_flag': 26, 'rssi': -81, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'eb02148c63aa5aa801000f1e4aafd7f5f8aa0b176196aa9e83b616333978bd3d', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:33: {'name': None, 'adv_flag': None, 'rssi': -58, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '58abee187f59096de0fb1304b64dc4beacab09425483481087c97167dc4cb25b', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:34: {'name': None, 'adv_flag': 26, 'rssi': -79, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'eb02148c63aa5aa801000f1e4aafd7f5f8aa0b176196aa9e83b616333978bd3d', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:35: {'name': None, 'adv_flag': None, 'rssi': -80, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '32bfe4e49da1f7a39af3965ddef70e7634bcd1a71eb73a22e6b0fdc06a86ce0e', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:36: {'name': None, 'adv_flag': 26, 'rssi': -58, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '25668941532ac95fb1fb99766db102c560e6de39edd169027b27283917587705', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:37: {'name': None, 'adv_flag': 26, 'rssi': -83, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'eb02148c63aa5aa801000f1e4aafd7f5f8aa0b176196aa9e83b616333978bd3d', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:37: {'name': None, 'adv_flag': 26, 'rssi': -81, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'eb02148c63aa5aa801000f1e4aafd7f5f8aa0b176196aa9e83b616333978bd3d', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:38: {'name': None, 'adv_flag': 26, 'rssi': -71, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '07e4efe117ff3957a954477ddec8723d104ef475c1ca95334376b454d452a791', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:39: {'name': None, 'adv_flag': 26, 'rssi': -62, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '25668941532ac95fb1fb99766db102c560e6de39edd169027b27283917587705', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:40: {'name': None, 'adv_flag': 26, 'rssi': -69, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '07e4efe117ff3957a954477ddec8723d104ef475c1ca95334376b454d452a791', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:40: {'name': None, 'adv_flag': None, 'rssi': -69, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '50ea2620c9b0bbab52ee8758490396041674753a51eb83c25474b929a0e9f4ac', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:41: {'name': None, 'adv_flag': None, 'rssi': -64, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '58abee187f59096de0fb1304b64dc4beacab09425483481087c97167dc4cb25b', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:42: {'name': None, 'adv_flag': 26, 'rssi': -83, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '07e4efe117ff3957a954477ddec8723d104ef475c1ca95334376b454d452a791', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:43: {'name': None, 'adv_flag': 26, 'rssi': -77, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '07e4efe117ff3957a954477ddec8723d104ef475c1ca95334376b454d452a791', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:44: {'name': None, 'adv_flag': 26, 'rssi': -84, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '07e4efe117ff3957a954477ddec8723d104ef475c1ca95334376b454d452a791', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:44: {'name': None, 'adv_flag': None, 'rssi': -63, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '58abee187f59096de0fb1304b64dc4beacab09425483481087c97167dc4cb25b', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:45: {'name': None, 'adv_flag': 26, 'rssi': -83, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '07e4efe117ff3957a954477ddec8723d104ef475c1ca95334376b454d452a791', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:46: {'name': None, 'adv_flag': 26, 'rssi': -71, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '07e4efe117ff3957a954477ddec8723d104ef475c1ca95334376b454d452a791', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:47: {'name': None, 'adv_flag': 26, 'rssi': -71, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '07e4efe117ff3957a954477ddec8723d104ef475c1ca95334376b454d452a791', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:47: {'name': None, 'adv_flag': 26, 'rssi': -77, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '07e4efe117ff3957a954477ddec8723d104ef475c1ca95334376b454d452a791', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:48: {'name': None, 'adv_flag': 26, 'rssi': -69, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '07e4efe117ff3957a954477ddec8723d104ef475c1ca95334376b454d452a791', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:49: {'name': None, 'adv_flag': 26, 'rssi': -85, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '07e4efe117ff3957a954477ddec8723d104ef475c1ca95334376b454d452a791', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:50: {'name': None, 'adv_flag': 26, 'rssi': -72, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '07e4efe117ff3957a954477ddec8723d104ef475c1ca95334376b454d452a791', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:51: {'name': None, 'adv_flag': None, 'rssi': -75, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '8e7f518e74806a3e4549b7983e37cdd705f2068f162173dd4f02ea80aee7d261', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:51: {'name': None, 'adv_flag': 26, 'rssi': -71, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '07e4efe117ff3957a954477ddec8723d104ef475c1ca95334376b454d452a791', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:52: {'name': None, 'adv_flag': 26, 'rssi': -75, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '07e4efe117ff3957a954477ddec8723d104ef475c1ca95334376b454d452a791', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:53: {'name': None, 'adv_flag': 26, 'rssi': -86, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'eb02148c63aa5aa801000f1e4aafd7f5f8aa0b176196aa9e83b616333978bd3d', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:54: {'name': None, 'adv_flag': 26, 'rssi': -58, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '25668941532ac95fb1fb99766db102c560e6de39edd169027b27283917587705', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:55: {'name': None, 'adv_flag': 26, 'rssi': -59, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '25668941532ac95fb1fb99766db102c560e6de39edd169027b27283917587705', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:55: {'name': None, 'adv_flag': 26, 'rssi': -60, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '25668941532ac95fb1fb99766db102c560e6de39edd169027b27283917587705', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:56: {'name': None, 'adv_flag': None, 'rssi': -59, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '58abee187f59096de0fb1304b64dc4beacab09425483481087c97167dc4cb25b', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
