Testing SD card write operations 120: 2023-01-28 09:39:16
2023-01-28 09:39:17: {'ssid':'H120', 'bssid':'48478ce560bbe059e13d60459bcdc4eb8f7e084ebb8ce18e233e1650170127d0', 'sec':3, 'channel':6, 'rssi':-39}
2023-01-28 09:39:17: {'ssid':'H121', 'bssid':'a1d8e6c6f1e9542e826e18e6d59375343fc2a65b3e3b62a3bb9f85ba103564c4', 'sec':4, 'channel':6, 'rssi':-67}
2023-01-28 09:39:17: {'ssid':'H122', 'bssid':'9cc76bc9ff3f62d83d909d0645ee396f5ff488e40d027564e4130d313deac2a3', 'sec':3, 'channel':1, 'rssi':-69}
2023-01-28 09:39:17: {'ssid':'H123', 'bssid':'cefc5f69b837c1a1867eb921a290360956e5a8861260db7efa876e29a1398b59', 'sec':4, 'channel':1, 'rssi':-72}
2023-01-28 09:39:17: {'ssid':'H124', 'bssid':'8a2fe56ff4ede93ba3e45d90c3d0ccc0140c788cd2950564de72348fa5a3df2e', 'sec':3, 'channel':1, 'rssi':-73}
2023-01-28 09:39:17: {'ssid':'H125', 'bssid':'8a7b78a16b111a6b32192d2e6b343f64f967199f5835c89e875d26fb59592d2e', 'sec':4, 'channel':1, 'rssi':-73}
2023-01-28 09:39:17: {'ssid':'H126', 'bssid':'4b2ca35682867a28ce09606ae438eb01f8f970cd1517a22cd0993992a489c7e1', 'sec':3, 'channel':11, 'rssi':-75}
2023-01-28 09:39:17: {'ssid':'H127', 'bssid':'52408dd8ba4d12a22eb7f723884d3de0c68955ea999d4817c7eb1504e053a94f', 'sec':4, 'channel':1, 'rssi':-78}
2023-01-28 09:39:17: {'ssid':'H128', 'bssid':'909cc2a0cd351c860eacf615ba925b28debd695939a2bc24b2b6eff6ba089155', 'sec':4, 'channel':6, 'rssi':-78}
2023-01-28 09:39:17: {'ssid':'H129', 'bssid':'c99f6dc5c71fc4ddc501ff028d6379a9482102924b75ddd2b1fb6e97387e681b', 'sec':3, 'channel':6, 'rssi':-83}
2023-01-28 09:39:17: {'ssid':'H1210', 'bssid':'9561cc9ef337a41fce854b97bce2928692d21a36c7e0c42ba0a4e8b4c183aaac', 'sec':4, 'channel':1, 'rssi':-86}
2023-01-28 09:39:17: {'ssid':'H1211', 'bssid':'96ced6e8d2b3ce5961e13fb118e594e2ba2d2af543525f2e630236149ce608f2', 'sec':3, 'channel':11, 'rssi':-87}
2023-01-28 09:39:17: {'ssid':'H1212', 'bssid':'464b002c8c92aeb9ef9e7b499f13155fc5a2eff031a184766e7a092168c7f8b3', 'sec':3, 'channel':6, 'rssi':-88}
2023-01-28 09:39:17: {'ssid':'H1213', 'bssid':'0fe5cf808b28a88d0f7903abfefc93b70d8a42ebdf688eb93807cc77a1cb6134', 'sec':5, 'channel':11, 'rssi':-88}
2023-01-28 09:39:17: {'ssid':'H1214', 'bssid':'4b350b8586d25c70a430fa9ba2d7aa126028c866fa38f186aa71de0c2e0186cd', 'sec':3, 'channel':1, 'rssi':-90}
2023-01-28 09:39:17: {'ssid':'H1215', 'bssid':'aa0758cb45101a4a0bcfb0abccb866db38c9e4fca6aee61eb77a00cf80c0f05a', 'sec':4, 'channel':6, 'rssi':-90}
2023-01-28 09:39:17: {'ssid':'H1216', 'bssid':'2873ee50e13930ff5aa1a861da7658e7d16457af59d720803c61f43224a7dc7b', 'sec':3, 'channel':1, 'rssi':-91}
2023-01-28 09:39:17: {'ssid':'H1217', 'bssid':'b98b575a341cd5a92242d8ff0172071598351dc63419e097b4319257147c448b', 'sec':3, 'channel':11, 'rssi':-91}
2023-01-28 09:39:17: {'ssid':'H1218', 'bssid':'3172becd29bf6ebd57f17828d933eeb4546a0cbfa57325ea092c0762cb956833', 'sec':3, 'channel':6, 'rssi':-92}
2023-01-28 09:39:17: {'ssid':'H1219', 'bssid':'00fa9e462e88345542029078f19065020c264e1e270389280faffa458f9c748d', 'sec':4, 'channel':6, 'rssi':-92}
2023-01-28 09:39:17: {'ssid':'H1220', 'bssid':'98d83b9d39dfe489592648ba90da9eb50ed0ae824694bf98b6ff91365713d455', 'sec':4, 'channel':6, 'rssi':-92}
2023-01-28 09:39:17: {'ssid':'H1213', 'bssid':'bb56a363cde9080c37bff2522379a7d6a0e9fb47269b5e8fe4b0172282c39f06', 'sec':5, 'channel':3, 'rssi':-93}
2023-01-28 09:39:17: {'ssid':'H1221', 'bssid':'6819eddc969bcecf5cf0a02cfa9a972bd240a2fa6781185c362fbb3c429b6c20', 'sec':5, 'channel':6, 'rssi':-93}
2023-01-28 09:39:17: {'ssid':'H1222', 'bssid':'de77300fba129a7e4dc9a48e0582fbb87d151ac51c3bf2ddd8d49eb860f9075a', 'sec':0, 'channel':6, 'rssi':-93}
2023-01-28 09:39:17: {'ssid':'H1213', 'bssid':'9fa33700ab0e5101f46d6c5f49047d0d41885d57ad2287e408169492f12ce929', 'sec':5, 'channel':11, 'rssi':-93}
2023-01-28 09:39:17: {'ssid':'H1223', 'bssid':'dd2967815f27b63c28d0bbabd552ebaf147b19da3ce3b3625a69339dbd0b0349', 'sec':4, 'channel':11, 'rssi':-95}
2023-01-28 09:39:21: {'ssid':'H120', 'bssid':'48478ce560bbe059e13d60459bcdc4eb8f7e084ebb8ce18e233e1650170127d0', 'sec':3, 'channel':6, 'rssi':-50}
2023-01-28 09:39:21: {'ssid':'H124', 'bssid':'8a2fe56ff4ede93ba3e45d90c3d0ccc0140c788cd2950564de72348fa5a3df2e', 'sec':3, 'channel':1, 'rssi':-69}
2023-01-28 09:39:21: {'ssid':'H122', 'bssid':'9cc76bc9ff3f62d83d909d0645ee396f5ff488e40d027564e4130d313deac2a3', 'sec':3, 'channel':1, 'rssi':-69}
2023-01-28 09:39:21: {'ssid':'H125', 'bssid':'8a7b78a16b111a6b32192d2e6b343f64f967199f5835c89e875d26fb59592d2e', 'sec':4, 'channel':1, 'rssi':-74}
2023-01-28 09:39:21: {'ssid':'H121', 'bssid':'a1d8e6c6f1e9542e826e18e6d59375343fc2a65b3e3b62a3bb9f85ba103564c4', 'sec':4, 'channel':6, 'rssi':-74}
2023-01-28 09:39:21: {'ssid':'H126', 'bssid':'4b2ca35682867a28ce09606ae438eb01f8f970cd1517a22cd0993992a489c7e1', 'sec':3, 'channel':11, 'rssi':-75}
2023-01-28 09:39:21: {'ssid':'H123', 'bssid':'cefc5f69b837c1a1867eb921a290360956e5a8861260db7efa876e29a1398b59', 'sec':4, 'channel':1, 'rssi':-76}
2023-01-28 09:39:21: {'ssid':'H1224', 'bssid':'a9176c4acdd7ced461fea8529f8e4c162d8e332b2af24f2851702eb3cefd05fc', 'sec':3, 'channel':1, 'rssi':-77}
2023-01-28 09:39:21: {'ssid':'H127', 'bssid':'52408dd8ba4d12a22eb7f723884d3de0c68955ea999d4817c7eb1504e053a94f', 'sec':4, 'channel':1, 'rssi':-80}
2023-01-28 09:39:21: {'ssid':'H129', 'bssid':'c99f6dc5c71fc4ddc501ff028d6379a9482102924b75ddd2b1fb6e97387e681b', 'sec':3, 'channel':6, 'rssi':-82}
2023-01-28 09:39:21: {'ssid':'H1213', 'bssid':'dab3c508e9ce1637be980490088504d8fbc9aff13cb1744b7e18250a22cb9449', 'sec':5, 'channel':11, 'rssi':-87}
2023-01-28 09:39:21: {'ssid':'H1210', 'bssid':'9561cc9ef337a41fce854b97bce2928692d21a36c7e0c42ba0a4e8b4c183aaac', 'sec':4, 'channel':1, 'rssi':-89}
