Testing SD card write operations: 2023-01-27 08:07:01
2023-01-27 08:07:02: {'Acceleration': '(0.0, 0.0, 0.0)', 'Roll': '1.998921', 'battery_voltage': 4.014301, 'battery_percentage': 34.76341, 'Pitch': '-1.777419'}
2023-01-27 08:07:03: {'Acceleration': '(-0.0369873, 0.03613281, 1.012451)', 'Roll': '2.092224', 'battery_voltage': 4.014301, 'battery_percentage': 34.76341, 'Pitch': '-2.042569'}
2023-01-27 08:07:04: {'Acceleration': '(-0.03979492, 0.03625488, 1.020264)', 'Roll': '2.233663', 'battery_voltage': 4.014301, 'battery_percentage': 34.76341, 'Pitch': '-2.033594'}
2023-01-27 08:07:04: {'Acceleration': '(-0.03808594, 0.03161621, 1.017212)', 'Roll': '2.139877', 'battery_voltage': 4.014301, 'battery_percentage': 34.76341, 'Pitch': '-2.03547'}
2023-01-27 08:07:05: {'Acceleration': '(-0.03857422, 0.0324707, 1.017578)', 'Roll': '2.279055', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-2.091668'}
2023-01-27 08:07:06: {'Acceleration': '(-0.04492188, 0.03503418, 1.015747)', 'Roll': '2.532282', 'battery_voltage': 4.014301, 'battery_percentage': 34.76341, 'Pitch': '-1.973481'}
2023-01-27 08:07:07: {'Acceleration': '(-0.03833008, 0.03771973, 1.017456)', 'Roll': '2.157453', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.893968'}
2023-01-27 08:07:08: {'Acceleration': '(-0.04089355, 0.03588867, 1.017456)', 'Roll': '2.303524', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.821256'}
2023-01-27 08:07:09: {'Acceleration': '(-0.03881836, 0.03601074, 1.010742)', 'Roll': '2.199409', 'battery_voltage': 4.014301, 'battery_percentage': 34.76341, 'Pitch': '-2.03897'}
2023-01-27 08:07:10: {'Acceleration': '(-0.03808594, 0.03320313, 1.013794)', 'Roll': '2.151461', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.874522'}
2023-01-27 08:07:10: {'Acceleration': '(-0.03869629, 0.03515625, 1.018555)', 'Roll': '2.175699', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.911382'}
2023-01-27 08:07:11: {'Acceleration': '(-0.04248047, 0.03320313, 1.015991)', 'Roll': '2.146812', 'battery_voltage': 4.014301, 'battery_percentage': 34.76341, 'Pitch': '-2.062867'}
2023-01-27 08:07:12: {'Acceleration': '(-0.04284668, 0.03552246, 1.011353)', 'Roll': '2.425926', 'battery_voltage': 4.014301, 'battery_percentage': 34.76341, 'Pitch': '-2.009812'}
2023-01-27 08:07:13: {'Acceleration': '(-0.03942871, 0.03710938, 1.019409)', 'Roll': '2.214982', 'battery_voltage': 4.014301, 'battery_percentage': 34.76341, 'Pitch': '-2.083251'}
2023-01-27 08:07:14: {'Acceleration': '(-0.03417969, 0.03601074, 1.020142)', 'Roll': '2.187579', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.802519'}
2023-01-27 08:07:15: {'Acceleration': '(-0.03735352, 0.03417969, 1.018433)', 'Roll': '2.100522', 'battery_voltage': 4.014301, 'battery_percentage': 34.76341, 'Pitch': '-1.920896'}
2023-01-27 08:07:15: {'Acceleration': '(-0.04016113, 0.03405762, 1.013672)', 'Roll': '2.268841', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.922808'}
2023-01-27 08:07:16: {'Acceleration': '(-0.03869629, 0.03637695, 1.013306)', 'Roll': '2.186958', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-2.133879'}
2023-01-27 08:07:17: {'Acceleration': '(-0.04016113, 0.03552246, 1.021362)', 'Roll': '1.84761', 'battery_voltage': 4.014301, 'battery_percentage': 34.76341, 'Pitch': '-1.908852'}
2023-01-27 08:07:18: {'Acceleration': '(-0.03588867, 0.03442383, 1.012939)', 'Roll': '2.029153', 'battery_voltage': 4.014301, 'battery_percentage': 34.76341, 'Pitch': '-1.945177'}
2023-01-27 08:07:19: {'Acceleration': '(-0.03759766, 0.03625488, 1.017334)', 'Roll': '2.116519', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-2.028922'}
2023-01-27 08:07:20: {'Acceleration': '(-0.03674316, 0.03369141, 1.011841)', 'Roll': '2.315317', 'battery_voltage': 3.999247, 'battery_percentage': 33.25801, 'Pitch': '-1.908738'}
2023-01-27 08:07:21: {'Acceleration': '(-0.04272461, 0.03540039, 1.015259)', 'Roll': '2.409727', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.995235'}
2023-01-27 08:07:21: {'Acceleration': '(-0.04064941, 0.03771973, 1.016602)', 'Roll': '2.289786', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-2.125764'}
2023-01-27 08:07:22: {'Acceleration': '(-0.03979492, 0.03723145, 1.011597)', 'Roll': '2.233397', 'battery_voltage': 4.014301, 'battery_percentage': 34.76341, 'Pitch': '-2.074562'}
2023-01-27 08:07:23: {'Acceleration': '(-0.04064941, 0.03466797, 1.022827)', 'Roll': '2.275863', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.939725'}
2023-01-27 08:07:24: {'Acceleration': '(-0.03808594, 0.03588867, 1.015991)', 'Roll': '2.146812', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-2.021645'}
2023-01-27 08:07:25: {'Acceleration': '(-0.03845215, 0.03588867, 1.016968)', 'Roll': '2.165355', 'battery_voltage': 4.014301, 'battery_percentage': 34.76341, 'Pitch': '-2.029304'}
2023-01-27 08:07:26: {'Acceleration': '(-0.04492188, 0.0345459, 1.02417)', 'Roll': '2.511483', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.930036'}
2023-01-27 08:07:26: {'Acceleration': '(-0.03857422, 0.0369873, 1.013306)', 'Roll': '2.180066', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-2.088949'}
2023-01-27 08:07:27: {'Acceleration': '(-0.04101563, 0.03588867, 1.016724)', 'Roll': '2.310115', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.963772'}
2023-01-27 08:07:28: {'Acceleration': '(-0.03637695, 0.03503418, 1.012695)', 'Roll': '2.057233', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.98008'}
2023-01-27 08:07:29: {'Acceleration': '(-0.04150391, 0.03491211, 1.018433)', 'Roll': '2.333668', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.961717'}
2023-01-27 08:07:30: {'Acceleration': '(-0.03674316, 0.03515625, 1.017578)', 'Roll': '2.067963', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.951865'}
2023-01-27 08:07:31: {'Acceleration': '(-0.04016113, 0.03356934, 1.016113)', 'Roll': '1.940321', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.891108'}
2023-01-27 08:07:31: {'Acceleration': '(-0.03515625, 0.03271484, 1.014282)', 'Roll': '1.985146', 'battery_voltage': 4.014301, 'battery_percentage': 34.76341, 'Pitch': '-1.84628'}
2023-01-27 08:07:32: {'Acceleration': '(-0.03662109, 0.03442383, 1.020142)', 'Roll': '2.055924', 'battery_voltage': 4.014301, 'battery_percentage': 34.76341, 'Pitch': '-2.013541'}
2023-01-27 08:07:33: {'Acceleration': '(-0.04040527, 0.03308105, 1.00708)', 'Roll': '2.297544', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.879892'}
2023-01-27 08:07:34: {'Acceleration': '(-0.03991699, 0.03527832, 1.009521)', 'Roll': '2.264325', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.999859'}
2023-01-27 08:07:35: {'Acceleration': '(-0.0390625, 0.03515625, 1.01709)', 'Roll': '2.199429', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-2.027'}
2023-01-27 08:07:36: {'Acceleration': '(-0.03918457, 0.03601074, 1.012329)', 'Roll': '2.133873', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.953115'}
2023-01-27 08:07:37: {'Acceleration': '(-0.03955078, 0.03625488, 1.019653)', 'Roll': '2.221301', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-2.034827'}
2023-01-27 08:07:37: {'Acceleration': '(-0.03942871, 0.0357666, 1.016357)', 'Roll': '2.221626', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-2.149853'}
2023-01-27 08:07:38: {'Acceleration': '(-0.03295898, 0.03710938, 1.026245)', 'Roll': '2.322726', 'battery_voltage': 4.014301, 'battery_percentage': 34.76341, 'Pitch': '-2.069233'}
2023-01-27 08:07:39: {'Acceleration': '(-0.03881836, 0.03430176, 1.016479)', 'Roll': '2.187007', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.931343'}
2023-01-27 08:07:40: {'Acceleration': '(-0.0369873, 0.03417969, 1.02002)', 'Roll': '2.102788', 'battery_voltage': 4.014301, 'battery_percentage': 34.76341, 'Pitch': '-1.971002'}
2023-01-27 08:07:41: {'Acceleration': '(-0.03845215, 0.03295898, 1.011963)', 'Roll': '2.176054', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.864083'}
2023-01-27 08:07:42: {'Acceleration': '(-0.04125977, 0.03491211, 1.014282)', 'Roll': '2.329438', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.969744'}
2023-01-27 08:07:42: {'Acceleration': '(-0.03625488, 0.03552246, 1.01062)', 'Roll': '1.954519', 'battery_voltage': 4.014301, 'battery_percentage': 34.76341, 'Pitch': '-2.068991'}
2023-01-27 08:07:43: {'Acceleration': '(-0.03967285, 0.03356934, 1.015137)', 'Roll': '2.238054', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.892568'}
2023-01-27 08:07:44: {'Acceleration': '(-0.03649902, 0.03601074, 1.015015)', 'Roll': '2.059418', 'battery_voltage': 4.024337, 'battery_percentage': 35.76696, 'Pitch': '-1.917359'}
2023-01-27 08:07:45: {'Acceleration': '(-0.03881836, 0.03344727, 1.020874)', 'Roll': '2.020238', 'battery_voltage': 4.024337, 'battery_percentage': 35.76696, 'Pitch': '-1.875366'}
2023-01-27 08:07:46: {'Acceleration': '(-0.0357666, 0.03540039, 1.016968)', 'Roll': '2.014253', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.992416'}
2023-01-27 08:07:47: {'Acceleration': '(-0.03527832, 0.03564453, 1.018311)', 'Roll': '1.98416', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-2.063136'}
2023-01-27 08:07:48: {'Acceleration': '(-0.03820801, 0.03479004, 1.014648)', 'Roll': '2.156534', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.962386'}
2023-01-27 08:07:48: {'Acceleration': '(-0.03918457, 0.03369141, 1.014893)', 'Roll': '2.211067', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.899936'}
2023-01-27 08:07:49: {'Acceleration': '(-0.0402832, 0.03540039, 1.012085)', 'Roll': '2.279294', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.936951'}
2023-01-27 08:07:50: {'Acceleration': '(-0.03735352, 0.03417969, 1.012207)', 'Roll': '2.113429', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.932685'}
