Testing SD card write operations: 2023-01-27 08:06:59
2023-01-27 08:07:00: {'name': None, 'adv_flag': 26, 'rssi': -77, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:01: {'name': None, 'adv_flag': 26, 'rssi': -79, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:02: {'name': None, 'adv_flag': 26, 'rssi': -68, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:03: {'name': None, 'adv_flag': 26, 'rssi': -65, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:03: {'name': None, 'adv_flag': 26, 'rssi': -66, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:04: {'name': None, 'adv_flag': 26, 'rssi': -67, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:05: {'name': None, 'adv_flag': None, 'rssi': -67, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '23f1b317d487b19cd1e6b120a9ac950e8db775344b94ae2daf9c6a48', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:06: {'name': None, 'adv_flag': 26, 'rssi': -66, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:07: {'name': None, 'adv_flag': 26, 'rssi': -68, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:07: {'name': None, 'adv_flag': 26, 'rssi': -66, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:08: {'name': None, 'adv_flag': None, 'rssi': -66, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '23f1b317d487b19cd1e6b120a9ac950e8db775344b94ae2daf9c6a48', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:09: {'name': None, 'adv_flag': 26, 'rssi': -71, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:10: {'name': None, 'adv_flag': 26, 'rssi': -69, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:11: {'name': None, 'adv_flag': 26, 'rssi': -66, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:11: {'name': None, 'adv_flag': 26, 'rssi': -68, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:12: {'name': None, 'adv_flag': 26, 'rssi': -65, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:13: {'name': None, 'adv_flag': 26, 'rssi': -65, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
