Testing SD card write operations: 2022-04-30 12:30:54
2022-04-30 12:30:56: {'ssid':'iPhone', 'bssid':b'~\xd4\x9eM\x18\xbe', 'sec':3, 'channel':6, 'rssi':-45}
2022-04-30 12:30:56: {'ssid':'SFR_D778', 'bssid':b'la\xf4\t\xd7~', 'sec':4, 'channel':1, 'rssi':-48}
2022-04-30 12:30:56: {'ssid':'MULTIPASS', 'bssid':b'\xec\x10{?\xf9\xf2', 'sec':3, 'channel':1, 'rssi':-83}
2022-04-30 12:30:56: {'ssid':'Livebox-A82B', 'bssid':b'`\xce\x86g\xe4\x88', 'sec':4, 'channel':11, 'rssi':-83}
2022-04-30 12:30:57: {'ssid':'iPhone', 'bssid':b'~\xd4\x9eM\x18\xbe', 'sec':3, 'channel':6, 'rssi':-47}
2022-04-30 12:30:57: {'ssid':'SFR_D778', 'bssid':b'la\xf4\t\xd7~', 'sec':4, 'channel':1, 'rssi':-49}
2022-04-30 12:30:57: {'ssid':'SFR_8480', 'bssid':b'\xcc-\x1bz\x84\x86', 'sec':4, 'channel':6, 'rssi':-83}
2022-04-30 12:30:57: {'ssid':'Livebox-A82B', 'bssid':b'`\xce\x86g\xe4\x88', 'sec':4, 'channel':11, 'rssi':-83}
2022-04-30 12:30:57: {'ssid':'MULTIPASS', 'bssid':b'\xec\x10{?\xf9\xf2', 'sec':3, 'channel':1, 'rssi':-84}
2022-04-30 12:30:57: {'ssid':'SFR WiFi FON', 'bssid':b'r-\x1bz\x84\x87', 'sec':0, 'channel':6, 'rssi':-84}
2022-04-30 12:30:59: {'ssid':'SFR_D778', 'bssid':b'la\xf4\t\xd7~', 'sec':4, 'channel':1, 'rssi':-51}
2022-04-30 12:30:59: {'ssid':'Livebox-A82B', 'bssid':b'`\xce\x86g\xe4\x88', 'sec':4, 'channel':11, 'rssi':-82}
2022-04-30 12:30:59: {'ssid':'MULTIPASS', 'bssid':b'\xec\x10{?\xf9\xf2', 'sec':3, 'channel':1, 'rssi':-84}
2022-04-30 12:30:59: {'ssid':'Galaxy A715B33', 'bssid':b'\x82\xb4\xbc\x97\xfd\x0c', 'sec':3, 'channel':11, 'rssi':-91}
2022-04-30 12:31:01: {'ssid':'iPhone', 'bssid':b'~\xd4\x9eM\x18\xbe', 'sec':3, 'channel':6, 'rssi':-46}
2022-04-30 12:31:01: {'ssid':'SFR_D778', 'bssid':b'la\xf4\t\xd7~', 'sec':4, 'channel':1, 'rssi':-48}
2022-04-30 12:31:01: {'ssid':'SFR WiFi Mobile', 'bssid':b'r-\x1bz\x84\x85', 'sec':5, 'channel':6, 'rssi':-83}
2022-04-30 12:31:01: {'ssid':'SFR_8480', 'bssid':b'\xcc-\x1bz\x84\x86', 'sec':4, 'channel':6, 'rssi':-83}
2022-04-30 12:31:01: {'ssid':'SFR WiFi FON', 'bssid':b'r-\x1bz\x84\x87', 'sec':0, 'channel':6, 'rssi':-84}
2022-04-30 12:31:01: {'ssid':'MULTIPASS', 'bssid':b'\xec\x10{?\xf9\xf2', 'sec':3, 'channel':1, 'rssi':-85}
2022-04-30 12:31:01: {'ssid':'Livebox-A82B', 'bssid':b'`\xce\x86g\xe4\x88', 'sec':4, 'channel':11, 'rssi':-85}
2022-04-30 12:31:03: {'ssid':'iPhone', 'bssid':b'~\xd4\x9eM\x18\xbe', 'sec':3, 'channel':6, 'rssi':-47}
2022-04-30 12:31:03: {'ssid':'SFR_D778', 'bssid':b'la\xf4\t\xd7~', 'sec':4, 'channel':1, 'rssi':-48}
2022-04-30 12:31:03: {'ssid':'SFR_8480', 'bssid':b'\xcc-\x1bz\x84\x86', 'sec':4, 'channel':6, 'rssi':-83}
2022-04-30 12:31:03: {'ssid':'MULTIPASS', 'bssid':b'\xec\x10{?\xf9\xf2', 'sec':3, 'channel':1, 'rssi':-84}
2022-04-30 12:31:03: {'ssid':'SFR WiFi Mobile', 'bssid':b'r-\x1bz\x84\x85', 'sec':5, 'channel':6, 'rssi':-84}
2022-04-30 12:31:03: {'ssid':'SFR WiFi FON', 'bssid':b'r-\x1bz\x84\x87', 'sec':0, 'channel':6, 'rssi':-84}
2022-04-30 12:31:05: {'ssid':'SFR_D778', 'bssid':b'la\xf4\t\xd7~', 'sec':4, 'channel':1, 'rssi':-47}
2022-04-30 12:31:05: {'ssid':'iPhone', 'bssid':b'~\xd4\x9eM\x18\xbe', 'sec':3, 'channel':6, 'rssi':-48}
2022-04-30 12:31:05: {'ssid':'SFR WiFi FON', 'bssid':b'r-\x1bz\x84\x87', 'sec':0, 'channel':6, 'rssi':-83}
2022-04-30 12:31:05: {'ssid':'MULTIPASS', 'bssid':b'\xec\x10{?\xf9\xf2', 'sec':3, 'channel':1, 'rssi':-84}
2022-04-30 12:31:05: {'ssid':'SFR WiFi Mobile', 'bssid':b'r-\x1bz\x84\x85', 'sec':5, 'channel':6, 'rssi':-84}
2022-04-30 12:31:05: {'ssid':'SFR_8480', 'bssid':b'\xcc-\x1bz\x84\x86', 'sec':4, 'channel':6, 'rssi':-84}
2022-04-30 12:31:05: {'ssid':'Livebox-A82B', 'bssid':b'`\xce\x86g\xe4\x88', 'sec':4, 'channel':11, 'rssi':-84}
2022-04-30 12:31:07: {'ssid':'SFR_D778', 'bssid':b'la\xf4\t\xd7~', 'sec':4, 'channel':1, 'rssi':-47}
2022-04-30 12:31:07: {'ssid':'iPhone', 'bssid':b'~\xd4\x9eM\x18\xbe', 'sec':3, 'channel':6, 'rssi':-47}
2022-04-30 12:31:07: {'ssid':'MULTIPASS', 'bssid':b'\xec\x10{?\xf9\xf2', 'sec':3, 'channel':1, 'rssi':-83}
2022-04-30 12:31:08: {'ssid':'iPhone', 'bssid':b'~\xd4\x9eM\x18\xbe', 'sec':3, 'channel':6, 'rssi':-47}
2022-04-30 12:31:08: {'ssid':'SFR_D778', 'bssid':b'la\xf4\t\xd7~', 'sec':4, 'channel':1, 'rssi':-48}
2022-04-30 12:31:08: {'ssid':'SFR WiFi Mobile', 'bssid':b'r-\x1bz\x84\x85', 'sec':5, 'channel':6, 'rssi':-83}
2022-04-30 12:31:08: {'ssid':'SFR_8480', 'bssid':b'\xcc-\x1bz\x84\x86', 'sec':4, 'channel':6, 'rssi':-83}
2022-04-30 12:31:08: {'ssid':'SFR WiFi FON', 'bssid':b'r-\x1bz\x84\x87', 'sec':0, 'channel':6, 'rssi':-83}
2022-04-30 12:31:08: {'ssid':'Livebox-A82B', 'bssid':b'`\xce\x86g\xe4\x88', 'sec':4, 'channel':11, 'rssi':-84}
2022-04-30 12:31:08: {'ssid':'MULTIPASS', 'bssid':b'\xec\x10{?\xf9\xf2', 'sec':3, 'channel':1, 'rssi':-85}
2022-04-30 12:31:10: {'ssid':'iPhone', 'bssid':b'~\xd4\x9eM\x18\xbe', 'sec':3, 'channel':6, 'rssi':-46}
2022-04-30 12:31:10: {'ssid':'SFR WiFi Mobile', 'bssid':b'r-\x1bz\x84\x85', 'sec':5, 'channel':6, 'rssi':-83}
2022-04-30 12:31:10: {'ssid':'SFR_8480', 'bssid':b'\xcc-\x1bz\x84\x86', 'sec':4, 'channel':6, 'rssi':-83}
2022-04-30 12:31:10: {'ssid':'SFR WiFi FON', 'bssid':b'r-\x1bz\x84\x87', 'sec':0, 'channel':6, 'rssi':-83}
2022-04-30 12:31:10: {'ssid':'Livebox-A82B', 'bssid':b'`\xce\x86g\xe4\x88', 'sec':4, 'channel':11, 'rssi':-84}
2022-04-30 12:31:12: {'ssid':'SFR_D778', 'bssid':b'la\xf4\t\xd7~', 'sec':4, 'channel':1, 'rssi':-54}
2022-04-30 12:31:12: {'ssid':'iPhone', 'bssid':b'~\xd4\x9eM\x18\xbe', 'sec':3, 'channel':6, 'rssi':-55}
2022-04-30 12:31:12: {'ssid':'SFR WiFi Mobile', 'bssid':b'r-\x1bz\x84\x85', 'sec':5, 'channel':6, 'rssi':-85}
2022-04-30 12:31:12: {'ssid':'SFR WiFi FON', 'bssid':b'r-\x1bz\x84\x87', 'sec':0, 'channel':6, 'rssi':-85}
2022-04-30 12:31:12: {'ssid':'SFR_8480', 'bssid':b'\xcc-\x1bz\x84\x86', 'sec':4, 'channel':6, 'rssi':-87}
2022-04-30 12:31:12: {'ssid':'Livebox-A82B', 'bssid':b'`\xce\x86g\xe4\x88', 'sec':4, 'channel':11, 'rssi':-87}
2022-04-30 12:31:12: {'ssid':'MULTIPASS', 'bssid':b'\xec\x10{?\xf9\xf2', 'sec':3, 'channel':1, 'rssi':-92}
2022-04-30 12:31:14: {'ssid':'iPhone', 'bssid':b'~\xd4\x9eM\x18\xbe', 'sec':3, 'channel':6, 'rssi':-51}
2022-04-30 12:31:14: {'ssid':'SFR_D778', 'bssid':b'la\xf4\t\xd7~', 'sec':4, 'channel':1, 'rssi':-58}
2022-04-30 12:31:14: {'ssid':'SFR WiFi FON', 'bssid':b'r-\x1bz\x84\x87', 'sec':0, 'channel':6, 'rssi':-84}
2022-04-30 12:31:14: {'ssid':'SFR WiFi Mobile', 'bssid':b'r-\x1bz\x84\x85', 'sec':5, 'channel':6, 'rssi':-85}
2022-04-30 12:31:14: {'ssid':'SFR_8480', 'bssid':b'\xcc-\x1bz\x84\x86', 'sec':4, 'channel':6, 'rssi':-85}
2022-04-30 12:31:14: {'ssid':'MULTIPASS', 'bssid':b'\xec\x10{?\xf9\xf2', 'sec':3, 'channel':1, 'rssi':-86}
2022-04-30 12:31:14: {'ssid':'Livebox-A82B', 'bssid':b'`\xce\x86g\xe4\x88', 'sec':4, 'channel':11, 'rssi':-86}
2022-04-30 12:31:16: {'ssid':'iPhone', 'bssid':b'~\xd4\x9eM\x18\xbe', 'sec':3, 'channel':6, 'rssi':-46}
2022-04-30 12:31:16: {'ssid':'SFR_D778', 'bssid':b'la\xf4\t\xd7~', 'sec':4, 'channel':1, 'rssi':-52}
2022-04-30 12:31:16: {'ssid':'SFR WiFi Mobile', 'bssid':b'r-\x1bz\x84\x85', 'sec':5, 'channel':6, 'rssi':-78}
2022-04-30 12:31:16: {'ssid':'SFR_8480', 'bssid':b'\xcc-\x1bz\x84\x86', 'sec':4, 'channel':6, 'rssi':-78}
2022-04-30 12:31:16: {'ssid':'SFR WiFi FON', 'bssid':b'r-\x1bz\x84\x87', 'sec':0, 'channel':6, 'rssi':-79}
2022-04-30 12:31:16: {'ssid':'MULTIPASS', 'bssid':b'\xec\x10{?\xf9\xf2', 'sec':3, 'channel':1, 'rssi':-86}
2022-04-30 12:31:16: {'ssid':'Livebox-A82B', 'bssid':b'`\xce\x86g\xe4\x88', 'sec':4, 'channel':11, 'rssi':-86}
2022-04-30 12:31:16: {'ssid':'Galaxy A715B33', 'bssid':b'\x82\xb4\xbc\x97\xfd\x0c', 'sec':3, 'channel':11, 'rssi':-95}
2022-04-30 12:31:18: {'ssid':'iPhone', 'bssid':b'~\xd4\x9eM\x18\xbe', 'sec':3, 'channel':6, 'rssi':-44}
2022-04-30 12:31:18: {'ssid':'SFR WiFi Mobile', 'bssid':b'r-\x1bz\x84\x85', 'sec':5, 'channel':6, 'rssi':-81}
2022-04-30 12:31:18: {'ssid':'SFR_8480', 'bssid':b'\xcc-\x1bz\x84\x86', 'sec':4, 'channel':6, 'rssi':-81}
2022-04-30 12:31:18: {'ssid':'SFR WiFi FON', 'bssid':b'r-\x1bz\x84\x87', 'sec':0, 'channel':6, 'rssi':-81}
2022-04-30 12:31:18: {'ssid':'Livebox-A82B', 'bssid':b'`\xce\x86g\xe4\x88', 'sec':4, 'channel':11, 'rssi':-89}
2022-04-30 12:31:20: {'ssid':'iPhone', 'bssid':b'~\xd4\x9eM\x18\xbe', 'sec':3, 'channel':6, 'rssi':-32}
2022-04-30 12:31:22: {'ssid':'iPhone', 'bssid':b'~\xd4\x9eM\x18\xbe', 'sec':3, 'channel':6, 'rssi':-38}
2022-04-30 12:31:22: {'ssid':'SFR_D778', 'bssid':b'la\xf4\t\xd7~', 'sec':4, 'channel':1, 'rssi':-50}
2022-04-30 12:31:22: {'ssid':'SFR WiFi Mobile', 'bssid':b'r-\x1bz\x84\x85', 'sec':5, 'channel':6, 'rssi':-78}
2022-04-30 12:31:22: {'ssid':'SFR_8480', 'bssid':b'\xcc-\x1bz\x84\x86', 'sec':4, 'channel':6, 'rssi':-78}
2022-04-30 12:31:22: {'ssid':'SFR WiFi FON', 'bssid':b'r-\x1bz\x84\x87', 'sec':0, 'channel':6, 'rssi':-79}
2022-04-30 12:31:22: {'ssid':'Livebox-A82B', 'bssid':b'`\xce\x86g\xe4\x88', 'sec':4, 'channel':11, 'rssi':-87}
2022-04-30 12:31:24: {'ssid':'SFR_D778', 'bssid':b'la\xf4\t\xd7~', 'sec':4, 'channel':1, 'rssi':-54}
2022-04-30 12:31:24: {'ssid':'SFR WiFi Mobile', 'bssid':b'r-\x1bz\x84\x85', 'sec':5, 'channel':6, 'rssi':-80}
2022-04-30 12:31:24: {'ssid':'SFR_8480', 'bssid':b'\xcc-\x1bz\x84\x86', 'sec':4, 'channel':6, 'rssi':-80}
